"","group","RP5.1021I20.1","RP11.440D17.3","MIR210HG","LINC00261","AC113189.5","CTB.25B13.12","AC114730.3"
"GTEX.XUZC.1326.SM.4BRV2","NonTumor",0.4657,0.7058,4.0436,2.376,3.0602,2.4198,3.3478
"GTEX.147JS.2626.SM.5S2UX","NonTumor",2.4985,0.3685,1.6045,-9.9658,4.0198,2.9338,-1.7322
"TCGA.AA.3502.01","Tumor",1.2696,3.0498,2.8562,7.1824,3.0463,2.7763,0.9191
"GTEX.13W3W.2126.SM.5K7UX","NonTumor",2.5238,1.4808,1.4228,-6.5064,3.6451,1.8242,-0.9406
"GTEX.ZVT3.2826.SM.5GU6A","NonTumor",2.6464,0.9568,1.6649,-2.9324,4.2173,3.4331,-3.6259
"TCGA.AA.A01X.01","Tumor",1.2455,2.0395,1.4859,1.7097,3.0428,2.8381,2.6161
"GTEX.WOFM.1926.SM.4OOSP","NonTumor",2.7139,1.4808,4.7231,3.2405,2.5487,3.0498,3.1145
"TCGA.CK.5913.01","Tumor",-0.9686,-2.3884,3.417,3.9487,2.5511,2.0912,1.1641
"TCGA.4N.A93T.01","Tumor",0.5859,3.2374,4.0884,1.2992,2.5363,2.3816,2.3953
"GTEX.PWN1.1426.SM.48TDF","NonTumor",0.537,0.058,5.2161,3.871,3.2251,2.9071,3.3577
"TCGA.AZ.6603.11","NonTumor",1.9564,0.6425,2.0535,4.4693,3.5411,2.6647,1.4756
"TCGA.QG.A5YV.01","Tumor",-1.6394,-3.6259,3.7919,2.0004,2.3164,2.3222,2.3222
"TCGA.AZ.6607.01","Tumor",2.2513,2.3953,2.9618,0.9191,1.7954,2.2268,-0.3566
"TCGA.G4.6321.01","Tumor",0.3685,-1.7809,2.3451,3.0995,2.1114,3.4687,2.561
"GTEX.TKQ2.1326.SM.4DXT9","NonTumor",1.0363,1.4011,4.4595,0.6425,3.2481,2.7073,2.7095
"GTEX.XUJ4.2026.SM.4BOOW","NonTumor",0.7999,1.4011,3.9031,3.6125,3.0515,2.8994,3.0723
"GTEX.SE5C.1526.SM.4BRWU","NonTumor",2.5683,1.0847,3.8177,2.0254,4.1852,2.6962,3.3235
"TCGA.D5.6536.01","Tumor",-0.9406,2.7073,3.6172,4.4183,3.1781,2.6019,3.0038
"TCGA.A6.6140.01","Tumor",-0.2159,1.692,3.7182,1.1641,1.884,2.1541,-1.3548
"TCGA.A6.2682.11","NonTumor",2.496,1.7229,2.3394,3.4224,2.4063,3.0978,2.7292
"TCGA.A6.A566.01","Tumor",0.4125,-0.5756,3.136,-4.2934,2.7508,2.5313,2.328
"TCGA.AD.6963.01","Tumor",-0.5973,1.9895,-0.013,-0.7588,2.1862,2.2603,2.0673
"GTEX.WHSB.0926.SM.4M1XJ","NonTumor",-1.1172,1.9111,3.4398,2.8361,2.8916,1.6695,3.1523
"TCGA.D5.5541.01","Tumor",0.5859,2.8158,2.8819,-0.4719,2.0254,2.0289,-4.2934
"TCGA.AM.5821.01","Tumor",-0.5332,-1.9379,1.2455,-0.8863,2.3704,0.3573,-4.2934
"TCGA.A6.6652.01","Tumor",-0.6416,1.7009,0.1648,0.03,1.9226,1.5064,2.9167
"TCGA.DM.A282.01","Tumor",-0.5543,2.0979,1.5709,1.5366,2.3871,2.1509,2.4279
"TCGA.AD.6901.01","Tumor",0.4552,2.1574,5.0427,2.6325,2.9692,2.4279,2.0147
"TCGA.CM.6161.01","Tumor",1.2271,-2.1779,0.4967,1.1184,2.362,1.5013,3.0706
"GTEX.S4P3.1226.SM.4AD4Y","NonTumor",0.9115,0.9419,3.7919,2.6395,3.38,1.9786,3.6148
"GTEX.111VG.2226.SM.5N9DU","NonTumor",1.9638,0.4967,1.2696,-0.1665,3.3134,2.4597,-1.685
"TCGA.5M.AAT5.01","Tumor",0.8961,2.1213,2.8076,2.328,2.0776,2.2753,1.3956
"GTEX.13FHO.2726.SM.5K7VG","NonTumor",2.6019,0.9268,4.9355,-3.6259,3.5633,2.874,-4.2934
"TCGA.CK.6748.01","Tumor",1.2934,1.2333,2.3077,2.6395,2.0878,1.2085,1.1316
"GTEX.O5YW.1426.SM.3MJHF","NonTumor",2.3308,1.46,3.2944,2.7594,3.9232,2.7763,2.6873
"TCGA.A6.5665.11","NonTumor",-0.3201,0.5859,3.4569,1.177,2.2421,2.5948,2.2019
"GTEX.OHPM.1426.SM.3TW8Y","NonTumor",1.0711,1.5612,4.437,1.3791,3.695,2.3366,2.2299
"GTEX.Z93S.2426.SM.5HL8N","NonTumor",2.9581,0.537,-1.1488,-9.9658,3.9108,2.5852,-3.6259
"GTEX.XGQ4.1726.SM.4RH4G","NonTumor",1.4859,1.4962,0.8327,-0.394,3.0446,1.7446,-9.9658
"GTEX.11P7K.1826.SM.5HL5A","NonTumor",0.9568,0.058,0.4657,-6.5064,3.97,1.8078,-3.0469
"TCGA.AZ.4684.01","Tumor",0.1257,-1.2142,3.0671,1.3225,2.2663,2.6418,-0.0574
"GTEX.13FH7.1526.SM.5J2N6","NonTumor",1.0007,0.2277,3.3177,-5.5735,3.8075,2.2573,-4.035
"TCGA.AA.3517.11","NonTumor",0.2881,1.5806,2.3649,1.5366,2.3222,2.93,2.7951
"GTEX.TKQ1.0626.SM.4DXTS","NonTumor",1.1184,0.2277,0.537,-5.0116,4.1604,2.6556,-4.035
"TCGA.G4.6302.01","Tumor",0.1124,0.3115,2.2901,-0.7834,3.5337,2.6278,0.8327
"TCGA.AU.6004.01","Tumor",0.434,-1.9942,4.1244,-2.3884,3.8876,3.034,2.609
"GTEX.ZDTS.2726.SM.5L3E2","NonTumor",1.6281,0.0718,1.9895,-6.5064,3.8095,1.787,-9.9658
"GTEX.145ME.0826.SM.5O9AF","NonTumor",2.004,0.058,0.605,-5.0116,4.3068,2.5876,-1.5522
"TCGA.G4.6310.01","Tumor",0.5955,3.0944,0.9642,-0.1504,3.1987,3.3017,1.7995
"GTEX.ZP4G.1726.SM.4WWCM","NonTumor",0.3685,0.9642,3.1637,1.5216,3.9327,2.5756,2.9802
"GTEX.YEC3.2426.SM.5IFJR","NonTumor",1.0293,0.679,2.7073,1.9564,4.4719,2.3135,2.5487
"GTEX.13OVI.2126.SM.5KM3U","NonTumor",1.3567,0.1257,0.7058,-6.5064,3.741,2.7763,-3.6259
"TCGA.CA.5255.01","Tumor",-0.1665,1.3454,3.7291,1.8078,2.7051,2.6302,1.5998
"TCGA.NH.A6GA.01","Tumor",1.5514,3.1604,0.9115,0.9642,1.6875,3.4102,0.7493
"TCGA.AA.3655.01","Tumor",1.0151,0.4552,3.3591,1.4756,2.6984,2.9413,1.9749
"GTEX.XV7Q.2226.SM.4BRVY","NonTumor",2.0465,1.1382,2.0569,-5.5735,4.4634,2.233,-3.458
"TCGA.A6.2678.11","NonTumor",0.9642,1.9264,3.0825,2.7314,2.3898,3.1733,3.154
"TCGA.CM.5863.01","Tumor",-0.0425,2.9469,1.9452,4.0584,2.8522,2.3451,0.4657
"GTEX.12696.1926.SM.5EGJT","NonTumor",1.0007,0.6239,1.2875,-5.5735,3.9012,2.6918,-1.5105
"TCGA.G4.6304.01","Tumor",0.9642,-5.0116,2.7183,-0.2159,4.4823,3.4739,2.828
"TCGA.CM.6678.01","Tumor",0.8408,-2.9324,1.7489,1.3679,3.0038,2.4412,2.7422
"GTEX.WYJK.2326.SM.4ONDN","NonTumor",2.7161,1.3051,4.178,2.4831,3.8085,3.2343,3.3032
"TCGA.A6.5657.01","Tumor",-0.1504,0.7832,1.8604,1.2815,2.043,3.1045,0.3231
"TCGA.A6.2672.01","Tumor",-1.93783368149,-3.4579515442,2.83513293969,-1.70840698098,0.949358619452,2.1987755544,1.00070040815
"TCGA.D5.6930.01","Tumor",-0.4719,-1.9379,3.1228,5.7453,3.637,3.1701,2.9655
"TCGA.F4.6805.01","Tumor",-1.0559,2.0535,2.4805,2.8858,2.3135,1.6875,0.2762
"GTEX.YEC3.2026.SM.4WWFL","NonTumor",1.4335,0.6517,2.7249,-1.5522,4.1636,2.3019,-3.816
"TCGA.DM.A28M.01","Tumor",2.6895,2.081,2.2299,0.044,2.2019,1.177,0.8164
"GTEX.14C38.2626.SM.5RQI4","NonTumor",0.6425,-2.5479,0.688,-2.9324,3.8561,1.0007,0.2029
"TCGA.QL.A97D.01","Tumor",0.2522,0.517,-0.0277,0.547,1.1706,3.2944,2.1606
"GTEX.ZYT6.2826.SM.5GICX","NonTumor",1.5013,1.3109,0.4552,-4.035,3.9166,2.9167,-9.9658
"GTEX.ZQUD.1026.SM.4YCEZ","NonTumor",0.6145,1.3051,4.4417,1.5902,2.9243,2.7465,3.47
"GTEX.ZVZQ.2626.SM.59HLB","NonTumor",0.9642,-0.9406,1.5709,-1.5105,2.7029,2.6114,-9.9658
"TCGA.3L.AA1B.01","Tumor",-1.0862,3.3828,1.8484,1.5709,0.9343,2.3048,2.7401
"TCGA.CM.5860.01","Tumor",-0.2671,-0.1187,0.517,1.2992,2.3423,2.2753,-1.5522
"GTEX.ZPU1.1726.SM.4WWFV","NonTumor",1.1316,0.8805,2.6624,-9.9658,4.5964,2.8858,-1.5522
"TCGA.A6.2684.11","NonTumor",0.24,1.4547,3.1426,0.537,2.9893,2.9338,1.3283
"GTEX.XAJ8.0426.SM.47JYJ","NonTumor",-3.3076,0.1257,1.5563,-6.5064,4.0357,1.595,-3.3076
"TCGA.AA.3534.11","NonTumor",2.4063,1.9786,2.9205,1.9895,2.753,3.154,2.6232
"TCGA.A6.2679.11","NonTumor",2.036,1.5806,2.6962,0.8408,2.5061,2.6302,2.667
"TCGA.SS.A7HO.01","Tumor",-1.5951,2.8117,0.7748,1.884,0.9862,1.334,1.3397
"GTEX.YJ8A.1726.SM.5P9IQ","NonTumor",0.1776,0.4967,1.2147,3.1079,3.2766,2.5462,1.7786
"GTEX.T6MO.0826.SM.4DM51","NonTumor",1.9452,0.346,1.9968,-0.9971,4.449,2.2753,-0.8339
"TCGA.D5.6537.01","Tumor",-0.9686,2.4985,2.4908,-1.5105,1.692,1.8722,2.0111
"TCGA.AA.3495.01","Tumor",0.7407,0.5859,3.6219,0.2277,2.7889,2.0111,1.2636
"TCGA.CA.5254.01","Tumor",-1.2828,-2.3147,4.2973,-0.7346,1.9377,2.9262,-1.5522
"TCGA.AD.A5EK.01","Tumor",0.6145,-4.2934,-0.3566,1.2815,2.0979,3.1278,-1.3548
"TCGA.CK.6746.01","Tumor",1.5266,-2.114,2.1313,4.7214,3.1844,3.0825,-1.5105
"TCGA.CA.6718.01","Tumor",-0.5125,-1.6394,2.409,-2.2447,5.2048,2.1047,1.6695
"TCGA.AY.5543.01","Tumor",-0.7108,-0.9406,2.8622,1.6093,1.412,2.0183,2.128
"GTEX.Y114.1626.SM.4TT7I","NonTumor",0.7999,0.24,3.0774,-9.9658,4.5028,2.5263,-1.9379
"TCGA.CK.4952.01","Tumor",-1.3548,-3.6259,2.05,6.87,2.6647,2.9224,2.1862
"TCGA.F4.6807.01","Tumor",0.5859,0.5955,1.8564,1.5806,2.036,2.0535,1.3454
"GTEX.NFK9.2026.SM.3LK5K","NonTumor",0.9716,0.346,3.573,0.099,3.0893,2.8838,2.1411
"GTEX.12C56.0626.SM.5EGGC","NonTumor",2.0325,1.6234,4.1103,3.0056,2.362,2.9319,3.3061
"TCGA.CK.5915.01","Tumor",1.2333,1.3283,1.949,1.7912,2.4727,1.6327,1.5998
"GTEX.ZVP2.1526.SM.5NQ82","NonTumor",-0.7346,0.7999,3.1604,2.081,2.2901,1.9149,2.1988
"TCGA.A6.6781.01","Tumor",-0.50567645566,1.30898048068,3.54280564699,2.65938224223,2.72850384464,2.30770774878,-0.296274645743
"TCGA.AZ.6605.11","NonTumor",0.8246,1.0573,0.4233,-1.7322,3.9774,2.0707,-0.1345
"TCGA.AU.3779.01","Tumor",1.4174,1.9564,2.2237,-0.394,3.162,1.4388,1.5165
"TCGA.DM.A1D4.01","Tumor",0.2881,-5.5735,4.4693,2.2482,1.2516,2.4332,3.0305
"GTEX.13PVR.1726.SM.5Q5EC","NonTumor",1.7954,-0.0725,1.0363,-9.9658,3.7259,2.1574,-9.9658
"TCGA.DM.A1D0.01","Tumor",0.24,1.614,1.4808,-1.3548,0.7916,3.5073,2.5213
"GTEX.T5JW.1126.SM.4DM5V","NonTumor",-0.6643,1.1706,3.6428,3.5149,2.6302,2.5487,3.6543
"GTEX.13OW6.2226.SM.5N9FL","NonTumor",3.1245,0.7664,1.4652,-4.035,3.9431,2.9052,-0.9406
"GTEX.13U4I.2426.SM.5LU34","NonTumor",2.1957,1.0983,0.1776,-3.0469,3.7614,2.8779,-2.2447
"TCGA.A6.2671.11","NonTumor",2.7805,1.1382,2.4779,2.7073,2.9148,3.4583,2.874
"TCGA.CM.6675.01","Tumor",0.5568,-2.7274,4.6012,-1.2828,2.5238,2.0604,-3.816
"GTEX.11PRG.2026.SM.5GU5F","NonTumor",1.125,0.2154,1.5316,-6.5064,3.6497,2.59,-2.9324
"TCGA.AY.6197.01","Tumor",-1.685,-1.1811,4.2419,-1.8314,3.1669,2.5137,-0.8339
"GTEX.12BJ1.2026.SM.5FQUH","NonTumor",0.7664,-0.0574,0.6699,-6.5064,4.0807,2.5658,-2.8262
"GTEX.11ZU8.1126.SM.5EQ5K","NonTumor",2.9747,0.9419,1.9188,-6.5064,3.755,2.0638,-5.0116
"GTEX.YF7O.1726.SM.5IFJ9","NonTumor",1.9111,1.7489,3.4007,4.4074,2.7139,2.1734,3.5073
"TCGA.DM.A28K.01","Tumor",-0.7834,2.4883,4.7345,6.6668,3.1278,2.2113,2.9581
"GTEX.WY7C.1926.SM.4ONCI","NonTumor",1.9149,0.7664,0.6517,-5.5735,5.1607,2.4857,-3.816
"GTEX.145MO.2626.SM.5QGPD","NonTumor",1.949,0.2642,1.0642,-9.9658,4.6341,2.9167,-3.3076
"GTEX.12BJ1.2126.SM.5BC5O","NonTumor",0.7058,1.1316,3.4437,2.6255,2.5585,3.0859,3.1377
"TCGA.G4.6307.01","Tumor",1.595,-0.5332,3.3364,0.9038,3.335,3.4517,2.7205
"GTEX.145MN.1726.SM.5SIA6","NonTumor",0.9568,1.8119,4.1161,2.4439,2.5804,3.0791,2.8381
"GTEX.11EI6.2626.SM.5PNVT","NonTumor",3.1588,0.8488,0.7999,-6.5064,4.8793,3.055,-5.0116
"GTEX.132NY.2726.SM.5PNY2","NonTumor",1.9226,0.7916,2.2268,-9.9658,4.1612,2.5061,-2.6349
"GTEX.TML8.1326.SM.4DXTO","NonTumor",-0.4325,1.5064,4.402,4.0756,3.1797,2.8462,3.6486
"GTEX.148VJ.2626.SM.5QGPI","NonTumor",2.3536,0.1388,2.3898,-2.8262,3.3619,3.0217,-1.3183
"TCGA.CM.5861.01","Tumor",0.7579,1.0293,2.7117,4.2001,3.7804,2.5585,1.9415
"GTEX.XXEK.1826.SM.4BRVC","NonTumor",2.8681,0.2522,2.7161,-2.8262,2.9338,1.9786,-5.0116
"TCGA.CA.5796.01","Tumor",0.688,-0.3566,2.828,5.0339,2.0844,1.7229,2.2723
"TCGA.AZ.4323.01","Tumor",-0.9971,3.1011,1.4174,0.9935,2.4252,2.7487,2.3077
"TCGA.DM.A1DA.01","Tumor",-0.8339,3.1733,2.6441,2.2573,5.8097,3.8521,1.2815
"TCGA.D5.6928.01","Tumor",0.6608,0.03,0.7999,1.6281,3.8054,2.004,0.5763
"TCGA.AA.3685.01","Tumor",0.2762,1.2333,1.4859,1.3397,3.3619,2.3077,1.7316
"GTEX.ZF2S.1926.SM.4WWAN","NonTumor",0.6425,1.4388,4.0619,2.1957,2.4727,2.7742,3.1939
"GTEX.OXRK.1726.SM.3NB16","NonTumor",1.9073,1.595,4.1867,4.0322,2.9911,2.496,3.6657
"GTEX.PLZ5.1126.SM.3P613","NonTumor",0.0854,1.7532,4.0445,2.2391,3.0038,2.8858,2.9911
"GTEX.Z93S.2626.SM.57WBX","NonTumor",3.6474,0.7748,1.2992,-3.816,4.1804,3.7593,-5.0116
"GTEX.145MH.2726.SM.5QGQ6","NonTumor",1.5758,0.5666,1.2516,-6.5064,4.1652,3.7193,-1.0559
"TCGA.A6.5664.01","Tumor",-0.6643,0.8082,2.2633,4.1277,2.2573,1.9749,1.9786
"TCGA.AZ.5407.01","Tumor",-0.2328,-2.2447,2.3308,2.8034,3.3703,3.5136,1.1577
"TCGA.AA.3522.11","NonTumor",1.0573,2.1013,3.3925,1.2147,2.5948,2.7931,2.8158
"GTEX.1339X.1726.SM.5P9J9","NonTumor",2.2299,0.3573,1.1706,-6.5064,3.8915,2.8117,-3.1714
"TCGA.AA.3496.11","NonTumor",2.7847,1.0007,2.5087,1.4335,4.1119,2.2237,1.2756
"GTEX.11P7K.1526.SM.5EGI7","NonTumor",1.0079,1.1316,3.2374,1.5165,2.727,2.0638,2.8442
"TCGA.AY.6196.01","Tumor",0.6239,2.0979,3.7646,4.1244,3.5535,2.2543,-2.1779
"GTEX.11DXZ.1626.SM.5GIDI","NonTumor",0.2762,0.3346,2.3106,-9.9658,3.8944,2.5288,-9.9658
"TCGA.D5.6920.01","Tumor",-0.3752,0.5955,3.3952,2.0673,2.362,1.0711,2.362
"TCGA.F4.6461.01","Tumor",0.679,-0.3752,3.7083,4.0082,2.8014,2.5112,-0.6643
"GTEX.Y8LW.1226.SM.4WWDP","NonTumor",1.6964,0.2522,3.0585,-0.7834,4.3807,2.0325,-0.394
"GTEX.14BMU.1326.SM.5RQIH","NonTumor",0.7579,0.4233,1.6374,-4.2934,3.7919,2.004,-0.9406
"TCGA.A6.5667.11","NonTumor",-0.1504,1.0573,3.1245,3.1228,2.791,2.8178,3.6872
"TCGA.D5.6540.01","Tumor",-0.2328,-2.0529,5.1408,3.7688,3.2313,3.3661,-1.4305
"GTEX.12WSJ.1426.SM.5GCON","NonTumor",-0.4325,0.03,1.3623,-5.5735,3.7421,2.0604,-2.2447
"GTEX.X4EO.2726.SM.4E3HS","NonTumor",3.794,-0.0877,0.7748,-2.9324,3.5994,2.7487,-1.9942
"TCGA.G4.6297.01","Tumor",2.1988,2.5511,2.7763,0.7832,2.4934,2.1766,-0.6416
"GTEX.XQ8I.2126.SM.4BOOM","NonTumor",3.1749,1.4859,3.8759,1.6558,3.2587,1.2756,3.0859
"TCGA.A6.2686.01","Tumor",2.0254,-2.1779,4.0383,-2.1779,4.4861,1.5998,2.5852
"TCGA.DM.A28F.01","Tumor",0.7664,3.1409,4.4183,0.7832,2.5413,2.6161,1.8957
"GTEX.WY7C.1626.SM.4ONC8","NonTumor",0.4552,0.7748,1.2992,-4.6082,4.8243,1.3901,-9.9658
"GTEX.VJYA.2026.SM.4KL1K","NonTumor",0.7579,0.3685,3.8944,1.46,3.8964,2.7826,3.3856
"TCGA.CA.5256.01","Tumor",-0.6643,-0.7834,3.0723,0.1776,4.0799,0.6239,1.0642
"TCGA.A6.6142.01","Tumor",0.537,1.9302,2.5213,-1.3183,3.5815,2.1734,0.605
"GTEX.13113.1426.SM.5EGHU","NonTumor",2.7951,1.177,4.4263,2.2452,3.3773,2.5388,3.3264
"GTEX.ZPU1.1926.SM.57WDT","NonTumor",-1.0559,1.0711,2.1047,2.982,2.7657,2.77,3.3814
"GTEX.S341.1426.SM.4AD6U","NonTumor",2.233,0.1257,2.2543,-6.5064,4.6713,2.77,-1.7809
"TCGA.AZ.6608.01","Tumor",-0.1665,3.1045,4.5079,-0.3752,3.1908,3.6566,2.1013
"GTEX.145ME.1126.SM.5SIAT","NonTumor",1.5709,-0.2328,1.412,-5.5735,4.0366,2.5462,-1.9379
"GTEX.111YS.1626.SM.5GZZ9","NonTumor",0.9038,0.2762,0.7233,-6.5064,4.3435,2.4008,-5.0116
"GTEX.14C39.1626.SM.5S2P4","NonTumor",1.0293,0.099,3.0074,-0.7108,3.9374,2.3019,-1.685
"GTEX.RM2N.0926.SM.48FD1","NonTumor",2.3048,1.5216,3.7656,1.6466,2.7889,2.8117,2.2663
"GTEX.117YX.0826.SM.5H11J","NonTumor",-1.4305,0.0014,0.7832,-6.5064,4.5934,1.7828,-1.7322
"GTEX.11DXZ.1726.SM.5H12M","NonTumor",0.679,0.9716,4.8294,1.5514,2.6395,2.727,2.8562
"TCGA.A6.6141.01","Tumor",0.2998,1.3901,3.7389,5.1363,2.7847,0.6425,3.3605
"TCGA.G4.6306.01","Tumor",1.6093,2.167,2.2603,-0.6643,1.674,3.6277,2.0535
"TCGA.AA.3525.11","NonTumor",2.0183,1.0433,2.4701,1.9895,2.9507,2.8462,2.9637
"TCGA.D5.6922.01","Tumor",0.5568,2.2603,3.4648,-0.3201,2.7379,2.0673,0.6699
"GTEX.Q734.1126.SM.48TZY","NonTumor",0.7493,1.614,4.5186,2.7951,3.1685,2.3843,3.1876
"GTEX.QDVJ.1326.SM.48U1X","NonTumor",1.7617,0.1124,3.4129,0.24,3.2112,1.7575,1.4911
"TCGA.DM.A288.01","Tumor",-1.9942,-5.5735,4.5976,-0.8599,2.4727,2.6114,1.5064
"TCGA.AZ.6600.11","NonTumor",-3.816,0.9038,0.9038,2.8301,2.4306,2.8858,3.1228
"GTEX.145LT.0926.SM.5LU9C","NonTumor",1.3623,2.0254,3.4102,2.5213,2.8137,3.3407,3.7204
"GTEX.OIZH.1426.SM.3NB1O","NonTumor",0.2642,1.4281,4.0756,1.1833,3.8177,2.5996,2.1798
"GTEX.XV7Q.2126.SM.4BRVX","NonTumor",-0.7834,1.9931,4.2389,1.9264,2.8462,2.3106,2.9875
"GTEX.11P81.1426.SM.5P9JN","NonTumor",2.971,0.9789,1.5115,-9.9658,3.9599,2.685,-5.5735
"GTEX.WEY5.1426.SM.4LMJ3","NonTumor",1.1641,-0.4921,1.2875,-5.5735,4.0233,2.0535,-2.7274
"GTEX.W5WG.2426.SM.4LMI6","NonTumor",0.346,1.0222,3.5803,2.3649,2.6805,2.5561,3.0602
"TCGA.DM.A1HB.01","Tumor",-0.9132,-3.816,4.4855,2.578,2.753,2.5137,1.2147
"GTEX.13OVJ.1826.SM.5KM2D","NonTumor",1.8323,-0.1504,3.6066,-3.0469,2.7972,2.8779,-2.1779
"GTEX.RU1J.1326.SM.46MUL","NonTumor",0.8164,0.7832,3.6961,1.6604,4.2563,2.5536,2.5437
"GTEX.R55D.1826.SM.48FEF","NonTumor",1.0983,2.1378,4.2189,0.7664,2.7205,2.826,2.8137
"GTEX.X3Y1.1726.SM.4PQZL","NonTumor",0.044,1.3567,2.5756,3.5187,3.0825,2.6302,2.2237
"GTEX.12WSJ.1526.SM.5GCNI","NonTumor",0.688,0.3231,1.1833,-4.6082,3.3661,2.1925,-1.5105
"GTEX.14E6E.1526.SM.5RQIG","NonTumor",1.7229,0.4865,4.764,1.8683,2.8178,2.6715,2.876
"TCGA.A6.2682.01","Tumor",2.3649,1.8201,4.7986,0.2029,2.6602,2.4857,0.8408
"GTEX.X15G.1526.SM.4PQZM","NonTumor",3.3925,0.7748,2.4412,-5.0116,4.9547,2.7007,-4.6082
"GTEX.PWOO.1326.SM.48TCJ","NonTumor",-2.3147,1.8078,3.4251,4.3321,3.2282,1.9675,2.5948
"TCGA.CK.4951.01","Tumor",-0.1031,2.2237,2.0076,0.1776,2.7444,2.0254,2.5852
"TCGA.CK.4948.01","Tumor",1.1706,-0.4131,1.7229,0.4761,2.874,2.0878,1.8996
"GTEX.13FH7.1626.SM.5J2O9","NonTumor",1.334,0.5271,2.1957,-9.9658,4.4588,2.4198,-9.9658
"GTEX.ZVT2.1726.SM.51MRO","NonTumor",1.0007,-0.3566,2.362,-6.5064,4.4932,2.4306,-3.1714
"GTEX.13QBU.1826.SM.5IJG3","NonTumor",1.3109,1.3051,3.7356,2.7401,2.496,2.5437,2.6624
"GTEX.QEL4.1926.SM.4R1JI","NonTumor",2.043,1.5854,3.9617,1.2696,3.6254,2.4675,2.6487
"TCGA.F4.6856.01","Tumor",-0.4521,-2.6349,3.3883,4.0037,4.1086,2.8137,3.0145
"TCGA.F4.6569.01","Tumor",0.434,-0.3752,2.4279,-1.1172,2.753,2.299,1.3397
"TCGA.CM.6163.01","Tumor",0.4657,2.2931,0.8568,2.1213,1.7995,3.0825,1.46
"TCGA.D5.6535.01","Tumor",1.4388,2.2051,4.0109,1.6695,1.9527,1.9749,1.9931
"GTEX.P78B.1726.SM.3P5ZV","NonTumor",2.328,0.9862,2.0673,1.2696,3.2722,1.7954,1.6649
"GTEX.14A5H.1626.SM.5SIAN","NonTumor",1.1316,-1.9379,1.2992,-5.5735,2.9432,2.5972,-3.3076
"TCGA.5M.AAT6.01","Tumor",0.1648,1.177,2.4465,2.4171,4.0046,3.421,-1.5522
"TCGA.A6.5662.11","NonTumor",0.9191,0.688,2.3337,1.787,3.0498,2.791,2.5338
"TCGA.AA.3526.01","Tumor",-1.5522,-1.8314,3.4061,2.6783,3.0671,0.5568,1.6187
"GTEX.UJHI.1126.SM.4IHLN","NonTumor",-0.0877,0.8327,4.8694,3.4933,3.3549,3.1765,3.483
"TCGA.AA.3514.11","NonTumor",-0.4921,0.6969,2.3251,0.517,0.9568,2.3898,1.7617
"TCGA.AD.6895.01","Tumor",-0.3022,1.5366,2.4908,2.9839,2.9356,2.6302,0.8568
"TCGA.G4.6586.01","Tumor",0.2881,-5.0116,4.81,1.2271,2.5511,3.1045,1.8363
"GTEX.13O61.1526.SM.5KM3P","NonTumor",0.2642,-0.3566,0.0014,-4.6082,4.0926,2.1574,-3.458
"TCGA.NH.A8F8.01","Tumor",-0.9132,2.6984,2.8562,1.334,2.676,2.1213,2.108
"TCGA.D5.6529.01","Tumor",0.7748,-0.6873,1.8918,0.1388,2.3926,1.9377,2.9729
