"","group","RP5.1021I20.1","RP11.440D17.3","MIR210HG","LINC00261","AC113189.5","CTB.25B13.12","AC114730.3"
"TCGA.DM.A0XF.01","Tumor",-0.1031,2.5683,2.4063,2.4332,3.0961,3.0074,2.9839
"GTEX.XBED.1526.SM.4AT5W","NonTumor",0.4657,0.8408,4.0383,3.0376,3.2587,2.4571,2.3251
"TCGA.A6.5667.01","Tumor",-0.5332,0.0854,1.9302,-0.2328,2.2391,2.9375,0.3573
"GTEX.UJMC.1326.SM.4IHLS","NonTumor",0.3115,1.6604,4.862,2.1411,3.6089,2.8681,3.5535
"GTEX.11TUW.2326.SM.5EQMO","NonTumor",1.0642,-1.0862,4.309,-6.5064,3.5449,2.9432,-3.3076
"GTEX.139YR.2126.SM.5KM11","NonTumor",-0.2328,1.8078,4.1228,2.6487,2.9071,2.0604,3.2328
"GTEX.Y8E4.2426.SM.4WWDN","NonTumor",1.3956,1.412,2.6067,1.2696,3.603,1.9452,2.3508
"TCGA.CM.6169.01","Tumor",-2.8262,2.3077,1.1447,-0.5125,2.3732,1.766,-1.2481
"GTEX.Q2AH.1226.SM.48TZL","NonTumor",-0.013,1.0079,5.0653,2.6278,2.9984,2.1702,3.1228
"GTEX.WQUQ.2626.SM.4MVNP","NonTumor",2.3337,0.9642,1.3397,1.1706,4.5255,2.4117,0.7321
"GTEX.12ZZX.2726.SM.5N9FT","NonTumor",2.3649,0.8568,0.3346,-5.5735,3.5669,3.5136,-3.458
"TCGA.CA.6719.01","Tumor",-1.0559,2.826,3.1781,0.547,2.0844,2.5561,2.0004
"GTEX.11ZTT.1626.SM.5EQKR","NonTumor",2.1444,0.2998,1.0915,-6.5064,3.4687,1.8119,-0.9971
"TCGA.D5.7000.01","Tumor",0.5271,-2.114,3.794,2.5413,2.376,2.7205,2.5061
"TCGA.G4.6625.01","Tumor",0.2029,1.8201,1.9415,2.0004,2.9432,2.4675,1.8363
"TCGA.CM.6680.01","Tumor",2.5363,2.8442,4.3709,4.981,3.0428,2.824,4.3965
"GTEX.YEC3.2026.SM.5CVLQ","NonTumor",0.7999,-0.0425,2.3394,-3.3076,3.9365,2.1894,-3.816
"GTEX.11ZTS.1526.SM.5N9G7","NonTumor",2.6895,-0.0725,2.5924,-3.816,3.8054,2.9875,-1.5522
"GTEX.XUW1.1926.SM.4BOP1","NonTumor",0.044,0.6969,2.2082,1.8722,3.3379,2.578,2.3704
"GTEX.QMRM.1226.SM.447C6","NonTumor",-0.5125,0.7916,3.2002,2.9413,3.483,2.0946,2.3337
"GTEX.WFG7.1526.SM.4LVMG","NonTumor",0.9343,1.5465,3.7783,2.8402,3.0305,2.5263,2.9765
"GTEX.WH7G.1326.SM.4LVMS","NonTumor",2.1988,1.0983,3.3938,2.9413,3.6089,2.7615,1.9264
"TCGA.CM.6166.01","Tumor",-0.6416,3.1195,-0.1504,0.2762,2.299,3.1245,3.2313
"GTEX.Y3I4.1126.SM.4TT7Y","NonTumor",1.5514,-0.1031,1.3735,-6.5064,4.1019,2.2482,-2.0529
"GTEX.12WSL.1626.SM.5GCMU","NonTumor",2.1476,0.5568,1.0503,-3.0469,4.4033,2.6138,-3.0469
"GTEX.W5WG.2026.SM.4LMIB","NonTumor",0.4865,1.1316,4.6571,3.3828,2.233,2.409,3.7138
"TCGA.NH.A6GB.01","Tumor",-0.7346,-2.7274,4.1668,-1.4699,1.5064,2.561,-0.3201
"TCGA.D5.6923.01","Tumor",1.5316,1.7489,1.7532,-0.7346,0.9419,2.3164,1.8524
"TCGA.AZ.4614.01","Tumor",0.9493,2.1638,2.6715,2.6302,2.4934,3.2435,-0.9406
"TCGA.CM.5864.01","Tumor",-0.0277,2.8974,-2.9324,0.058,1.9377,2.3251,-1.8314
"GTEX.147F3.1926.SM.5SIB9","NonTumor",2.0707,1.3791,3.6894,3.6838,3.0199,2.828,3.7919
"GTEX.11EQ8.2626.SM.5N9BO","NonTumor",-2.3147,0.7407,2.1213,-6.5064,3.5249,2.8955,-0.9686
"GTEX.111CU.1226.SM.5EGIN","NonTumor",0.4967,0.0718,3.0498,-5.5735,3.6532,2.909,-3.0469
"TCGA.AA.3655.11","NonTumor",1.5612,1.9564,2.4386,3.1955,3.8075,2.6918,2.8838
"TCGA.CK.5912.01","Tumor",0.7146,3.4224,1.6875,-0.7108,3.795,1.6512,1.3735
"TCGA.D5.6927.01","Tumor",-1.8836,1.0151,4.576,0.0014,3.8198,1.3956,1.4962
"GTEX.ZV7C.1526.SM.5NQ72","NonTumor",0.3573,1.2333,4.8334,2.609,3.1195,2.874,3.3307
"TCGA.QG.A5YW.01","Tumor",0.1776,-3.0469,3.8401,3.2282,1.9564,2.7357,3.3293
"GTEX.11TTK.2426.SM.5PNYO","NonTumor",2.4465,0.7999,2.6043,-5.0116,4.2624,2.971,-3.816
"GTEX.ZY6K.1326.SM.5GZWP","NonTumor",-0.0877,0.099,1.7097,-6.5064,3.991,1.9302,-2.0529
"TCGA.D5.6532.01","Tumor",-1.3921,1.4911,2.299,-0.5332,2.2872,2.4465,2.1147
"TCGA.CM.6172.01","Tumor",-0.0277,0.4967,1.177,2.5413,2.9544,2.4908,3.2856
"GTEX.13CF2.1826.SM.5N9GK","NonTumor",2.4412,0.9716,2.6533,-0.5973,4.1563,2.6715,-1.3548
"TCGA.D5.6533.01","Tumor",-1.4699,-2.2447,2.1013,-0.7588,2.3871,2.0535,-1.3183
"GTEX.13PL7.2526.SM.5IFGR","NonTumor",0.0718,0.7832,4.1684,1.7702,2.0776,2.7095,2.8321
"TCGA.AA.3697.11","NonTumor",0.058,0.8647,2.3048,3.0305,3.0163,2.1247,1.6374
"TCGA.DM.A28H.01","Tumor",-0.3022,2.2421,0.6517,-0.9686,2.6783,2.5413,0.6608
"TCGA.F4.6460.01","Tumor",0.2881,3.7846,3.5337,2.8916,3.7345,3.3206,1.1117
"TCGA.D5.5540.01","Tumor",0.2154,2.5658,2.128,3.1426,2.5137,1.7009,-1.1811
"TCGA.A6.5660.01","Tumor",0.3573,1.2147,2.5756,1.2992,2.1411,2.5948,3.2143
"TCGA.F4.6463.01","Tumor",-1.3548,1.8119,1.8564,2.9488,2.982,1.642,1.0433
"GTEX.133LE.1526.SM.5IFEN","NonTumor",0.099,1.412,3.9737,4.3499,1.7053,2.4544,3.4318
"TCGA.CM.6170.01","Tumor",-2.3147,-1.5951,2.3788,1.949,1.6785,1.9712,1.5514
"GTEX.1399R.2226.SM.5P9JB","NonTumor",0.1903,1.4011,4.1153,1.7954,3.0498,3.2856,3.9403
"TCGA.AA.3662.11","NonTumor",1.2455,2.3451,3.2944,4.5946,2.9469,2.9747,3.1011
"TCGA.QG.A5Z2.01","Tumor",0.8726,-1.5105,3.9289,6.097,2.9338,2.9052,2.8014
"TCGA.A6.2675.11","NonTumor",1.7786,1.0433,1.7828,2.108,3.0568,2.1345,3.055
"GTEX.Y5LM.1526.SM.4VDTA","NonTumor",0.9343,1.3283,4.5934,2.7227,2.9525,2.9356,2.6533
"GTEX.WFG8.1526.SM.5CHSI","NonTumor",-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
"GTEX.1212Z.1826.SM.5FQSH","NonTumor",1.6045,0.2998,1.0915,-2.5479,4.3133,2.7615,-0.2671
"GTEX.ZXES.1626.SM.5NQ7L","NonTumor",1.3956,-0.3022,0.434,-5.0116,3.0358,2.118,-2.6349
"GTEX.13111.0726.SM.5DUVE","NonTumor",1.1117,0.8327,4.0348,2.0325,2.7931,2.9984,3.5547
"GTEX.131XE.1026.SM.5EGKE","NonTumor",1.2023,0.517,1.105,-9.9658,4.2795,2.2693,-2.0529
"GTEX.ZEX8.1926.SM.4WKFR","NonTumor",1.1577,0.9568,4.5205,2.1378,2.7763,2.236,3.1311
"TCGA.G4.6294.01","Tumor",3.1892,3.6474,-0.2845,-0.5756,3.1749,2.3479,2.8402
"GTEX.13OW8.2726.SM.5L3FZ","NonTumor",2.77,0.4016,0.7058,-9.9658,3.863,3.0287,-2.5479
"GTEX.11ILO.2026.SM.5N9CQ","NonTumor",0.7832,1.4388,2.5288,0.4761,3.2002,1.642,-0.9971
"TCGA.D5.6530.01","Tumor",2.2633,-0.5973,3.3993,4.352,3.0074,2.909,3.3177
"GTEX.145LS.2926.SM.5O99G","NonTumor",4.178,0.9115,1.6785,-5.5735,4.1875,2.9167,-3.0469
"GTEX.145MO.2426.SM.5NQ9W","NonTumor",1.8484,0.3231,0.9343,-3.0469,4.2173,2.8582,-2.5479
"TCGA.G4.6315.01","Tumor",2.1378,1.692,2.9784,2.2299,1.8282,2.0325,1.5115
"TCGA.AA.A01P.01","Tumor",-0.8339,-1.3183,2.9692,-0.4719,3.2647,2.7029,-1.6394
"TCGA.G4.6303.01","Tumor",1.3167,-2.4659,2.685,0.4552,1.7828,2.7805,-1.2142
"GTEX.13FHP.2426.SM.5KLZ5","NonTumor",2.2543,0.8488,0.8082,-0.8339,4.018,2.3106,-1.3548
"GTEX.13O21.2426.SM.5MR4A","NonTumor",2.5437,1.7316,4.9383,2.7357,2.8838,2.3366,3.5274
"GTEX.132AR.2726.SM.5PNVN","NonTumor",-0.8084,2.1345,3.3869,1.8524,2.4779,2.1213,3.2127
"TCGA.AZ.4682.01","Tumor",2.1894,-2.114,2.4359,2.3222,1.4756,1.9786,2.3871
"TCGA.AA.3527.11","NonTumor",2.2051,1.4065,2.0325,1.6695,2.5413,2.5561,2.4934
"TCGA.AD.6890.01","Tumor",-0.0574,1.8996,3.5461,1.9264,2.7572,1.9527,3.506
"GTEX.XAJ8.0726.SM.47JY5","NonTumor",-0.9971,-0.7834,2.5087,-0.9406,3.9534,1.7954,-0.9132
"GTEX.ZYWO.1626.SM.5E44H","NonTumor",-1.1488,1.2085,3.832,1.736,2.9488,1.0151,2.1988
"TCGA.AD.6889.01","Tumor",-0.3752,-3.816,3.4971,1.9895,4.3569,2.5924,1.4228
"GTEX.147GR.2826.SM.5RQK8","NonTumor",3.3264,0.7321,0.7999,-3.816,3.2856,3.1442,-4.035
"GTEX.XUW1.1826.SM.4BOQD","NonTumor",0.03,-0.0574,1.4281,-2.6349,4.2173,2.5756,-2.9324
"GTEX.11DXX.1826.SM.5H126","NonTumor",0.1776,0.7832,4.9132,2.3394,2.7465,2.6918,3.2002
"TCGA.CK.4950.01","Tumor",1.1316,2.2175,1.4808,2.7029,2.4412,2.3222,1.5366
"TCGA.CM.5344.01","Tumor",-1.2142,1.5316,2.3732,3.6928,3.29,2.9655,-0.6643
"TCGA.QG.A5Z1.01","Tumor",0.537,0.7146,3.6759,-0.8863,2.3308,2.676,1.8722
"GTEX.1122O.1426.SM.5H11R","NonTumor",0.4967,-0.5543,0.9038,-3.3076,4.4823,2.685,-4.2934
"GTEX.ZAB4.2226.SM.5HL97","NonTumor",3.242,1.0642,4.0401,-1.6394,3.208,1.8484,0.3796
"TCGA.G4.6628.01","Tumor",1.0779,-2.3147,0.6332,5.4793,3.1212,3.5047,-3.458
"TCGA.D5.6534.01","Tumor",-0.0725,0.0014,0.6517,0.3796,2.5413,2.8442,1.9786
"GTEX.12WSM.1426.SM.5GCPA","NonTumor",0.6969,-0.0277,0.1648,-1.8314,3.7857,2.9128,-3.816
"GTEX.WXYG.1726.SM.4ONCU","NonTumor",0.6145,-0.0725,2.2901,-6.5064,4.2056,2.6693,-5.0116
"TCGA.AA.3663.11","NonTumor",2.3164,1.614,2.2573,0.6969,3.0092,2.5288,2.0465
"TCGA.A6.5659.01","Tumor",0.560069731623,2.52463570621,2.25230291305,0.827263158932,1.6770010975,2.12135982868,0.56329368239
"GTEX.11EMC.1426.SM.5N9E4","NonTumor",0.9493,0.6969,1.4911,-2.4659,3.3828,2.7249,-2.6349
"GTEX.U3ZM.1126.SM.4DXUB","NonTumor",2.7227,1.4065,4.7285,1.4652,3.4971,2.685,3.3787
"TCGA.CM.5862.01","Tumor",1.0363,3.011,0.537,0.6425,2.1638,2.8701,-1.4305
"GTEX.131XE.0826.SM.5HL9W","NonTumor",-0.1187,1.46,3.3993,2.1798,3.2662,2.7336,3.7389
"TCGA.AA.3697.01","Tumor",-0.7588,0.1257,2.9224,1.5064,1.3901,2.128,-0.6643
"TCGA.F4.6704.01","Tumor",0.6145,0.1648,1.8404,5.9267,4.2699,2.676,0.2881
"GTEX.ZA64.1426.SM.5CVMC","NonTumor",2.6302,-1.3183,0.6969,-9.9658,2.8442,2.5683,-4.2934
"TCGA.CK.6751.01","Tumor",0.1776,0.8805,2.3451,2.6278,2.3366,2.4597,2.1574
"GTEX.13111.1926.SM.5GCOL","NonTumor",1.8119,0.5568,0.0854,-6.5064,4.0523,2.7422,-1.9379
"TCGA.AD.A5EJ.01","Tumor",-0.6643,-2.7274,4.4283,5.9791,3.2915,3.0463,2.4465
"TCGA.T9.A92H.01","Tumor",-1.9379,3.3647,3.7138,1.7617,2.8858,1.884,2.5238
"TCGA.AA.3713.11","NonTumor",2.6918,1.6695,1.0915,2.1798,3.5535,2.0465,1.2516
"TCGA.CA.6716.01","Tumor",-0.4921,-2.3147,2.0254,1.8879,2.7742,2.3222,3.492
"TCGA.AA.3660.11","NonTumor",0.9862,2.0979,3.091,3.4856,2.9784,2.6208,2.3898
"TCGA.AA.3489.11","NonTumor",1.3901,1.0079,2.4439,2.7972,3.6242,1.3956,1.5415
"GTEX.13W3W.2226.SM.5LU4M","NonTumor",2.7073,1.3109,2.651,2.4035,2.5363,2.1734,3.3647
"TCGA.AA.A01Z.01","Tumor",-1.1811,2.6602,2.8994,1.6964,2.4571,2.2452,1.7316
"GTEX.13SLW.2826.SM.5Q5ES","NonTumor",2.3308,0.5666,2.4544,-6.5064,4.6059,2.8096,-2.9324
"GTEX.1128S.1626.SM.5H12O","NonTumor",2.9747,1.4335,4.4183,1.0433,3.4237,2.9338,2.3193
"GTEX.14AS3.1126.SM.5Q5CR","NonTumor",2.3704,0.8327,0.7579,-3.3076,3.9459,2.081,-4.2934
"GTEX.Q2AI.0926.SM.48U1F","NonTumor",-0.1187,1.7446,3.8075,2.167,2.8858,2.5731,3.2374
"TCGA.D5.5537.01","Tumor",-0.6643,2.9375,2.9674,0.1388,2.1509,1.816,3.1162
"GTEX.SNOS.1226.SM.4DM5H","NonTumor",0.24,0.5859,3.7269,2.0076,3.8818,2.3451,3.0358
"GTEX.YB5E.1626.SM.5IFIQ","NonTumor",0.0014,0.3346,3.9617,2.7249,2.5924,2.7314,2.8014
"TCGA.D5.6531.01","Tumor",-0.9686,-3.0469,3.29,-1.5105,1.1382,2.8034,-0.7108
"TCGA.G4.6317.02","Tumor",0.0854,2.8522,2.7826,0.2881,2.8877,2.2082,0.9862
"TCGA.DM.A1D9.01","Tumor",-0.2498,-3.6259,-0.1504,3.7302,1.6695,3.0515,2.8055
"TCGA.DM.A1DB.01","Tumor",1.683,2.8402,1.4547,-0.5332,2.9205,3.4102,2.1541
"TCGA.A6.A5ZU.01","Tumor",-0.4719,3.4264,3.2885,-0.8339,2.826,2.4279,-1.5105
"TCGA.NH.A5IV.01","Tumor",0.0014,-4.035,2.6962,2.7805,3.9289,3.4804,3.8218
"TCGA.A6.6651.01","Tumor",0.5568,2.9071,-0.6416,0.1124,3.0323,2.4306,1.6045
"TCGA.CA.6715.01","Tumor",-1.7809,3.5047,3.5742,-0.9686,2.4701,1.4065,1.5415
"GTEX.117XS.2226.SM.5GIE1","NonTumor",1.6785,0.6969,2.3394,-9.9658,3.9421,2.8661,-9.9658
"GTEX.WYVS.1126.SM.4SOJX","NonTumor",2.0111,0.9716,1.0847,-9.9658,4.1425,1.9302,-5.0116
"TCGA.CM.6674.01","Tumor",0.4761,-0.1993,2.376,5.2442,3.0252,2.2421,-0.394
"GTEX.XYKS.2226.SM.4E3IU","NonTumor",-0.3566,1.2875,3.7773,1.46,2.8916,2.5238,2.6873
"TCGA.D5.6932.01","Tumor",2.1702,2.7205,3.603,2.2633,2.4117,3.7215,3.1228
"TCGA.A6.2685.11","NonTumor",-0.7834,0.1257,2.4439,2.9186,2.5061,2.6624,3.2328
"TCGA.A6.6137.01","Tumor",-0.6193,2.4857,3.5682,0.24,1.9822,2.9394,1.8484
"GTEX.117YX.0526.SM.5EGJH","NonTumor",0.2277,0.4865,1.614,-2.0529,4.6317,2.2633,-2.5479
"GTEX.12KS4.2426.SM.5LU8P","NonTumor",1.7403,1.0779,4.232,2.2452,3.2481,1.6785,1.787
"TCGA.CK.5916.01","Tumor",-1.5105,-2.0529,1.5902,-3.1714,2.5731,2.3479,-1.1172
"GTEX.QLQ7.1126.SM.4R1KN","NonTumor",-0.3201,0.7999,1.4547,-5.5735,3.9421,1.7828,-4.6082
"GTEX.ZF2S.1826.SM.4WKFF","NonTumor",0.4865,1.196,1.642,-1.9942,3.7432,1.9712,-1.7322
"TCGA.F4.6459.01","Tumor",-0.3383,2.4883,3.335,-0.5543,3.7961,2.3871,0.1388
"GTEX.ZYFG.1926.SM.5GID5","NonTumor",3.1813,0.517,1.334,-5.0116,3.9289,2.5263,-9.9658
"TCGA.CM.6165.01","Tumor",0.3115,-0.8084,2.5536,2.4035,2.3337,1.6234,2.7721
"TCGA.A6.3810.01","Tumor",-1.6393510898,-2.82623709847,0.903795842718,0.39615183881,1.17695417564,1.32249787217,0.470965956031
"GTEX.14DAR.1526.SM.5RQIX","NonTumor",0.7916,1.5266,4.6,2.4279,1.8918,3.1955,2.8622
"TCGA.A6.6780.01","Tumor",-0.89523763154,-0.0325999698568,2.64564126857,-3.56774477139,1.40287551948,1.41376904659,1.50472680758
"GTEX.14A5I.2426.SM.5Q5CP","NonTumor",1.8957,0.547,2.8562,-3.458,4.1136,2.8799,-2.114
"GTEX.ZF29.1826.SM.4WKG8","NonTumor",2.7742,0.0158,2.7117,-0.5973,3.9099,3.0428,1.4388
"GTEX.ZYVF.2826.SM.5GIDK","NonTumor",1.125,0.4233,3.8993,-3.816,2.6395,1.5216,-2.114
"GTEX.1399S.1926.SM.5J2M5","NonTumor",2.0979,0.7664,4.7458,2.5112,2.3337,2.9784,3.5863
"GTEX.13CF3.1426.SM.5K7YY","NonTumor",-0.5543,-1.2142,0.4016,-6.5064,3.154,1.5216,-2.1779
"TCGA.CM.6677.01","Tumor",0.8082,-2.8262,2.183,-0.013,2.2753,1.8996,1.7273
"GTEX.13O61.1626.SM.5KM3T","NonTumor",1.0573,-0.4719,0.2029,-4.035,3.9223,2.183,-2.9324
"TCGA.G4.6322.01","Tumor",0.2642,-3.0469,4.5693,7.0356,4.2766,3.4156,2.6302
"TCGA.F4.6854.01","Tumor",-0.7588,1.0433,0.5271,2.2573,2.3135,2.376,1.4962
"TCGA.A6.A565.01","Tumor",-0.0277,0.099,4.429,4.6294,2.5011,2.3337,1.3679
"GTEX.ZE9C.2126.SM.4WKGY","NonTumor",3.4291,0.4657,1.6875,-3.3076,4.1748,2.9356,-4.6082
"GTEX.XGQ4.1226.SM.4AT67","NonTumor",1.8683,0.517,2.982,1.0363,3.5596,2.1247,2.0946
"TCGA.A6.A56B.01","Tumor",-0.1031,-2.0529,3.0533,1.5854,0.9343,3.4075,2.4306
"GTEX.WFG8.1726.SM.4LVM6","NonTumor",1.5902,-0.0425,0.7999,-2.7274,4.4771,2.8178,-2.7274
"TCGA.AY.A54L.01","Tumor",-0.8863,0.7407,2.8542,1.5612,3.7518,1.9415,0.9642
"TCGA.A6.5665.01","Tumor",-1.37954376768,-3.12865296087,4.11750520129,2.84148897844,2.70288236127,1.37353652713,0.898685445676
"TCGA.A6.2677.01","Tumor",0.872599650449,-2.54795793376,2.42655185417,-2.87828765659,-0.0649147034874,0.953085096707,0.50184090759
"TCGA.CM.6162.01","Tumor",-0.8084,-0.013,2.3732,3.8208,2.4386,1.3283,2.0465
"GTEX.144GM.1226.SM.5LU52","NonTumor",-0.3566,0.5955,3.1011,3.0234,2.0604,2.1606,1.105
"GTEX.WI4N.2226.SM.4OOS9","NonTumor",1.9073,-0.7346,4.9561,-2.2447,3.637,2.5413,-2.8262
"TCGA.D5.6541.01","Tumor",0.688,1.2576,1.1382,-0.394,2.1702,1.9859,1.2992
"TCGA.CM.5348.01","Tumor",0.7146,2.9432,2.8542,-0.4719,2.9148,3.0978,1.4228
"GTEX.11GSP.1626.SM.5986N","NonTumor",1.334,-0.3752,2.5707,-5.5735,3.4971,2.5828,-3.1714
"TCGA.4T.AA8H.01","Tumor",-0.9132,1.9073,2.5087,2.685,3.2811,3.5766,2.6302
"GTEX.13D11.0826.SM.5KLZJ","NonTumor",1.125,1.2394,4.5405,1.5661,2.7594,2.791,2.753
"TCGA.5M.AATA.01","Tumor",0.2522,-2.9324,0.6145,2.3788,2.3732,2.8178,3.0808
"TCGA.AY.A71X.01","Tumor",1.0363,-0.3201,4.026,5.3855,2.9052,2.59,3.1955
"TCGA.NH.A50T.01","Tumor",-2.2447,-3.6259,3.3478,-1.4699,2.6208,1.9111,2.6395
"TCGA.AA.3520.11","NonTumor",-0.3752,1.2636,2.4279,1.8078,2.1894,3.0038,3.1955
"TCGA.DM.A28C.01","Tumor",0.1903,3.0619,-0.2845,-0.8599,2.6418,1.3109,2.7205
"GTEX.1399R.2126.SM.5K7WZ","NonTumor",1.0779,1.1184,0.6239,-1.9379,3.837,2.3077,-3.816
"GTEX.WOFM.2026.SM.4OOSQ","NonTumor",2.6533,1.4065,4.5485,2.4701,2.8199,2.8877,3.0181
"TCGA.AD.6965.01","Tumor",0.7058,2.2421,3.2096,3.0808,2.3337,2.7117,2.3164
"TCGA.DM.A0XD.01","Tumor",-0.3022,-2.5479,3.4971,-2.114,1.7009,2.4727,2.1345
"GTEX.YEC4.1926.SM.5IFHJ","NonTumor",2.7636,0.044,1.3679,-4.035,3.8857,3.0671,-1.3921
"GTEX.WHWD.1526.SM.4OORV","NonTumor",0.8883,0.8568,1.5612,-4.2934,4.449,2.3732,-2.6349
"GTEX.S7SF.1926.SM.4AT5B","NonTumor",0.5069,1.5854,4.3779,1.7185,3.2944,2.5683,2.4332
"GTEX.QCQG.1626.SM.48U26","NonTumor",0.3685,1.3956,4.7788,3.6532,2.9432,2.7993,3.1507
"GTEX.QV31.0826.SM.4R1KR","NonTumor",0.7916,1.0293,3.1458,3.242,2.7972,2.362,3.2929
"TCGA.CA.6717.01","Tumor",-1.5522,0.4447,3.3773,2.4144,2.8321,1.6875,1.1833
"TCGA.A6.6782.01","Tumor",0.547,1.8524,2.8701,0.0718,2.5876,1.6604,1.5902
"TCGA.A6.2674.01","Tumor",-2.17783243357,-1.88361912239,2.44781166436,3.86749062973,1.93206106347,1.63041445194,0.0786174311048
"GTEX.ZP4G.1526.SM.57WE5","NonTumor",1.0847,0.3573,1.3623,-6.5064,4.9878,2.2753,-2.5479
"TCGA.G4.6626.01","Tumor",0.1257,4.1027,3.1892,1.692,2.8681,3.6737,1.8801
"GTEX.132AR.2826.SM.5IJFV","NonTumor",-1.4305,1.3397,-0.5125,-3.6259,4.1376,1.196,-2.3884
"GTEX.WHPG.1626.SM.4M1ZL","NonTumor",3.1653,1.1641,2.2144,-9.9658,4.3492,2.4883,-5.0116
"GTEX.13O1R.2426.SM.5KLZZ","NonTumor",1.8404,-0.2498,3.2343,-9.9658,3.4116,2.4412,-1.1811
"GTEX.11GS4.1826.SM.5HL4T","NonTumor",1.4808,0.4016,0.2522,-6.5064,3.8719,2.7551,-3.0469
"TCGA.CM.4744.01","Tumor",-0.2159,-2.5479,3.1588,-1.9942,3.6928,2.1047,-1.4305
"TCGA.AZ.6605.01","Tumor",0.2998,2.0776,1.4065,1.787,2.6371,2.4727,0.0718
"TCGA.A6.2680.11","NonTumor",0.8488,0.24,2.5876,1.5064,2.6185,3.242,-2.1779
"GTEX.WRHK.1126.SM.4MVOJ","NonTumor",0.8246,-0.4131,1.9786,1.4962,4.1244,2.8661,-0.013
"GTEX.11EQ9.1526.SM.5PNY7","NonTumor",1.7828,0.1776,3.4843,1.4441,3.5645,2.3592,1.0847
"TCGA.AZ.6601.01","Tumor",0.4016,-1.4305,2.9581,0.7579,2.5263,2.4623,-0.0877
"GTEX.XUJ4.2126.SM.4BOOX","NonTumor",2.0604,-0.1665,1.6875,-5.5735,4.5473,2.6738,-9.9658
"GTEX.WFON.1426.SM.4LVMT","NonTumor",2.9893,2.1378,3.9983,1.3051,2.9224,3.1112,3.1717
"GTEX.11P82.1026.SM.5BC5J","NonTumor",1.0779,1.4652,2.4144,1.9034,1.595,1.8444,2.1734
"TCGA.A6.2684.01","Tumor",-1.31832138889,1.40832873384,2.83681089596,-0.97804088033,1.66493144509,1.14902326314,-0.978045506701
"GTEX.ZLV1.1226.SM.4WWBX","NonTumor",2.296,1.6604,3.8013,1.766,2.59,2.5338,3.2049
"TCGA.AZ.4315.01","Tumor",0.4967,2.828,1.7229,-2.6349,4.1748,1.3735,1.334
"TCGA.CM.4751.01","Tumor",1.7489,-0.9132,3.9118,1.9712,1.8242,2.6873,2.167
"TCGA.AA.3675.01","Tumor",-0.013,2.8034,2.6738,-0.5125,3.0323,1.8918,1.4335
"GTEX.X15G.1326.SM.4PQZJ","NonTumor",2.1345,1.0503,4.8069,1.5115,2.9262,2.3337,2.5238
"TCGA.G4.6317.01","Tumor",1.6327,2.4675,1.0151,1.0642,2.7551,3.2466,2.0465
"TCGA.DM.A28A.01","Tumor",-0.1993,2.0325,4.2609,2.296,2.9581,2.9544,0.058
"TCGA.AA.3660.01","Tumor",-0.3383,2.6805,2.6579,2.561,2.5061,1.6695,1.4911
