"ENSG_id","beta","HR","CI","wald.test","HR.pvalue","Symbol"
"ENSG00000269416.4",0.0092,1," (0.871-1.17)",0.01,0.903,"LINC01224"
"ENSG00000275479.1",0.036,1," (0.954-1.13)",0.71,0.398,"RP11-334C17.6"
"ENSG00000273055.1",0.14,1.1," (0.968-1.36)",2.51,0.113,"CTB-13F3.1"
"ENSG00000269680.1",0.34,1.4," (1.1-1.79)",7.51,0.00614,"CTD-3128G10.6"
"ENSG00000271824.1",0.0084,1," (0.94-1.08)",0.05,0.815,"AC009014.3"
"ENSG00000237424.1",0.099,1.1," (0.887-1.37)",0.78,0.377,"FOXD2-AS1"
"ENSG00000226824.5",0.23,1.3," (1-1.58)",3.9,0.0483,"RP4-756H11.3"
"ENSG00000255153.1",0.14,1.1," (0.899-1.47)",1.22,0.269,"TOLLIP-AS1"
"ENSG00000261663.1",0.075,1.1," (0.876-1.33)",0.5,0.479,"RP11-304L19.11"
"ENSG00000255774.1",-0.036,0.96," (0.857-1.09)",0.36,0.549,"AP000439.3"
"ENSG00000239911.2",0.073,1.1," (0.953-1.21)",1.4,0.237,"PRKAG2-AS1"
"ENSG00000272079.2",-0.044,0.96," (0.822-1.12)",0.31,0.576,"LA16c-380H5.5"
"ENSG00000224870.5",0.061,1.1," (0.732-1.54)",0.1,0.748,"RP4-758J18.2"
"ENSG00000270015.1",0.33,1.4," (1.05-1.85)",5.23,0.0222,"RP11-540B6.6"
"ENSG00000227719.1",0.13,1.1," (0.956-1.35)",2.13,0.145,"AC006042.6"
"ENSG00000272335.1",0.077,1.1," (0.849-1.38)",0.39,0.531,"RP11-53O19.3"
"ENSG00000256073.3",0.2,1.2," (0.925-1.62)",1.99,0.158,"URB1-AS1"
"ENSG00000249042.4",-0.044,0.96," (0.714-1.28)",0.09,0.767,"CTD-2015H6.3"
"ENSG00000245910.7",0.028,1," (0.774-1.37)",0.04,0.845,"SNHG6"
"ENSG00000215190.7",0.3,1.3," (0.996-1.82)",3.75,0.0528,"LINC00680"
"ENSG00000235280.2",0.16,1.2," (0.969-1.41)",2.67,0.102,"MCF2L-AS1"
"ENSG00000273366.1",-0.065,0.94," (0.78-1.12)",0.49,0.483,"CTA-989H11.1"
"ENSG00000273151.1",0.2,1.2," (1.02-1.46)",4.92,0.0265,"RP11-449P15.2"
"ENSG00000254166.1",-0.00098,1," (0.867-1.15)",0,0.989,"CASC19"
"ENSG00000279207.1",-0.066,0.94," (0.722-1.21)",0.24,0.621,"RP11-159D12.8"
"ENSG00000117242.7",-0.26,0.77," (0.577-1.03)",3.06,0.0803,"PINK1-AS"
"ENSG00000263335.1",-0.038,0.96," (0.814-1.14)",0.2,0.657,"AF001548.5"
"ENSG00000272667.1",0.29,1.3," (0.994-1.79)",3.69,0.0547,"RP11-395A13.2"
"ENSG00000274213.1",0.025,1," (0.877-1.2)",0.1,0.755,"RP11-670E13.6"
"ENSG00000237883.1",0.044,1," (0.862-1.27)",0.2,0.655,"DGUOK-AS1"
"ENSG00000234072.1",0.23,1.3," (0.954-1.66)",2.65,0.104,"AC074117.10"
"ENSG00000253716.4",0.16,1.2," (0.932-1.48)",1.86,0.173,"RP13-582O9.5"
"ENSG00000272189.1",-0.076,0.93," (0.716-1.2)",0.34,0.562,"RP3-325F22.5"
"ENSG00000238058.1",0.019,1," (0.886-1.17)",0.07,0.785,"RP11-432J22.2"
"ENSG00000224152.1",-0.05,0.95," (0.693-1.31)",0.09,0.759,"AC009506.1"
"ENSG00000267493.3",0.12,1.1," (0.907-1.41)",1.19,0.275,"CIRBP-AS1"
"ENSG00000197180.2",0.15,1.2," (0.908-1.48)",1.42,0.233,"CH17-340M24.3"
"ENSG00000254635.4",0.1,1.1," (0.804-1.53)",0.4,0.527,"WAC-AS1"
"ENSG00000230061.2",-0.0052,0.99," (0.921-1.07)",0.02,0.894,"TRPM2-AS"
"ENSG00000269640.4",0.12,1.1," (0.955-1.33)",2,0.157,"CTD-2521M24.9"
"ENSG00000256537.3",0.046,1," (0.668-1.64)",0.04,0.841,"RP11-785H5.1"
"ENSG00000240449.1",0.054,1.1," (0.86-1.3)",0.27,0.603,"RP4-584D14.5"
"ENSG00000273014.1",0.017,1," (0.877-1.18)",0.05,0.82,"RP11-225B17.2"
"ENSG00000224597.8",0.15,1.2," (0.809-1.67)",0.66,0.418,"SVIL-AS1"
"ENSG00000273179.1",0.16,1.2," (1-1.39)",3.87,0.0491,"RP11-20I20.4"
"ENSG00000263004.1",-0.031,0.97," (0.787-1.19)",0.09,0.77,"RP11-166P13.3"
"ENSG00000249395.2",0.1,1.1," (1-1.22)",4.09,0.043,"CASC9"
"ENSG00000229334.1",-0.096,0.91," (0.674-1.22)",0.4,0.528,"AC046143.3"
"ENSG00000260804.3",-0.16,0.85," (0.675-1.08)",1.79,0.181,"PKI55"
"ENSG00000238123.1",-0.062,0.94," (0.847-1.04)",1.35,0.245,"MID1IP1-AS1"
"ENSG00000196810.4",-0.21,0.81," (0.53-1.25)",0.88,0.348,"CTBP1-AS2"
"ENSG00000253930.1",-0.083,0.92," (0.818-1.04)",1.91,0.167,"RP11-1149O23.2"
"ENSG00000266962.2",0.22,1.2," (0.882-1.77)",1.57,0.21,"RP11-400F19.6"
"ENSG00000271895.2",0.033,1," (0.859-1.25)",0.12,0.725,"RP4-635E18.8"
"ENSG00000188185.10",0.16,1.2," (0.945-1.47)",2.13,0.145,"LINC00265"
"ENSG00000267080.4",0.31,1.4," (0.946-1.96)",2.76,0.0969,"ASB16-AS1"
"ENSG00000260552.1",0.11,1.1," (0.932-1.33)",1.38,0.239,"RP11-49I11.1"
"ENSG00000272644.1",-0.052,0.95," (0.747-1.21)",0.18,0.668,"RP11-33O4.1"
"ENSG00000230082.1",0.015,1," (0.846-1.22)",0.03,0.872,"PRRT3-AS1"
"ENSG00000130600.14",0.071,1.1," (0.988-1.17)",2.8,0.0941,"H19"
"ENSG00000227070.1",-0.065,0.94," (0.809-1.09)",0.75,0.385,"RP11-191G24.1"
"ENSG00000277662.1",0.023,1," (0.9-1.16)",0.13,0.722,"RP11-74J13.9"
"ENSG00000254860.4",0.19,1.2," (0.95-1.53)",2.35,0.125,"TMEM9B-AS1"
"ENSG00000273344.1",0.25,1.3," (0.962-1.72)",2.89,0.089,"PAXIP1-AS1"
"ENSG00000251026.1",0.01,1," (0.951-1.07)",0.11,0.739,"RP11-138J23.1"
"ENSG00000265688.1",0.028,1," (0.803-1.32)",0.05,0.823,"MAFG-AS1"
"ENSG00000238142.1",0.012,1," (0.902-1.14)",0.04,0.839,"RP11-108M9.4"
"ENSG00000269910.1",0.0067,1," (0.875-1.16)",0.01,0.925,"RP11-73M18.10"
"ENSG00000204272.9",0.28,1.3," (0.961-1.82)",2.94,0.0863,"LINC01420"
"ENSG00000261685.2",0.024,1," (0.925-1.13)",0.21,0.648,"RP11-401P9.4"
"ENSG00000226476.2",0.033,1," (0.963-1.11)",0.85,0.358,"RP11-776H12.1"
"ENSG00000259943.1",0.052,1.1," (0.808-1.37)",0.15,0.702,"RP1-39G22.7"
"ENSG00000278133.1",0.15,1.2," (0.801-1.7)",0.65,0.421,"RP11-196G11.5"
"ENSG00000253187.2",-0.049,0.95," (0.863-1.05)",0.94,0.332,"HOXA10-AS"
"ENSG00000272301.1",0.05,1.1," (0.936-1.18)",0.7,0.401,"RP11-111M22.4"
"ENSG00000281406.1",0.056,1.1," (0.932-1.2)",0.75,0.386,"BLACAT1"
"ENSG00000278978.1",-0.13,0.87," (0.66-1.16)",0.87,0.35,"RP11-164P12.5"
"ENSG00000272556.1",0.13,1.1," (0.993-1.3)",3.44,0.0638,"RP11-638I8.1"
"ENSG00000230177.1",0.11,1.1," (0.912-1.38)",1.17,0.279,"RP5-1112D6.4"
"ENSG00000275632.1",0.054,1.1," (0.913-1.22)",0.54,0.464,"RP5-967N21.11"
"ENSG00000180861.8",0.059,1.1," (0.927-1.21)",0.74,0.39,"LINC01559"
"ENSG00000261512.2",0.099,1.1," (0.91-1.34)",1.01,0.315,"RP11-46D6.1"
"ENSG00000231025.1",0.19,1.2," (0.861-1.7)",1.2,0.274,"RP11-175O19.4"
"ENSG00000241269.1",-0.04,0.96," (0.851-1.08)",0.42,0.514,"AC093620.5"
"ENSG00000232442.1",0.18,1.2," (0.978-1.48)",3.05,0.0806,"CTD-3184A7.4"
"ENSG00000233461.4",-0.046,0.96," (0.757-1.21)",0.15,0.7,"RP11-295G20.2"
"ENSG00000267100.1",0.24,1.3," (0.942-1.71)",2.46,0.117,"ILF3-AS1"
"ENSG00000267082.1",0.12,1.1," (0.965-1.33)",2.3,0.129,"CTC-510F12.2"
"ENSG00000236081.1",0.16,1.2," (1.01-1.35)",4.65,0.0311,"ELFN1-AS1"
"ENSG00000261188.1",-0.029,0.97," (0.763-1.24)",0.05,0.816,"CTA-445C9.14"
"ENSG00000142396.9",0.038,1," (0.713-1.52)",0.04,0.842,"ERVK3-1"
"ENSG00000242086.7",0.074,1.1," (0.854-1.36)",0.39,0.53,"LINC00969"
"ENSG00000256185.1",-0.00029,1," (0.933-1.07)",0,0.993,"RP11-612B6.2"
"ENSG00000274828.1",0.017,1," (0.767-1.35)",0.01,0.904,"RP11-567M16.6"
"ENSG00000280798.1",0.25,1.3," (0.888-1.87)",1.79,0.181,"LINC00294"
"ENSG00000275560.1",0.028,1," (0.884-1.2)",0.13,0.72,"RP11-180M15.7"
"ENSG00000276529.1",0.33,1.4," (1.09-1.76)",7.13,0.00758,"AP001505.10"
"ENSG00000228109.1",0.28,1.3," (1.05-1.66)",5.79,0.0161,"MFI2-AS1"
"ENSG00000253738.1",-0.054,0.95," (0.727-1.23)",0.16,0.688,"OTUD6B-AS1"
"ENSG00000250222.1",-0.11,0.9," (0.775-1.05)",1.91,0.167,"CTC-338M12.5"
"ENSG00000237721.1",-0.00093,1," (0.931-1.07)",0,0.98,"AF064858.11"
"ENSG00000260418.1",0.0016,1," (0.823-1.22)",0,0.988,"RP3-406A7.7"
"ENSG00000240990.8",-0.055,0.95," (0.845-1.06)",0.89,0.346,"HOXA11-AS"
"ENSG00000261650.1",-0.022,0.98," (0.935-1.02)",0.98,0.322,"RP11-474D1.4"
"ENSG00000215039.5",0.56,1.8," (1.25-2.46)",10.8,0.00104,"CD27-AS1"
"ENSG00000269936.3",0.11,1.1," (0.974-1.28)",2.5,0.114,"RP11-394O4.5"
"ENSG00000275216.1",0.077,1.1," (1-1.16)",4.18,0.0408,"RP11-54H7.4"
"ENSG00000221990.4",0.15,1.2," (0.9-1.49)",1.32,0.251,"EXOC3-AS1"
"ENSG00000272645.2",0.21,1.2," (1-1.51)",4.01,0.0451,"RP11-504P24.8"
"ENSG00000260114.2",0.14,1.1," (0.88-1.49)",1.03,0.31,"CTD-2574D22.4"
"ENSG00000266208.1",0.21,1.2," (0.952-1.6)",2.52,0.112,"CTD-2267D19.3"
"ENSG00000241388.4",-0.00061,1," (0.822-1.21)",0,0.995,"HNF1A-AS1"
"ENSG00000269609.4",0.32,1.4," (1.01-1.9)",4.01,0.0451,"RPARP-AS1"
"ENSG00000277283.1",-0.0052,0.99," (0.735-1.35)",0,0.973,"RP1-267D11.6"
"ENSG00000267045.1",0.16,1.2," (0.998-1.38)",3.74,0.0531,"AC006126.4"
"ENSG00000196756.10",0.16,1.2," (0.936-1.46)",1.9,0.168,"SNHG17"
"ENSG00000222033.1",-0.043,0.96," (0.864-1.06)",0.66,0.418,"LINC01124"
"ENSG00000222001.2",-0.044,0.96," (0.852-1.07)",0.56,0.453,"AC106876.2"
"ENSG00000270223.1",0.082,1.1," (0.901-1.31)",0.74,0.388,"RP13-36G14.4"
"ENSG00000214401.4",0.024,1," (0.864-1.21)",0.08,0.784,"KANSL1-AS1"
"ENSG00000238279.1",0.18,1.2," (1.02-1.42)",4.68,0.0306,"BX470102.3"
"ENSG00000267896.1",0.16,1.2," (0.984-1.39)",3.15,0.0761,"AC018766.4"
"ENSG00000269386.4",0.017,1," (0.716-1.44)",0.01,0.926,"RAB11B-AS1"
"ENSG00000227540.1",0.18,1.2," (0.944-1.53)",2.23,0.135,"RP11-152N13.5"
"ENSG00000254343.2",0.0029,1," (0.856-1.17)",0,0.971,"RP11-760H22.2"
"ENSG00000258837.1",0.034,1," (0.967-1.11)",0.95,0.33,"CTD-2566J3.1"
"ENSG00000272449.1",0.2,1.2," (0.995-1.51)",3.64,0.0563,"RP3-395M20.12"
"ENSG00000267480.1",-0.15,0.86," (0.745-0.998)",3.96,0.0466,"RP11-703I16.1"
"ENSG00000260196.1",0.098,1.1," (0.879-1.38)",0.72,0.398,"RP1-239B22.5"
"ENSG00000271147.6",-0.032,0.97," (0.718-1.31)",0.04,0.834,"RP4-769N13.6"
"ENSG00000189223.12",-0.015,0.98," (0.906-1.07)",0.13,0.715,"PAX8-AS1"
"ENSG00000257556.1",0.0084,1," (0.861-1.18)",0.01,0.917,"RP11-44N21.1"
"ENSG00000236753.4",-0.038,0.96," (0.789-1.17)",0.14,0.705,"MKLN1-AS"
"ENSG00000272010.1",-0.034,0.97," (0.882-1.06)",0.52,0.472,"CTD-3025N20.3"
"ENSG00000274605.1",-0.058,0.94," (0.735-1.21)",0.2,0.651,"RP11-12G12.7"
"ENSG00000270006.2",0.019,1," (0.877-1.18)",0.06,0.805,"RP11-178L8.7"
"ENSG00000269293.2",0.18,1.2," (0.906-1.58)",1.59,0.207,"ZSCAN16-AS1"
"ENSG00000233559.1",-0.15,0.86," (0.77-0.964)",6.73,0.00947,"AC016831.7"
"ENSG00000273314.1",0.21,1.2," (0.903-1.68)",1.74,0.188,"RP5-1136G13.2"
"ENSG00000255284.1",0.45,1.6," (1.23-2.02)",13,0.00032,"AP006621.5"
"ENSG00000278192.1",0.18,1.2," (0.993-1.43)",3.54,0.0598,"RP5-1056H1.2"
"ENSG00000271737.1",-0.078,0.92," (0.779-1.1)",0.81,0.369,"CTB-113I20.2"
"ENSG00000259065.1",0.24,1.3," (1.07-1.52)",7.35,0.0067,"RP5-1021I20.1"
"ENSG00000279088.1",0.12,1.1," (0.839-1.51)",0.61,0.434,"RP11-574K11.24"
"ENSG00000279789.1",0.13,1.1," (0.923-1.4)",1.44,0.23,"CTD-2574D22.3"
"ENSG00000177337.6",0.016,1," (0.775-1.33)",0.01,0.911,"DLGAP1-AS1"
"ENSG00000177406.4",0.15,1.2," (0.887-1.51)",1.16,0.281,"RP11-218M22.1"
"ENSG00000253522.3",-0.1,0.9," (0.787-1.03)",2.25,0.134,"CTC-231O11.1"
"ENSG00000226179.4",0.17,1.2," (1.02-1.39)",4.66,0.0308,"LINC00685"
"ENSG00000223478.1",0.077,1.1," (0.87-1.34)",0.49,0.484,"RP11-545E17.3"
"ENSG00000272660.1",-0.04,0.96," (0.892-1.03)",1.15,0.284,"RP11-145M9.6"
"ENSG00000273437.1",0.19,1.2," (0.974-1.51)",2.99,0.0837,"RP11-434H6.7"
"ENSG00000116883.8",0.19,1.2," (1.06-1.38)",8.08,0.00446,"RP11-268J15.5"
"ENSG00000259933.5",-0.029,0.97," (0.761-1.24)",0.05,0.819,"RP11-304L19.1"
"ENSG00000253508.1",-0.055,0.95," (0.878-1.02)",2.06,0.152,"RP1-170O19.14"
"ENSG00000226067.5",0.11,1.1," (0.918-1.37)",1.26,0.261,"CH17-118O6.2"
"ENSG00000218510.5",-0.12,0.88," (0.635-1.23)",0.53,0.466,"LINC00339"
"ENSG00000234741.6",0.084,1.1," (0.844-1.4)",0.42,0.516,"GAS5"
"ENSG00000206337.9",0.058,1.1," (0.882-1.27)",0.39,0.534,"HCP5"
"ENSG00000228439.4",-0.04,0.96," (0.794-1.16)",0.17,0.676,"TSTD3"
"ENSG00000270189.1",0.12,1.1," (0.937-1.35)",1.59,0.207,"RP11-258C19.7"
"ENSG00000263731.1",-0.034,0.97," (0.736-1.27)",0.06,0.805,"RP11-498C9.15"
"ENSG00000281332.1",0.16,1.2," (0.915-1.51)",1.59,0.207,"LINC00997"
"ENSG00000259972.2",0.17,1.2," (0.957-1.48)",2.45,0.118,"AC009120.6"
"ENSG00000254682.1",-0.12,0.89," (0.742-1.06)",1.76,0.185,"RP11-660L16.2"
"ENSG00000267709.1",0.076,1.1," (0.946-1.23)",1.27,0.259,"AC024592.9"
"ENSG00000172965.13",0.17,1.2," (0.838-1.67)",0.92,0.338,"MIR4435-1HG"
"ENSG00000263072.4",0.2,1.2," (0.877-1.71)",1.41,0.236,"ZNF213-AS1"
"ENSG00000239213.4",0.21,1.2," (0.913-1.67)",1.88,0.171,"NCK1-AS1"
"ENSG00000228452.1",-0.031,0.97," (0.844-1.11)",0.2,0.658,"RP5-994D16.9"
"ENSG00000224081.6",-0.11,0.89," (0.688-1.16)",0.74,0.39,"LINC01057"
"ENSG00000272106.1",0.085,1.1," (0.782-1.52)",0.25,0.616,"RP11-345P4.9"
"ENSG00000269893.5",0.032,1," (0.753-1.42)",0.04,0.842,"SNHG8"
"ENSG00000231663.1",0.065,1.1," (0.87-1.31)",0.39,0.53,"RP5-827C21.4"
"ENSG00000254911.3",-0.016,0.98," (0.88-1.1)",0.08,0.784,"SCARNA9"
"ENSG00000251022.5",0.061,1.1," (0.829-1.36)",0.23,0.631,"THAP9-AS1"
"ENSG00000272913.1",0.087,1.1," (0.996-1.2)",3.53,0.0603,"RP11-440D17.3"
"ENSG00000263588.1",0.077,1.1," (0.946-1.23)",1.29,0.256,"RP11-595B24.2"
"ENSG00000262188.1",0.016,1," (0.9-1.15)",0.07,0.797,"RP11-353N14.4"
"ENSG00000272087.1",0.076,1.1," (0.895-1.3)",0.64,0.425,"RP11-379F4.7"
"ENSG00000279332.1",-0.0069,0.99," (0.909-1.08)",0.02,0.879,"RP11-799B12.1"
"ENSG00000224975.1",0.12,1.1," (0.923-1.38)",1.4,0.237,"INE1"
"ENSG00000268568.1",0.035,1," (0.92-1.17)",0.34,0.561,"AC007228.9"
"ENSG00000244300.2",0.055,1.1," (0.945-1.18)",0.93,0.334,"GATA2-AS1"
"ENSG00000279495.1",-0.038,0.96," (0.737-1.26)",0.08,0.781,"RP11-521B24.4"
"ENSG00000255062.1",0.034,1," (0.853-1.26)",0.12,0.73,"RP11-712L6.5"
"ENSG00000228801.5",-0.018,0.98," (0.744-1.3)",0.02,0.897,"RP11-110G21.1"
"ENSG00000266469.1",0.12,1.1," (0.84-1.51)",0.63,0.428,"CTB-131K11.1"
"ENSG00000253982.1",-0.23,0.8," (0.579-1.1)",1.9,0.168,"CTD-2336O2.1"
"ENSG00000179523.4",0.55,1.7," (1.2-2.53)",8.49,0.00356,"EIF3J-AS1"
"ENSG00000245849.5",0.22,1.2," (0.978-1.59)",3.17,0.075,"RAD51-AS1"
"ENSG00000274272.1",0.44,1.5," (1.19-2.01)",10.5,0.00122,"RP11-44M6.7"
"ENSG00000278730.1",-0.14,0.87," (0.64-1.17)",0.87,0.352,"RP11-147L13.11"
"ENSG00000272523.1",0.15,1.2," (0.943-1.43)",1.97,0.16,"LINC01023"
"ENSG00000259456.3",0.11,1.1," (0.906-1.39)",1.11,0.291,"ADNP-AS1"
"ENSG00000259366.1",-0.0065,0.99," (0.866-1.14)",0.01,0.926,"CTD-2647L4.4"
"ENSG00000223482.6",-0.041,0.96," (0.728-1.27)",0.08,0.774,"NUTM2A-AS1"
"ENSG00000226137.5",-0.041,0.96," (0.731-1.26)",0.09,0.766,"BAIAP2-AS1"
"ENSG00000232533.1",0.23,1.3," (0.961-1.65)",2.78,0.0953,"AC093673.5"
"ENSG00000260032.1",-0.081,0.92," (0.689-1.23)",0.3,0.583,"LINC00657"
"ENSG00000230555.2",-0.022,0.98," (0.81-1.18)",0.05,0.819,"RP11-517P14.2"
"ENSG00000257303.1",-0.099,0.91," (0.769-1.07)",1.4,0.237,"RP11-977G19.11"
"ENSG00000203993.4",0.59,1.8," (1.22-2.67)",8.74,0.00311,"ARRDC1-AS1"
"ENSG00000225377.4",0.07,1.1," (0.842-1.37)",0.32,0.573,"NRSN2-AS1"
"ENSG00000203688.4",-0.019,0.98," (0.875-1.1)",0.1,0.746,"RP11-351J23.1"
"ENSG00000259976.1",0.11,1.1," (0.911-1.37)",1.13,0.289,"RP11-553L6.5"
"ENSG00000249007.1",0.052,1.1," (0.905-1.23)",0.45,0.503,"RP11-510N19.5"
"ENSG00000261295.1",-0.013,0.99," (0.892-1.09)",0.06,0.805,"RP11-524D16__A.3"
"ENSG00000263272.1",0.27,1.3," (1.04-1.64)",5.09,0.0241,"CTC-524C5.2"
"ENSG00000233016.5",0.35,1.4," (1.09-1.84)",6.8,0.00913,"SNHG7"
"ENSG00000261455.1",0.21,1.2," (0.975-1.56)",3.05,0.0807,"LINC01003"
"ENSG00000275764.1",0.021,1," (0.815-1.28)",0.03,0.857,"RP11-582E3.6"
"ENSG00000272440.1",0.014,1," (0.943-1.09)",0.15,0.7,"RP11-379F4.6"
"ENSG00000278768.1",0.23,1.3," (0.925-1.71)",2.14,0.143,"BACE1-AS"
"ENSG00000258634.3",0.17,1.2," (0.897-1.57)",1.44,0.23,"RP4-773N10.4"
"ENSG00000265666.1",0.17,1.2," (0.925-1.52)",1.81,0.178,"RARA-AS1"
"ENSG00000226328.5",-0.066,0.94," (0.735-1.19)",0.29,0.589,"NUP50-AS1"
"ENSG00000260231.1",-0.032,0.97," (0.755-1.24)",0.06,0.799,"JHDM1D-AS1"
"ENSG00000227946.1",0.042,1," (0.871-1.25)",0.21,0.645,"AC007383.3"
"ENSG00000267221.1",0.086,1.1," (0.923-1.29)",1.03,0.311,"CTD-2132N18.2"
"ENSG00000268858.2",0.26,1.3," (0.985-1.72)",3.44,0.0635,"RP4-591C20.9"
"ENSG00000233429.8",0.051,1.1," (0.884-1.25)",0.32,0.569,"HOTAIRM1"
"ENSG00000272686.1",-0.013,0.99," (0.75-1.3)",0.01,0.927,"RP11-390E23.6"
"ENSG00000267904.1",0.062,1.1," (0.883-1.28)",0.43,0.513,"CTC-429P9.5"
"ENSG00000248771.4",-0.12,0.89," (0.785-1.01)",3.45,0.0631,"LINC01207"
"ENSG00000264577.1",0.1,1.1," (0.872-1.4)",0.69,0.406,"AC010761.8"
"ENSG00000275202.1",-0.038,0.96," (0.783-1.18)",0.13,0.717,"RP11-156K23.3"
"ENSG00000273162.1",0.089,1.1," (0.887-1.35)",0.7,0.403,"RP11-108L7.15"
"ENSG00000260704.1",0.1,1.1," (0.91-1.34)",1.02,0.313,"LINC00543"
"ENSG00000273373.1",0.11,1.1," (0.942-1.33)",1.64,0.201,"RP5-1074L1.4"
"ENSG00000275494.1",0.057,1.1," (0.877-1.28)",0.35,0.554,"RP11-266L9.8"
"ENSG00000259342.1",-0.012,0.99," (0.901-1.08)",0.06,0.808,"RP11-519G16.5"
"ENSG00000260766.1",0.014,1," (0.774-1.33)",0.01,0.921,"RP11-226L15.5"
"ENSG00000235029.1",0.1,1.1," (0.96-1.28)",1.97,0.161,"MNX1-AS2"
"ENSG00000230844.2",0.23,1.3," (0.961-1.65)",2.81,0.0939,"ZNF674-AS1"
"ENSG00000269352.1",0.21,1.2," (0.98-1.56)",3.19,0.074,"PTOV1-AS2"
"ENSG00000257621.6",0.15,1.2," (0.874-1.56)",1.1,0.295,"PSMA3-AS1"
"ENSG00000261643.1",0.12,1.1," (0.905-1.39)",1.11,0.293,"RP11-529E10.6"
"ENSG00000188206.6",0.093,1.1," (0.928-1.3)",1.18,0.278,"HNRNPU-AS1"
"ENSG00000231365.4",0.13,1.1," (0.845-1.53)",0.71,0.4,"RP11-418J17.1"
"ENSG00000225329.2",0.01,1," (0.932-1.1)",0.07,0.799,"LHFPL3-AS2"
"ENSG00000261123.1",-0.051,0.95," (0.741-1.22)",0.16,0.691,"RP11-304L19.3"
"ENSG00000245694.7",0.074,1.1," (0.943-1.23)",1.19,0.275,"CRNDE"
"ENSG00000237943.5",0.068,1.1," (0.918-1.25)",0.75,0.385,"PRKCQ-AS1"
"ENSG00000212694.7",0.22,1.2," (0.997-1.56)",3.74,0.0531,"LINC01089"
"ENSG00000265800.1",0.11,1.1," (0.947-1.31)",1.69,0.194,"RP11-649A18.5"
"ENSG00000278600.1",0.26,1.3," (1.02-1.64)",4.38,0.0363,"RP11-81A1.6"
"ENSG00000261474.1",0.31,1.4," (1.07-1.75)",6.46,0.011,"RP11-452L6.1"
"ENSG00000204860.4",0.16,1.2," (0.989-1.39)",3.38,0.0662,"FAM201A"
"ENSG00000275964.1",0.13,1.1," (0.922-1.41)",1.48,0.223,"RP11-61K9.3"
"ENSG00000274104.1",0.041,1," (0.836-1.3)",0.13,0.715,"CTD-2553L13.10"
"ENSG00000248243.1",-0.039,0.96," (0.824-1.12)",0.25,0.615,"RP11-93K22.13"
"ENSG00000225733.4",-0.38,0.69," (0.469-1)",3.75,0.0527,"FGD5-AS1"
"ENSG00000267751.4",0.01,1," (0.858-1.19)",0.01,0.903,"AC009005.2"
"ENSG00000267523.1",0.18,1.2," (1.02-1.42)",4.9,0.0268,"CTD-2537I9.12"
"ENSG00000235823.1",0.23,1.3," (0.952-1.66)",2.6,0.107,"OLMALINC"
"ENSG00000280120.1",0.0028,1," (0.8-1.26)",0,0.981,"RP11-546D6.3"
"ENSG00000257660.4",0.039,1," (0.905-1.19)",0.3,0.585,"RP11-579D7.4"
"ENSG00000274993.1",-0.03,0.97," (0.864-1.09)",0.25,0.619,"RP11-395B7.2"
"ENSG00000231412.2",0.015,1," (0.956-1.08)",0.25,0.62,"CTC-490G23.2"
"ENSG00000219545.8",0.06,1.1," (0.756-1.49)",0.12,0.73,"UMAD1"
"ENSG00000281398.1",-0.045,0.96," (0.776-1.18)",0.18,0.674,"SNHG4"
"ENSG00000273893.1",-0.052,0.95," (0.809-1.12)",0.4,0.528,"RP1-101A2.1"
"ENSG00000186594.11",0.0043,1," (0.798-1.26)",0,0.971,"MIR22HG"
"ENSG00000268516.2",-0.024,0.98," (0.73-1.31)",0.03,0.872,"CTD-3138B18.5"
"ENSG00000264575.1",-0.016,0.98," (0.862-1.12)",0.06,0.811,"LINC00526"
