"ENSG_id","beta","HR","CI","wald.test","HR.pvalue","Symbol"
"ENSG00000255142.1",0.16,1.2," (1.04-1.32)",6.77,0.00927,"AP006621.6"
"ENSG00000260912.1",0.095,1.1," (0.907-1.33)",0.94,0.332,"RP11-363E7.4"
"ENSG00000239467.4",-0.033,0.97," (0.84-1.11)",0.21,0.644,"AC007405.6"
"ENSG00000226330.1",0.012,1," (0.841-1.22)",0.02,0.897,"RP11-739N20.2"
"ENSG00000228989.1",0.19,1.2," (0.945-1.54)",2.27,0.132,"AC133528.2"
"ENSG00000272275.1",0.24,1.3," (1.08-1.5)",8.04,0.00458,"RP11-791G15.2"
"ENSG00000204876.4",-0.062,0.94," (0.824-1.07)",0.86,0.354,"AC021218.2"
"ENSG00000261040.5",-0.089,0.91," (0.823-1.02)",2.77,0.0958,"WFDC21P"
"ENSG00000230733.2",0.23,1.3," (0.955-1.65)",2.65,0.104,"AC092171.4"
"ENSG00000273619.1",0.12,1.1," (0.931-1.36)",1.5,0.221,"RP5-908M14.9"
"ENSG00000228223.2",0.022,1," (0.887-1.18)",0.09,0.76,"HCG11"
"ENSG00000272338.2",0.022,1," (0.887-1.18)",0.09,0.765,"RP11-722E23.2"
"ENSG00000228705.1",-0.021,0.98," (0.896-1.07)",0.21,0.647,"LINC00659"
"ENSG00000216895.7",0.18,1.2," (0.914-1.56)",1.7,0.193,"AC009403.2"
"ENSG00000257702.3",0.39,1.5," (1.08-2.02)",5.84,0.0157,"LBX2-AS1"
"ENSG00000251580.1",-0.059,0.94," (0.834-1.07)",0.89,0.346,"RP11-539L10.3"
"ENSG00000271430.1",0.064,1.1," (0.905-1.26)",0.59,0.443,"RP3-368A4.5"
"ENSG00000231226.1",0.064,1.1," (0.896-1.27)",0.52,0.471,"TRIM31-AS1"
"ENSG00000237857.2",0.17,1.2," (0.92-1.52)",1.7,0.192,"RP11-435O5.2"
"ENSG00000280202.1",-0.023,0.98," (0.845-1.13)",0.1,0.752,"RP5-1180D12.1"
"ENSG00000276952.1",-0.0077,0.99," (0.898-1.1)",0.02,0.879,"RP5-965G21.6"
"ENSG00000270157.1",0.049,1," (0.885-1.25)",0.31,0.577,"RP5-894A10.6"
"ENSG00000229953.1",0.0092,1," (0.829-1.23)",0.01,0.927,"RP11-284F21.7"
"ENSG00000268756.1",0.13,1.1," (1.02-1.26)",5.79,0.0161,"AC104534.2"
"ENSG00000234705.1",0.056,1.1," (0.945-1.18)",0.95,0.329,"HMGA1P4"
"ENSG00000278974.1",0.0072,1," (0.91-1.11)",0.02,0.889,"RP11-756P10.6"
"ENSG00000232874.1",0.018,1," (0.923-1.12)",0.13,0.72,"RP11-135A1.2"
"ENSG00000205559.3",0.091,1.1," (0.914-1.31)",0.97,0.324,"CHKB-AS1"
"ENSG00000258914.1",0.015,1," (0.943-1.09)",0.16,0.693,"CTD-2134A5.3"
"ENSG00000256751.4",-0.011,0.99," (0.838-1.17)",0.02,0.894,"PLBD1-AS1"
"ENSG00000236144.5",0.14,1.1," (0.904-1.46)",1.28,0.258,"TMEM147-AS1"
"ENSG00000214546.3",0.022,1," (0.876-1.19)",0.08,0.782,"AC087491.2"
"ENSG00000272821.1",0.22,1.2," (0.96-1.62)",2.74,0.0978,"CTA-384D8.36"
"ENSG00000232803.1",0.074,1.1," (0.971-1.2)",1.96,0.162,"SLCO4A1-AS1"
"ENSG00000265458.1",-0.094,0.91," (0.763-1.09)",1.08,0.3,"RP13-20L14.6"
"ENSG00000204792.2",0.042,1," (0.988-1.1)",2.27,0.132,"LINC01291"
"ENSG00000261116.1",0.075,1.1," (0.847-1.37)",0.37,0.544,"RP3-523K23.2"
"ENSG00000258498.5",-0.0034,1," (0.904-1.1)",0,0.945,"DIO3OS"
"ENSG00000214293.7",0.33,1.4," (0.97-1.99)",3.21,0.0731,"APTR"
"ENSG00000254854.1",0.011,1," (0.907-1.13)",0.04,0.845,"CTD-2523D13.2"
"ENSG00000245571.5",-0.14,0.87," (0.574-1.3)",0.48,0.489,"AP001258.4"
"ENSG00000261716.1",0.32,1.4," (1.08-1.74)",6.71,0.00956,"RP11-196G18.22"
"ENSG00000243479.3",0.15,1.2," (0.928-1.45)",1.7,0.192,"MNX1-AS1"
"ENSG00000230551.4",0.063,1.1," (0.845-1.34)",0.28,0.594,"CTB-89H12.4"
"ENSG00000247516.4",-0.079,0.92," (0.824-1.04)",1.84,0.175,"MIR4458HG"
"ENSG00000226051.5",-0.019,0.98," (0.882-1.09)",0.12,0.726,"ZNF503-AS1"
"ENSG00000233184.5",-0.22,0.8," (0.649-0.987)",4.34,0.0373,"RP11-421L21.3"
"ENSG00000271971.1",0.026,1," (0.857-1.23)",0.08,0.778,"CTD-2006H14.2"
"ENSG00000254837.2",-0.17,0.84," (0.648-1.1)",1.59,0.208,"AP001372.2"
"ENSG00000263470.1",0.053,1.1," (0.841-1.32)",0.21,0.648,"RP11-160O5.1"
"ENSG00000268471.4",0.082,1.1," (0.827-1.42)",0.35,0.553,"DKFZP434I0714"
"ENSG00000260853.1",0.11,1.1," (0.927-1.33)",1.31,0.252,"RP11-264B17.2"
"ENSG00000267249.1",-0.06,0.94," (0.8-1.11)",0.51,0.476,"RP11-973H7.3"
"ENSG00000226332.2",0.25,1.3," (1.05-1.59)",5.7,0.017,"RP11-157P1.4"
"ENSG00000273576.1",0.19,1.2," (0.978-1.49)",3.07,0.0799,"RP11-390P24.1"
"ENSG00000270933.1",0.061,1.1," (0.922-1.23)",0.71,0.4,"CTD-2227E11.1"
"ENSG00000261373.1",0.14,1.2," (0.943-1.4)",1.92,0.166,"VPS9D1-AS1"
"ENSG00000260219.2",0.15,1.2," (0.896-1.52)",1.3,0.255,"RP11-347C12.10"
"ENSG00000259985.1",-0.34,0.71," (0.557-0.903)",7.81,0.00521,"RP11-549B18.1"
"ENSG00000254614.2",0.059,1.1," (0.863-1.3)",0.31,0.576,"AP003068.23"
"ENSG00000241764.3",0.28,1.3," (0.955-1.84)",2.83,0.0925,"AC002467.7"
"ENSG00000153363.11",0.043,1," (0.794-1.37)",0.09,0.758,"LINC00467"
"ENSG00000224093.4",0.0098,1," (0.767-1.33)",0,0.945,"RP5-1033H22.2"
"ENSG00000259974.2",-0.11,0.9," (0.822-0.985)",5.24,0.0221,"LINC00261"
"ENSG00000255135.3",0.19,1.2," (0.924-1.57)",1.9,0.168,"RP11-111M22.3"
"ENSG00000224536.1",0.055,1.1," (0.881-1.27)",0.35,0.553,"RP11-134G8.7"
"ENSG00000277978.1",0.1,1.1," (0.901-1.36)",0.93,0.335,"RP11-403P17.6"
"ENSG00000269973.1",-0.12,0.89," (0.625-1.26)",0.46,0.498,"RP11-95D17.1"
"ENSG00000233834.5",0.086,1.1," (0.887-1.34)",0.67,0.412,"AC005083.1"
"ENSG00000275180.1",0.099,1.1," (0.939-1.3)",1.43,0.232,"RP11-631N16.4"
"ENSG00000231113.2",0.28,1.3," (0.974-1.81)",3.23,0.0725,"RP3-475N16.1"
"ENSG00000231770.4",0.19,1.2," (0.893-1.63)",1.49,0.222,"TMEM44-AS1"
"ENSG00000228288.5",0.36,1.4," (1.14-1.81)",9.18,0.00245,"PCAT6"
"ENSG00000224189.5",0.017,1," (0.902-1.15)",0.08,0.778,"HAGLR"
"ENSG00000242588.5",0.069,1.1," (0.953-1.2)",1.34,0.247,"RP11-274B21.14"
"ENSG00000226812.2",-0.032,0.97," (0.868-1.08)",0.34,0.561,"RP5-881L22.5"
"ENSG00000236199.1",0.014,1," (0.826-1.24)",0.02,0.896,"RP11-264I13.2"
"ENSG00000214106.6",0.18,1.2," (0.853-1.67)",1.06,0.304,"PAXIP1-AS2"
"ENSG00000267317.2",0.55,1.7," (1.28-2.35)",12.7,0.000363,"CTB-25B13.12"
"ENSG00000260708.1",0.13,1.1," (0.887-1.46)",1.03,0.31,"CTA-29F11.1"
"ENSG00000260257.2",0.12,1.1," (0.899-1.41)",1.07,0.302,"RP5-1085F17.3"
"ENSG00000225361.3",0.19,1.2," (0.938-1.55)",2.12,0.145,"PPP1R26-AS1"
"ENSG00000253106.1",0.04,1," (0.823-1.32)",0.11,0.739,"RP11-158K1.3"
"ENSG00000188242.4",-0.063,0.94," (0.789-1.12)",0.5,0.481,"PP7080"
"ENSG00000280693.1",0.03,1," (0.915-1.16)",0.24,0.625,"SH3PXD2A-AS1"
"ENSG00000232956.7",0.24,1.3," (0.937-1.73)",2.39,0.122,"SNHG15"
"ENSG00000269051.4",-0.0088,0.99," (0.922-1.07)",0.06,0.814,"CTD-2245F17.3"
"ENSG00000260244.1",-0.01,0.99," (0.872-1.12)",0.03,0.873,"RP11-588K22.2"
"ENSG00000268388.4",-0.062,0.94," (0.841-1.05)",1.17,0.279,"FENDRR"
"ENSG00000198788.8",-0.032,0.97," (0.914-1.03)",1.21,0.272,"MUC2"
"ENSG00000228106.4",0.27,1.3," (0.979-1.76)",3.31,0.0691,"RP11-452F19.3"
"ENSG00000241990.4",0.11,1.1," (0.859-1.45)",0.66,0.415,"PRR34-AS1"
"ENSG00000271133.4",-0.2,0.82," (0.682-0.975)",4.99,0.0256,"CTA-293F17.1"
"ENSG00000264112.1",0.012,1," (0.855-1.2)",0.02,0.885,"RP11-159D12.2"
"ENSG00000222041.9",0.15,1.2," (0.885-1.53)",1.17,0.278,"LINC00152"
"ENSG00000272990.1",0.048,1," (0.915-1.2)",0.48,0.491,"RP11-305K5.1"
"ENSG00000267344.1",0.2,1.2," (1.01-1.49)",4.08,0.0434,"CTB-39G8.3"
"ENSG00000270673.1",0.045,1," (0.863-1.27)",0.21,0.644,"YTHDF3-AS1"
"ENSG00000227359.1",-0.045,0.96," (0.87-1.05)",0.87,0.35,"AC017074.2"
"ENSG00000255717.5",0.1,1.1," (0.851-1.45)",0.59,0.442,"SNHG1"
"ENSG00000247498.8",0.038,1," (0.79-1.37)",0.07,0.785,"RP11-392P7.6"
"ENSG00000254531.1",0.086,1.1," (0.868-1.37)",0.55,0.46,"FLJ20021"
"ENSG00000263013.1",-0.13,0.88," (0.742-1.04)",2.34,0.126,"RP11-876N24.5"
"ENSG00000273759.1",0.028,1," (0.904-1.17)",0.18,0.671,"RP4-563E14.1"
"ENSG00000233101.9",-0.0012,1," (0.871-1.15)",0,0.986,"HOXB-AS3"
"ENSG00000247828.6",0.028,1," (0.785-1.35)",0.04,0.84,"TMEM161B-AS1"
"ENSG00000213793.4",0.0064,1," (0.86-1.18)",0.01,0.936,"ZNF888"
"ENSG00000226752.6",0.3,1.3," (1-1.81)",3.96,0.0467,"PSMD5-AS1"
"ENSG00000278922.1",0.24,1.3," (0.965-1.67)",2.91,0.0882,"AC002310.14"
"ENSG00000278238.1",0.041,1," (0.899-1.21)",0.3,0.586,"RP11-245D16.4"
"ENSG00000226950.5",-0.15,0.86," (0.656-1.12)",1.3,0.254,"DANCR"
"ENSG00000246582.2",-0.12,0.88," (0.663-1.18)",0.73,0.394,"RP11-1149O23.3"
"ENSG00000272888.4",0.078,1.1," (0.791-1.48)",0.24,0.627,"LINC01578"
"ENSG00000225762.1",-0.03,0.97," (0.882-1.07)",0.38,0.538,"LINC01389"
"ENSG00000273084.1",0.069,1.1," (0.877-1.31)",0.45,0.501,"RP11-1275H24.3"
"ENSG00000262468.4",0.089,1.1," (0.853-1.4)",0.5,0.48,"LINC01569"
"ENSG00000280099.1",-0.0046,1," (0.801-1.24)",0,0.967,"RP11-33E12.2"
"ENSG00000261799.1",-0.11,0.9," (0.693-1.17)",0.65,0.42,"RP11-283I3.6"
"ENSG00000232093.1",0.11,1.1," (0.9-1.39)",1.02,0.312,"RP11-307C12.11"
"ENSG00000261087.1",0.11,1.1," (0.901-1.38)",1.02,0.313,"KB-1460A1.5"
"ENSG00000253414.2",-0.1,0.9," (0.812-1)",3.86,0.0496,"RP11-150O12.6"
"ENSG00000266490.1",0.081,1.1," (0.951-1.24)",1.48,0.224,"CTD-2349P21.9"
"ENSG00000269044.2",0.092,1.1," (0.794-1.51)",0.31,0.577,"CTC-429P9.3"
"ENSG00000234771.3",0.22,1.2," (0.978-1.58)",3.16,0.0755,"SLC25A25-AS1"
"ENSG00000280734.1",0.089,1.1," (0.87-1.37)",0.59,0.444,"LINC01232"
"ENSG00000163597.13",-0.46,0.63," (0.43-0.936)",5.27,0.0218,"SNHG16"
"ENSG00000273723.1",0.085,1.1," (0.918-1.29)",0.95,0.33,"RP11-93H24.3"
"ENSG00000246263.2",-0.028,0.97," (0.778-1.21)",0.06,0.804,"KB-431C1.4"
"ENSG00000229891.1",-0.086,0.92," (0.778-1.08)",1.03,0.311,"LINC01315"
"ENSG00000272009.1",0.16,1.2," (0.878-1.56)",1.15,0.283,"RP1-313I6.12"
"ENSG00000224272.2",-0.13,0.88," (0.79-0.973)",6.13,0.0133,"AC114730.3"
"ENSG00000262714.1",-0.045,0.96," (0.883-1.04)",1.22,0.27,"RP11-44F14.8"
"ENSG00000233621.1",-0.07,0.93," (0.699-1.24)",0.23,0.633,"LINC01137"
"ENSG00000255468.5",0.052,1.1," (0.788-1.41)",0.13,0.723,"RP11-867G23.8"
"ENSG00000241224.5",-0.022,0.98," (0.908-1.05)",0.32,0.569,"FLJ22763"
"ENSG00000184068.2",-0.047,0.95," (0.7-1.3)",0.09,0.764,"RP5-821D11.7"
"ENSG00000262823.1",-0.05,0.95," (0.801-1.13)",0.33,0.568,"RP13-580F15.2"
"ENSG00000238164.5",0.24,1.3," (1.02-1.59)",4.74,0.0294,"RP3-395M20.8"
"ENSG00000235501.4",-0.025,0.98," (0.827-1.15)",0.09,0.768,"RP4-639F20.1"
"ENSG00000273132.1",0.031,1," (0.934-1.14)",0.37,0.544,"RP11-350J20.12"
"ENSG00000251322.6",0.3,1.4," (1.09-1.68)",7.38,0.00661,"SHANK3"
"ENSG00000272518.1",-0.012,0.99," (0.823-1.18)",0.02,0.893,"RP11-26J3.3"
"ENSG00000254827.4",0.027,1," (0.832-1.27)",0.06,0.801,"SLC22A18AS"
"ENSG00000270696.1",-0.013,0.99," (0.743-1.31)",0.01,0.928,"RP11-342K6.1"
"ENSG00000271533.1",0.022,1," (0.882-1.18)",0.08,0.772,"RP3-368A4.6"
"ENSG00000272849.1",0.19,1.2," (0.999-1.47)",3.8,0.0511,"RP11-347I19.8"
"ENSG00000258655.2",0.1,1.1," (0.872-1.41)",0.7,0.402,"ARHGAP5-AS1"
"ENSG00000255857.4",0.29,1.3," (0.938-1.89)",2.57,0.109,"PXN-AS1"
"ENSG00000269186.1",-0.037,0.96," (0.904-1.03)",1.31,0.252,"LINC01082"
"ENSG00000272842.1",0.019,1," (0.918-1.13)",0.12,0.724,"RP11-513M16.7"
"ENSG00000243766.6",-0.038,0.96," (0.9-1.03)",1.26,0.261,"HOTTIP"
"ENSG00000267510.1",0.063,1.1," (0.942-1.2)",1.01,0.314,"CTC-325H20.4"
"ENSG00000260877.1",0.065,1.1," (0.981-1.16)",2.29,0.13,"RP11-211G23.2"
"ENSG00000237523.1",0.12,1.1," (0.9-1.42)",1.1,0.295,"LINC00857"
"ENSG00000275888.1",0.2,1.2," (1.01-1.48)",4.45,0.0348,"RP13-516M14.10"
"ENSG00000247400.3",0.027,1," (0.839-1.26)",0.07,0.794,"DNAJC3-AS1"
"ENSG00000272455.1",0.16,1.2," (0.903-1.51)",1.42,0.234,"RP4-758J18.13"
"ENSG00000277782.1",0.12,1.1," (0.941-1.35)",1.7,0.193,"RP11-775C24.5"
"ENSG00000258534.1",0.2,1.2," (0.988-1.5)",3.39,0.0655,"CTD-2134A5.4"
"ENSG00000232640.1",0.017,1," (0.833-1.24)",0.03,0.864,"RP1-266L20.2"
"ENSG00000245556.2",0.14,1.2," (0.85-1.57)",0.85,0.356,"SCAMP1-AS1"
"ENSG00000260917.1",0.0074,1," (0.788-1.29)",0,0.953,"RP11-57H14.4"
"ENSG00000268087.1",-0.054,0.95," (0.795-1.13)",0.37,0.544,"CTC-429P9.2"
"ENSG00000223400.1",-0.017,0.98," (0.915-1.06)",0.22,0.641,"AP006748.1"
"ENSG00000273456.1",0.27,1.3," (1.03-1.66)",4.91,0.0267,"RP11-686O6.2"
"ENSG00000272899.2",0.14,1.1," (0.961-1.37)",2.31,0.128,"RP11-309L24.4"
"ENSG00000253929.1",-0.028,0.97," (0.905-1.04)",0.59,0.442,"CASC21"
"ENSG00000278784.1",0.19,1.2," (0.88-1.65)",1.35,0.246,"RP11-468E2.11"
"ENSG00000241359.1",-0.075,0.93," (0.851-1.01)",2.93,0.0868,"SYNPR-AS1"
"ENSG00000247679.2",0.1,1.1," (0.881-1.39)",0.76,0.384,"RP11-1277A3.1"
"ENSG00000272172.1",0.084,1.1," (0.907-1.31)",0.82,0.364,"RP13-582O9.7"
"ENSG00000278912.1",0.052,1.1," (0.925-1.2)",0.62,0.433,"CTD-2196E14.8"
"ENSG00000268970.1",0.11,1.1," (0.957-1.3)",1.94,0.164,"CTD-3099C6.11"
"ENSG00000260121.1",0.15,1.2," (0.947-1.43)",2.08,0.149,"RP5-1142A6.9"
"ENSG00000223813.2",0.074,1.1," (0.881-1.31)",0.52,0.47,"AC007255.8"
"ENSG00000272068.1",0.13,1.1," (0.979-1.31)",2.83,0.0925,"RP11-284F21.9"
"ENSG00000258122.1",0.03,1," (0.938-1.13)",0.4,0.53,"RP11-61A14.1"
"ENSG00000182873.5",0.21,1.2," (0.996-1.53)",3.68,0.0549,"RP11-181G12.2"
"ENSG00000271869.1",-0.045,0.96," (0.838-1.09)",0.46,0.498,"RP11-51J9.5"
"ENSG00000258512.1",0.078,1.1," (0.917-1.27)",0.86,0.353,"LINC00239"
"ENSG00000256643.1",0.0026,1," (0.945-1.06)",0.01,0.932,"RP11-349K16.1"
"ENSG00000255198.4",0.051,1.1," (0.873-1.27)",0.28,0.594,"SNHG9"
"ENSG00000229043.2",0.12,1.1," (0.886-1.44)",0.97,0.324,"AC091729.9"
"ENSG00000246898.1",-0.072,0.93," (0.84-1.03)",1.88,0.171,"LINC00920"
"ENSG00000224259.4",0.11,1.1," (0.933-1.32)",1.4,0.236,"LINC01133"
"ENSG00000235245.1",0.24,1.3," (1.05-1.55)",5.99,0.0144,"RP11-122K13.12"
"ENSG00000245937.6",0.067,1.1," (0.753-1.52)",0.14,0.709,"LINC01184"
"ENSG00000272153.1",0.11,1.1," (0.919-1.35)",1.22,0.27,"RP1-286D6.5"
"ENSG00000279117.1",-0.17,0.84," (0.662-1.07)",1.97,0.161,"CTD-2562J17.6"
"ENSG00000177410.11",-0.14,0.87," (0.679-1.1)",1.34,0.247,"ZFAS1"
"ENSG00000234753.4",0.04,1," (0.87-1.25)",0.19,0.661,"FOXP4-AS1"
"ENSG00000236618.2",0.18,1.2," (0.942-1.52)",2.17,0.141,"PITPNA-AS1"
"ENSG00000126005.14",-0.11,0.9," (0.692-1.16)",0.71,0.398,"MMP24-AS1"
"ENSG00000260018.1",0.043,1," (0.88-1.24)",0.24,0.623,"RP11-505K9.1"
"ENSG00000196741.5",0.041,1," (0.841-1.29)",0.14,0.709,"LINC01560"
"ENSG00000274173.1",0.0066,1," (0.852-1.19)",0.01,0.938,"RP4-568C11.4"
"ENSG00000262050.1",0.077,1.1," (0.926-1.26)",0.96,0.328,"RP11-74E22.3"
"ENSG00000223891.4",0.036,1," (0.866-1.24)",0.16,0.693,"OSER1-AS1"
"ENSG00000281404.1",0.12,1.1," (0.958-1.32)",2.04,0.153,"LINC01176"
"ENSG00000247556.5",0.14,1.1," (0.834-1.58)",0.71,0.399,"OIP5-AS1"
"ENSG00000229167.1",0.025,1," (0.904-1.16)",0.15,0.701,"RP11-73M7.1"
"ENSG00000267152.1",0.076,1.1," (0.897-1.3)",0.65,0.42,"CTD-2528L19.6"
"ENSG00000233695.2",0.093,1.1," (0.97-1.24)",2.19,0.139,"GAS6-AS1"
"ENSG00000255224.1",0.022,1," (0.79-1.32)",0.03,0.869,"CTD-3065J16.9"
"ENSG00000225953.2",-0.037,0.96," (0.884-1.05)",0.68,0.409,"SATB2-AS1"
"ENSG00000272760.1",0.015,1," (0.826-1.25)",0.02,0.887,"RP11-5C23.1"
"ENSG00000246451.2",0.12,1.1," (0.929-1.38)",1.51,0.22,"RP11-894P9.1"
"ENSG00000239569.3",0.37,1.4," (1.12-1.86)",8.17,0.00427,"KMT2E-AS1"
"ENSG00000237643.1",-0.018,0.98," (0.937-1.03)",0.58,0.447,"RP11-462G2.1"
"ENSG00000261183.4",0.22,1.2," (0.912-1.69)",1.89,0.169,"RP11-532F12.5"
"ENSG00000259330.1",0.13,1.1," (0.877-1.49)",0.98,0.321,"INAFM2"
"ENSG00000179859.7",0.11,1.1," (0.837-1.5)",0.59,0.442,"AC025335.1"
"ENSG00000234694.1",0.11,1.1," (0.936-1.33)",1.52,0.218,"RP1-92O14.3"
"ENSG00000167117.7",-0.021,0.98," (0.856-1.12)",0.09,0.759,"LINC00483"
"ENSG00000270871.1",0.05,1.1," (0.927-1.19)",0.61,0.436,"AC015849.19"
"ENSG00000253161.4",-0.017,0.98," (0.837-1.15)",0.05,0.831,"RP11-150O12.1"
"ENSG00000278970.1",0.25,1.3," (0.867-1.91)",1.56,0.211,"HEIH"
"ENSG00000225489.5",0.081,1.1," (0.939-1.25)",1.22,0.269,"RP11-390F4.3"
"ENSG00000256001.1",-0.031,0.97," (0.914-1.03)",1.07,0.302,"RP11-575F12.2"
"ENSG00000229719.3",0.066,1.1," (0.881-1.3)",0.45,0.5,"AP001187.9"
"ENSG00000223552.1",-0.057,0.94," (0.791-1.13)",0.4,0.526,"RP11-24F11.2"
"ENSG00000279095.1",0.1,1.1," (0.821-1.49)",0.45,0.503,"AC092066.1"
"ENSG00000273058.2",0.15,1.2," (0.908-1.5)",1.45,0.229,"RP11-385F5.5"
"ENSG00000235919.4",0.26,1.3," (0.965-1.73)",2.97,0.0849,"ASH1L-AS1"
"ENSG00000204261.7",-0.013,0.99," (0.751-1.3)",0.01,0.929,"PSMB8-AS1"
"ENSG00000268836.1",0.099,1.1," (0.948-1.28)",1.63,0.202,"LA16c-OS12.2"
"ENSG00000235106.7",-0.099,0.91," (0.635-1.29)",0.3,0.585,"LINC00094"
"ENSG00000204620.3",0.096,1.1," (0.881-1.38)",0.72,0.396,"RP11-1148L6.9"
"ENSG00000226287.6",0.12,1.1," (0.924-1.37)",1.39,0.239,"TMEM191A"
"ENSG00000268001.1",-0.2,0.82," (0.649-1.03)",2.99,0.0838,"CARD8-AS1"
"ENSG00000279453.1",0.12,1.1," (0.889-1.43)",0.99,0.319,"RP3-425C14.4"
"ENSG00000272502.1",0.084,1.1," (0.941-1.26)",1.29,0.256,"RP11-713M15.2"
"ENSG00000224167.1",0.039,1," (0.935-1.16)",0.51,0.474,"RP3-522D1.1"
"ENSG00000229180.5",0.24,1.3," (0.993-1.62)",3.62,0.057,"GS1-124K5.11"
"ENSG00000259953.1",0.26,1.3," (0.982-1.73)",3.36,0.0669,"RP11-4O1.2"
"ENSG00000234678.1",0.17,1.2," (0.897-1.58)",1.46,0.227,"RP11-465N4.4"
"ENSG00000203875.9",-0.056,0.95," (0.79-1.13)",0.38,0.537,"SNHG5"
"ENSG00000270170.1",0.14,1.2," (0.826-1.62)",0.71,0.399,"NCBP2-AS2"
"ENSG00000272669.1",0.19,1.2," (0.991-1.48)",3.49,0.0617,"RP3-508I15.21"
"ENSG00000272141.1",0.075,1.1," (0.911-1.28)",0.77,0.381,"RP11-465B22.8"
"ENSG00000215908.6",0.064,1.1," (0.804-1.41)",0.2,0.656,"CROCCP2"
"ENSG00000229931.1",0.069,1.1," (0.912-1.26)",0.7,0.402,"RP1-151F17.1"
"ENSG00000267519.3",0.15,1.2," (0.945-1.43)",2.01,0.156,"CTD-3252C9.4"
"ENSG00000265933.4",0.023,1," (0.939-1.12)",0.28,0.599,"LINC00668"
"ENSG00000229155.1",0.029,1," (0.875-1.21)",0.12,0.726,"RP11-528A4.2"
"ENSG00000261437.1",0.065,1.1," (0.862-1.32)",0.36,0.55,"RP11-22C11.2"
"ENSG00000259153.1",0.083,1.1," (0.887-1.33)",0.64,0.423,"RP6-65G23.3"
"ENSG00000269131.1",0.26,1.3," (0.977-1.71)",3.24,0.072,"AC004447.2"
"ENSG00000271870.1",0.14,1.2," (0.924-1.43)",1.57,0.211,"RP11-97C16.1"
"ENSG00000272933.1",0.12,1.1," (0.928-1.37)",1.45,0.228,"RP11-47A8.5"
"ENSG00000235437.6",0.24,1.3," (0.964-1.68)",2.89,0.0889,"LINC01278"
"ENSG00000248367.1",0.18,1.2," (1-1.43)",3.9,0.0482,"CTB-129O4.1"
"ENSG00000120055.7",0.042,1," (0.827-1.32)",0.13,0.721,"C10orf95"
"ENSG00000225302.2",-0.015,0.98," (0.759-1.28)",0.01,0.909,"RP11-539I5.1"
"ENSG00000257086.1",0.25,1.3," (0.993-1.66)",3.62,0.057,"RP11-783K16.13"
"ENSG00000267321.1",0.058,1.1," (0.816-1.38)",0.19,0.662,"RP11-1094M14.11"
"ENSG00000275557.1",0.053,1.1," (0.941-1.18)",0.83,0.362,"RP11-353N4.6"
"ENSG00000258056.2",0.49,1.6," (1.15-2.34)",7.45,0.00634,"RP11-644F5.11"
"ENSG00000260822.1",-0.14,0.87," (0.67-1.13)",1.09,0.296,"GS1-358P8.4"
"ENSG00000267481.1",0.0055,1," (0.844-1.2)",0,0.951,"CTC-559E9.5"
"ENSG00000255320.1",-0.061,0.94," (0.806-1.1)",0.59,0.442,"RP11-755F10.1"
"ENSG00000258424.1",0.023,1," (0.945-1.11)",0.33,0.568,"RP11-471B22.2"
"ENSG00000274561.1",0.026,1," (0.889-1.18)",0.13,0.722,"RP11-147L13.12"
"ENSG00000227403.1",-0.06,0.94," (0.828-1.07)",0.83,0.361,"AC009299.3"
"ENSG00000248866.1",-0.052,0.95," (0.774-1.16)",0.25,0.618,"USP46-AS1"
"ENSG00000270761.1",0.075,1.1," (0.869-1.34)",0.47,0.493,"RP11-385F7.1"
"ENSG00000269940.1",0.017,1," (0.925-1.12)",0.12,0.731,"RP11-73M18.7"
"ENSG00000223745.6",0.085,1.1," (0.888-1.33)",0.67,0.415,"RP4-717I23.3"
