"ENSG_id","logFC","adj.P.Val","logrank.pvalue","beta","HR","CI","wald.test.test","HR.pvalue.pvalue","wald.test","HR.pvalue","Symbol"
"ENSG00000116883.8",-0.408562365797969,0.000553384176891799,0.00377454770815146,0.18,1.2,"(1.05-1.36)","7.36","0.00668",7.36,0.00668,"RP11-268J15.5"
"ENSG00000117242.7",0.631552676596858,2.48693983649506e-15,0.100823635982323,-0.26,0.77,"(0.581-1.03)","3.16","0.0755",3.16,0.0755,"PINK1-AS"
"ENSG00000176912.3",1.6972004771728,1.99196148838483e-24,0.680935835119018,0.0027,1,"(0.861-1.17)","0","0.972",0,0.972,"TYMSOS"
"ENSG00000177406.4",0.0326843207751095,0.736409848718575,0.164985908204784,0.19,1.2,"(0.931-1.57)","2.03","0.154",2.03,0.154,"RP11-218M22.1"
"ENSG00000179406.6",-1.0163552759813,4.32242404922545e-20,0.0515970570633847,0.31,1.4,"(1.11-1.7)","8.26","0.00405",8.26,0.00405,"LINC00174"
"ENSG00000179523.4",-0.387347253322946,2.66459241517232e-05,0.0821890864714849,0.5,1.7,"(1.15-2.38)","7.3","0.0069",7.3,0.0069,"EIF3J-AS1"
"ENSG00000179859.7",-0.0558919100086813,0.526083220671389,0.378288669597486,0.13,1.1,"(0.856-1.52)","0.81","0.367",0.81,0.367,"AC025335.1"
"ENSG00000182873.5",-1.32919903813122,2.41245964070907e-34,0.256012280851134,0.21,1.2,"(0.995-1.52)","3.66","0.0556",3.66,0.0556,"RP11-181G12.2"
"ENSG00000188206.6",-1.7190414951829,5.0929332969535e-39,0.469309287035342,0.076,1.1,"(0.917-1.27)","0.84","0.36",0.84,0.36,"HNRNPU-AS1"
"ENSG00000188242.4",0.0627393049559704,0.71829422541256,0.697591546001834,-0.068,0.93,"(0.787-1.11)","0.61","0.435",0.61,0.435,"PP7080"
"ENSG00000196741.5",0.247640238045723,0.00406979681093152,0.776325982235919,0.013,1,"(0.831-1.24)","0.02","0.895",0.02,0.895,"LINC01560"
"ENSG00000196810.4",0.544475382859816,6.17448251370902e-10,0.128035440173677,-0.22,0.8,"(0.528-1.22)","1.04","0.307",1.04,0.307,"CTBP1-AS2"
"ENSG00000197180.2",0.247251996359985,0.00904944722673054,0.0945903929212305,0.089,1.1,"(0.861-1.39)","0.53","0.467",0.53,0.467,"CH17-340M24.3"
"ENSG00000198788.8",1.38893951756824,0.000199495192907793,0.383920770690002,-0.022,0.98,"(0.923-1.04)","0.57","0.449",0.57,0.449,"MUC2"
"ENSG00000203497.2",-0.538350973983015,1.41479222730722e-08,0.533543862545932,0.1,1.1,"(0.807-1.52)","0.39","0.531",0.39,0.531,"PDCD4-AS1"
"ENSG00000203644.3",0.764477590955705,1.44778618135104e-17,0.289948129113887,0.055,1.1,"(0.845-1.32)","0.23","0.632",0.23,0.632,"RP11-332M2.1"
"ENSG00000203993.4",-0.743671106320102,1.49463371748186e-14,0.0108877535754541,0.56,1.8,"(1.2-2.58)","8.35","0.00385",8.35,0.00385,"ARRDC1-AS1"
"ENSG00000204282.4",-0.139981919749081,0.212928875729492,0.00575630877028642,0.37,1.4,"(1.14-1.82)","9.38","0.0022",9.38,0.0022,"TNRC6C-AS1"
"ENSG00000204685.6",-0.41713961961274,4.48903258223559e-07,0.381990904605515,0.45,1.6,"(1.04-2.38)","4.56","0.0326",4.56,0.0326,"STARD7-AS1"
"ENSG00000204860.4",2.50825431894427,3.13977592871058e-43,0.559370903717768,0.14,1.1,"(0.974-1.35)","2.72","0.0993",2.72,0.0993,"FAM201A"
"ENSG00000204876.4",8.28123395386412,2.75351140681266e-129,0.153302956317955,-0.075,0.93,"(0.818-1.05)","1.35","0.245",1.35,0.245,"AC021218.2"
"ENSG00000214049.6",6.81106387619824,5.03573738835894e-97,0.706498618871503,0.009,1,"(0.933-1.09)","0.05","0.823",0.05,0.823,"UCA1"
"ENSG00000214401.4",-0.617154625413028,2.82598555510398e-07,0.81994949047822,0.012,1,"(0.857-1.2)","0.02","0.887",0.02,0.887,"KANSL1-AS1"
"ENSG00000215256.3",0.756847305166959,3.58369793979274e-15,0.52327592238137,0.076,1.1,"(0.807-1.44)","0.26","0.61",0.26,0.61,"DHRS4-AS1"
"ENSG00000218510.5",0.00381290435990156,0.970099663248112,0.682862461297384,-0.13,0.88,"(0.637-1.22)","0.6","0.44",0.6,0.44,"LINC00339"
"ENSG00000221990.4",-0.26136874432555,0.00362522220661453,0.954385147547673,0.15,1.2,"(0.906-1.49)","1.39","0.238",1.39,0.238,"EXOC3-AS1"
"ENSG00000222001.2",5.67387367517629,2.57038330605064e-50,0.231405548326789,-0.049,0.95,"(0.851-1.07)","0.73","0.393",0.73,0.393,"AC106876.2"
"ENSG00000223478.1",0.816635065630241,3.95091028980565e-14,0.101202327072907,0.1,1.1,"(0.893-1.38)","0.87","0.351",0.87,0.351,"RP11-545E17.3"
"ENSG00000223768.1",-0.832462842727498,2.2541194533607e-17,0.159428843455053,0.18,1.2,"(0.938-1.52)","2.08","0.149",2.08,0.149,"LINC00205"
"ENSG00000223813.2",2.09623609733026,2.39983563566494e-27,0.758517520677272,0.056,1.1,"(0.873-1.28)","0.32","0.569",0.32,0.569,"AC007255.8"
"ENSG00000224138.1",-0.34593754206707,0.000567920421370129,0.662775811343112,0.0053,1,"(0.904-1.12)","0.01","0.923",0.01,0.923,"AC000123.4"
"ENSG00000224152.1",-0.522885581656678,9.77520432075522e-10,0.591909833843832,-0.017,0.98,"(0.719-1.34)","0.01","0.916",0.01,0.916,"AC009506.1"
"ENSG00000224272.2",1.68807506073908,6.52013484014016e-13,0.107518120395753,-0.12,0.88,"(0.796-0.98)","5.45","0.0196",5.45,0.0196,"AC114730.3"
"ENSG00000224961.1",0.594950963155319,0.0724242424277674,0.487239490194629,0.037,1,"(0.956-1.13)","0.78","0.377",0.78,0.377,"RP1-278O22.1"
"ENSG00000224975.1",-0.977044968124976,2.0427091008378e-19,0.818401609957078,0.11,1.1,"(0.915-1.35)","1.15","0.284",1.15,0.284,"INE1"
"ENSG00000225361.3",0.811809123891735,3.11514671701975e-12,0.230712868368513,0.17,1.2,"(0.929-1.51)","1.88","0.171",1.88,0.171,"PPP1R26-AS1"
"ENSG00000225953.2",1.43897277093563,4.75549900598352e-05,0.91898023112126,-0.022,0.98,"(0.897-1.07)","0.26","0.611",0.26,0.611,"SATB2-AS1"
"ENSG00000225969.1",2.84069742662515,2.06683955115379e-23,0.122419039977089,-0.053,0.95,"(0.822-1.09)","0.52","0.472",0.52,0.472,"ABHD11-AS1"
"ENSG00000226137.5",0.434395518259663,1.89829573739787e-06,0.879225764656853,-0.035,0.97,"(0.74-1.26)","0.07","0.798",0.07,0.798,"BAIAP2-AS1"
"ENSG00000226332.2",-1.9957730936977,9.48895541232508e-43,0.00614366998448294,0.28,1.3,"(1.08-1.63)","7.22","0.00721",7.22,0.00721,"RP11-157P1.4"
"ENSG00000226465.1",0.464739688547624,0.0785626826208928,0.625084748545187,-0.037,0.96,"(0.913-1.02)","1.84","0.176",1.84,0.176,"RP13-401N8.1"
"ENSG00000226812.2",5.65432475927099,1.39863633559483e-50,0.776244521165737,-0.048,0.95,"(0.858-1.06)","0.8","0.372",0.8,0.372,"RP5-881L22.5"
"ENSG00000227053.1",1.94517481743126,5.11519195458212e-22,0.584611074513209,0.031,1,"(0.901-1.18)","0.2","0.654",0.2,0.654,"RP11-395B7.4"
"ENSG00000227359.1",2.30306346921089,1.76989017230887e-23,0.429657044855747,-0.038,0.96,"(0.876-1.06)","0.64","0.423",0.64,0.423,"AC017074.2"
"ENSG00000227403.1",4.27480357261795,1.00857618890567e-52,0.597214940918434,-0.044,0.96,"(0.841-1.09)","0.44","0.506",0.44,0.506,"AC009299.3"
"ENSG00000227540.1",0.00866217161930671,0.930142314291527,0.47315667413351,0.18,1.2,"(0.946-1.51)","2.24","0.134",2.24,0.134,"RP11-152N13.5"
"ENSG00000227946.1",-0.260199057414543,0.00531254552761634,0.327467090717033,0.013,1,"(0.854-1.2)","0.02","0.881",0.02,0.881,"AC007383.3"
"ENSG00000228037.1",0.689532602270219,0.00011686605435889,0.910160261007953,-0.018,0.98,"(0.842-1.15)","0.05","0.823",0.05,0.823,"RP3-395M20.9"
"ENSG00000228109.1",-0.436538403748642,0.000101392122586086,0.0425143154873879,0.27,1.3,"(1.05-1.64)","5.77","0.0163",5.77,0.0163,"MFI2-AS1"
"ENSG00000228223.2",-0.67147785712408,2.49736876392113e-08,0.498072089618729,0.013,1,"(0.882-1.16)","0.03","0.854",0.03,0.854,"HCG11"
"ENSG00000228343.1",0.269706880006015,0.00217484678626466,0.00836771170818949,-0.077,0.93,"(0.792-1.08)","0.94","0.331",0.94,0.331,"RP11-1148L6.5"
"ENSG00000228393.3",-0.983890836639115,4.77990454863517e-16,0.619544911438622,0.068,1.1,"(0.916-1.25)","0.73","0.392",0.73,0.392,"LINC01004"
"ENSG00000228439.4",-0.213441554574118,0.00719366949305135,0.454631905090916,-0.037,0.96,"(0.801-1.16)","0.16","0.693",0.16,0.693,"TSTD3"
"ENSG00000228801.5",0.754359543060113,1.34502733337546e-17,0.170215277524546,-0.0015,1,"(0.762-1.31)","0","0.992",0,0.992,"RP11-110G21.1"
"ENSG00000228989.1",0.113700815908357,0.271091957902627,0.398752133694719,0.18,1.2,"(0.94-1.51)","2.11","0.147",2.11,0.147,"AC133528.2"
"ENSG00000229043.2",0.380228505473099,0.000275947632656336,0.0868157347417725,0.16,1.2,"(0.925-1.49)","1.73","0.188",1.73,0.188,"AC091729.9"
"ENSG00000229152.2",-0.580248714645514,6.13497813866329e-07,0.304594621567951,0.057,1.1,"(0.932-1.2)","0.77","0.381",0.77,0.381,"ANKRD10-IT1"
"ENSG00000229167.1",1.73903402290895,8.9704028786202e-22,0.57371087994463,0.015,1,"(0.9-1.15)","0.06","0.806",0.06,0.806,"RP11-73M7.1"
"ENSG00000229180.5",-1.54749092275241,1.24491089907634e-45,0.0971357988768801,0.23,1.3,"(0.99-1.6)","3.52","0.0607",3.52,0.0607,"GS1-124K5.11"
"ENSG00000229334.1",0.729592584374505,5.86488678982098e-12,0.669087197516083,-0.075,0.93,"(0.692-1.24)","0.25","0.616",0.25,0.616,"AC046143.3"
"ENSG00000229719.3",1.97998057851679,2.31868769126125e-12,0.725640960163009,0.063,1.1,"(0.881-1.29)","0.42","0.516",0.42,0.516,"AP001187.9"
"ENSG00000229891.1",1.03640483147317,7.52566794718748e-20,0.600903630130392,-0.11,0.9,"(0.766-1.05)","1.72","0.19",1.72,0.19,"LINC01315"
"ENSG00000229931.1",-0.380062399254903,0.00112990670215533,0.404787461546576,0.055,1.1,"(0.906-1.23)","0.49","0.483",0.49,0.483,"RP1-151F17.1"
"ENSG00000229953.1",4.88016600365385,3.05814510819494e-66,0.161804043266465,-0.03,0.97,"(0.806-1.17)","0.1","0.757",0.1,0.757,"RP11-284F21.7"
"ENSG00000230082.1",1.1295791665767,1.22658382203695e-22,0.940150933665374,0.0045,1,"(0.843-1.2)","0","0.96",0,0.96,"PRRT3-AS1"
"ENSG00000230163.1",-0.674967013004384,1.38500124091705e-14,0.288280594246217,0.33,1.4,"(1-1.94)","3.84","0.0499",3.84,0.0499,"RP5-997D16.2"
"ENSG00000230177.1",-0.190585964538367,0.0930953894343185,0.516400697193563,0.098,1.1,"(0.905-1.34)","0.95","0.33",0.95,0.33,"RP5-1112D6.4"
"ENSG00000230551.4",-1.13382677313342,3.2872025872756e-24,0.886948879172594,0.076,1.1,"(0.86-1.35)","0.43","0.511",0.43,0.511,"CTB-89H12.4"
"ENSG00000230733.2",0.607198240849248,1.40222029829168e-12,0.74211177857093,0.22,1.2,"(0.951-1.62)","2.54","0.111",2.54,0.111,"AC092171.4"
"ENSG00000230844.2",-0.341181646978331,0.000138997213879933,0.189782594249818,0.21,1.2,"(0.951-1.62)","2.52","0.112",2.52,0.112,"ZNF674-AS1"
"ENSG00000230896.1",0.139136319323648,0.0988185369114918,0.457961618539689,-0.042,0.96,"(0.699-1.31)","0.07","0.794",0.07,0.794,"RP11-767N6.7"
"ENSG00000231025.1",0.411507632594766,2.07520163008303e-06,0.755799463882316,0.17,1.2,"(0.852-1.65)","1.03","0.31",1.03,0.31,"RP11-175O19.4"
"ENSG00000231663.1",-0.719251098962012,3.79574353533485e-12,0.625518094245119,0.057,1.1,"(0.869-1.29)","0.32","0.569",0.32,0.569,"RP5-827C21.4"
"ENSG00000232093.1",1.23429852312674,1.65530752162476e-16,0.559597203757741,0.12,1.1,"(0.908-1.39)","1.14","0.285",1.14,0.285,"RP11-307C12.11"
"ENSG00000232098.3",-0.0820095707284989,0.394279964980024,0.591582548831076,0.015,1,"(0.755-1.36)","0.01","0.921",0.01,0.921,"CTD-2619J13.14"
"ENSG00000232442.1",-0.156520032758693,0.173401196220144,0.0485357550536958,0.14,1.2,"(0.945-1.41)","1.99","0.159",1.99,0.159,"CTD-3184A7.4"
"ENSG00000232445.1",4.88205874000737,3.40477920984808e-81,0.54321022374499,-0.04,0.96,"(0.863-1.07)","0.54","0.461",0.54,0.461,"RP11-132A1.4"
"ENSG00000232533.1",0.262047122495327,0.0238588303272407,0.14919179788581,0.21,1.2,"(0.952-1.61)","2.55","0.111",2.55,0.111,"AC093673.5"
"ENSG00000232803.1",3.33003107641782,3.05280031865352e-81,0.270535061035645,0.063,1.1,"(0.962-1.18)","1.47","0.225",1.47,0.225,"SLCO4A1-AS1"
"ENSG00000233223.2",-0.734337324998846,7.94232115896868e-12,0.14818077325414,0.41,1.5,"(1.19-1.88)","12.1","0.000504",12.1,0.000504,"AC113189.5"
"ENSG00000233483.2",2.35366018366681,2.54565985459367e-24,0.764007289637886,-0.015,0.99,"(0.837-1.16)","0.03","0.857",0.03,0.857,"CTD-2020K17.4"
"ENSG00000233621.1",0.778609160824167,1.3205578640156e-16,0.584206672705345,-0.057,0.94,"(0.711-1.25)","0.16","0.692",0.16,0.692,"LINC01137"
"ENSG00000234072.1",0.0561152639606077,0.574206198931385,0.211029174489948,0.19,1.2,"(0.92-1.58)","1.83","0.176",1.83,0.176,"AC074117.10"
"ENSG00000234155.1",3.89200975563056,1.95711583473342e-42,0.378710087735061,-0.075,0.93,"(0.805-1.07)","1.05","0.304",1.05,0.304,"RP11-30P6.6"
"ENSG00000234160.1",0.54020816486113,0.000287780121418579,0.795851962650645,0.074,1.1,"(0.843-1.38)","0.35","0.554",0.35,0.554,"RP11-613M10.6"
"ENSG00000234171.2",0.743211581659024,8.60313321695906e-16,0.437668495466987,0.092,1.1,"(0.814-1.48)","0.37","0.544",0.37,0.544,"RNASEH1-AS1"
"ENSG00000234678.1",2.77298780160126,5.24690649361925e-67,0.252674261355021,0.15,1.2,"(0.885-1.53)","1.17","0.279",1.17,0.279,"RP11-465N4.4"
"ENSG00000234771.3",-0.123612025318034,0.315859432679176,0.0194630161119558,0.21,1.2,"(0.975-1.56)","3.06","0.0803",3.06,0.0803,"SLC25A25-AS1"
"ENSG00000235245.1",-1.7180245991693,1.19737011657531e-42,0.135849475309113,0.26,1.3,"(1.07-1.56)","6.79","0.00917",6.79,0.00917,"RP11-122K13.12"
"ENSG00000235280.2",3.42444641430983,5.18820075210548e-47,0.152150718249502,0.13,1.1,"(0.949-1.36)","1.92","0.166",1.92,0.166,"MCF2L-AS1"
"ENSG00000235499.1",2.75083919186602,6.13367395192586e-27,0.321562195322902,0.02,1,"(0.926-1.12)","0.16","0.686",0.16,0.686,"AC073046.25"
"ENSG00000235576.1",1.2234503735491,0.000199779046807665,0.306748101883785,-0.045,0.96,"(0.878-1.04)","1.1","0.295",1.1,0.295,"AC092580.4"
"ENSG00000235823.1",0.0781559612847522,0.463574885576462,0.177992550203015,0.22,1.2,"(0.95-1.63)","2.52","0.112",2.52,0.112,"OLMALINC"
"ENSG00000235919.4",0.0661371349783558,0.463589835257445,0.478788794347581,0.22,1.2,"(0.937-1.65)","2.27","0.132",2.27,0.132,"ASH1L-AS1"
"ENSG00000236081.1",8.44563465160793,2.0974121556373e-143,0.0200293364487156,0.14,1.1,"(0.999-1.31)","3.81","0.051",3.81,0.051,"ELFN1-AS1"
"ENSG00000236618.2",0.494685370781817,4.57573452120986e-07,0.230170128780363,0.14,1.2,"(0.917-1.45)","1.48","0.223",1.48,0.223,"PITPNA-AS1"
"ENSG00000236850.4",-0.375276904701486,1.20108488360975e-05,0.597705339353286,0.15,1.2,"(0.874-1.55)","1.09","0.296",1.09,0.296,"BMS1P20"
"ENSG00000236935.1",3.87998737489949,2.59767148216378e-28,0.529110017778655,-0.027,0.97,"(0.913-1.04)","0.72","0.395",0.72,0.395,"AP003774.1"
"ENSG00000237310.1",0.515226429267197,4.00582893896488e-07,0.242793520950306,0.21,1.2,"(1-1.52)","3.84","0.0502",3.84,0.0502,"GS1-124K5.4"
"ENSG00000237361.2",4.98370988416765,1.08386333330247e-45,0.991539815215588,-0.029,0.97,"(0.914-1.03)","0.9","0.343",0.9,0.343,"TUSC8"
"ENSG00000237424.1",1.47866679517821,4.40269540646001e-21,0.62855276451519,0.054,1.1,"(0.852-1.31)","0.24","0.622",0.24,0.622,"FOXD2-AS1"
"ENSG00000237476.1",0.138647418245724,0.308879797517533,0.631816965428738,0.053,1.1,"(0.848-1.31)","0.23","0.633",0.23,0.633,"XXbac-B135H6.15"
"ENSG00000237523.1",1.02131480861969,2.69859426980185e-25,0.466565731959556,0.12,1.1,"(0.902-1.4)","1.09","0.296",1.09,0.296,"LINC00857"
"ENSG00000237883.1",0.935277323659641,7.9793298716135e-15,0.544225042788143,0.049,1.1,"(0.868-1.27)","0.25","0.614",0.25,0.614,"DGUOK-AS1"
"ENSG00000238142.1",-0.49816262760301,0.00022836225834812,0.745832271239167,0.027,1,"(0.915-1.15)","0.21","0.647",0.21,0.647,"RP11-108M9.4"
"ENSG00000238279.1",0.494888703495333,1.54486176663819e-05,0.222626442813869,0.2,1.2,"(1.04-1.44)","5.82","0.0159",5.82,0.0159,"BX470102.3"
"ENSG00000239569.3",-0.685921750997017,3.66987529865645e-12,0.0849570057527384,0.32,1.4,"(1.07-1.76)","6.24","0.0125",6.24,0.0125,"KMT2E-AS1"
"ENSG00000239911.2",-1.39168617910258,8.19131267738196e-25,0.802560713275197,0.072,1.1,"(0.955-1.21)","1.44","0.23",1.44,0.23,"PRKAG2-AS1"
"ENSG00000240731.1",-1.62157525800402,1.59230491670178e-41,0.00910119370295455,0.19,1.2,"(0.965-1.53)","2.74","0.0981",2.74,0.0981,"RP5-890O3.9"
"ENSG00000241388.4",4.18828512769101,6.54008737821439e-34,0.765450131834243,-0.015,0.99,"(0.816-1.19)","0.02","0.877",0.02,0.877,"HNF1A-AS1"
"ENSG00000241764.3",0.578042578163318,9.3819710006915e-10,0.366011385004942,0.28,1.3,"(0.955-1.82)","2.82","0.0931",2.82,0.0931,"AC002467.7"
"ENSG00000242125.3",0.309100866296893,0.00561278079284275,0.808613416173002,-0.032,0.97,"(0.751-1.25)","0.06","0.808",0.06,0.808,"SNHG3"
"ENSG00000242207.1",4.77974798062013,2.64678047886694e-40,0.18246532761967,-0.012,0.99,"(0.893-1.09)","0.05","0.821",0.05,0.821,"HOXB-AS4"
"ENSG00000242516.1",0.642146143605623,0.000738123175089932,0.362539861846951,0.00076,1,"(0.928-1.08)","0","0.984",0,0.984,"LINC00960"
"ENSG00000242588.5",-0.782095973383958,8.52484282934414e-12,0.794886817479009,0.061,1.1,"(0.949-1.19)","1.12","0.291",1.12,0.291,"RP11-274B21.14"
"ENSG00000242861.1",-0.414414379233048,0.000313550305819164,0.411707973302984,0.1,1.1,"(0.908-1.35)","1.01","0.315",1.01,0.315,"RP11-285F7.2"
"ENSG00000243479.3",6.59542283697225,6.5661736714395e-91,0.75934241468964,0.12,1.1,"(0.906-1.39)","1.13","0.287",1.13,0.287,"MNX1-AS1"
"ENSG00000244459.2",0.0419526707973852,0.720130918254394,0.386068421890638,0.14,1.1,"(1-1.32)","3.83","0.0504",3.83,0.0504,"RP11-1398P2.1"
"ENSG00000244567.1",-0.954375506859203,6.75897656482175e-24,0.421575699830209,0.098,1.1,"(0.875-1.39)","0.69","0.405",0.69,0.405,"AC096772.6"
"ENSG00000244701.1",-1.08626874839364,2.82528834491837e-24,0.0942984644048866,0.069,1.1,"(0.867-1.32)","0.41","0.522",0.41,0.522,"RP5-894A10.2"
"ENSG00000245532.5",-2.1854403539479,1.61132644140943e-38,0.102226014550666,0.076,1.1,"(0.912-1.28)","0.78","0.378",0.78,0.378,"NEAT1"
"ENSG00000245556.2",0.0611086676278392,0.509659027126469,0.148925408489847,0.14,1.2,"(0.854-1.56)","0.87","0.351",0.87,0.351,"SCAMP1-AS1"
"ENSG00000245970.2",-0.54912637718272,8.88625127764667e-08,0.157669301550235,0.069,1.1,"(0.849-1.35)","0.34","0.559",0.34,0.559,"KB-1208A12.3"
"ENSG00000246089.3",0.832838231267354,8.2404704430863e-20,0.709456645945891,-0.071,0.93,"(0.696-1.25)","0.23","0.634",0.23,0.634,"RP11-115C21.2"
"ENSG00000246263.2",0.00578117990352012,0.952440190084902,0.548508574387512,-0.033,0.97,"(0.778-1.2)","0.09","0.764",0.09,0.764,"KB-431C1.4"
"ENSG00000246451.2",-1.73910403562318,1.46275604881594e-41,0.551265782110333,0.14,1.2,"(0.948-1.4)","2.02","0.155",2.02,0.155,"RP11-894P9.1"
"ENSG00000246582.2",2.86264628481792,5.97638010358551e-68,0.297922444925473,-0.14,0.87,"(0.657-1.15)","0.97","0.324",0.97,0.324,"RP11-1149O23.3"
"ENSG00000247095.2",0.12882964987187,0.352347567670692,0.00301387225966694,0.34,1.4,"(1.18-1.68)","13.9","0.000194",13.9,0.000194,"MIR210HG"
"ENSG00000247400.3",0.677870507178687,1.52592803716238e-13,0.483213340656467,-0.018,0.98,"(0.806-1.2)","0.03","0.86",0.03,0.86,"DNAJC3-AS1"
"ENSG00000247516.4",-0.958671553627345,3.21708762804976e-14,0.488893333361046,-0.071,0.93,"(0.832-1.04)","1.5","0.221",1.5,0.221,"MIR4458HG"
"ENSG00000247679.2",-0.78125105130225,6.85569467924721e-17,0.915647268398379,0.045,1,"(0.84-1.3)","0.16","0.685",0.16,0.685,"RP11-1277A3.1"
"ENSG00000247844.1",8.34765892754176,3.48676458104341e-169,0.756887424070732,0.0059,1,"(0.865-1.17)","0.01","0.94",0.01,0.94,"CCAT1"
"ENSG00000247903.1",0.350129986078928,0.000129318886501459,0.525727609773582,0.039,1,"(0.86-1.26)","0.16","0.688",0.16,0.688,"RP11-421F16.3"
"ENSG00000248008.2",1.15781337514144,8.9791704110701e-42,0.53230606135027,-0.16,0.86,"(0.539-1.36)","0.43","0.51",0.43,0.51,"DYNLL1-AS1"
"ENSG00000248275.1",-0.833970423316432,1.15343622796649e-15,0.612534858916318,0.016,1,"(0.723-1.43)","0.01","0.927",0.01,0.927,"TRIM52-AS1"
"ENSG00000248866.1",-0.0859426815124795,0.313314713418419,0.682083946985641,-0.049,0.95,"(0.779-1.16)","0.23","0.633",0.23,0.633,"USP46-AS1"
"ENSG00000249007.1",2.68615472119846,2.13938638561674e-16,0.538902942973538,0.056,1.1,"(0.912-1.23)","0.55","0.456",0.55,0.456,"RP11-510N19.5"
"ENSG00000249395.2",5.04669729115268,9.45106705663475e-53,0.397255946689467,0.1,1.1,"(1.01-1.22)","4.29","0.0384",4.29,0.0384,"CASC9"
"ENSG00000250222.1",-0.186877805400548,0.183146572591801,0.237499564412217,-0.13,0.88,"(0.767-1.01)","3.13","0.0769",3.13,0.0769,"CTC-338M12.5"
"ENSG00000250786.1",0.62389804859757,4.13765501638296e-07,0.507802390377926,-0.071,0.93,"(0.817-1.06)","1.12","0.29",1.12,0.29,"SNHG18"
"ENSG00000251169.2",3.74185836390857,5.39961227382799e-37,0.707003506377025,-0.054,0.95,"(0.785-1.14)","0.31","0.575",0.31,0.575,"AC005355.2"
"ENSG00000251580.1",-0.317105202857991,0.00627163247228317,0.616800691155293,-0.054,0.95,"(0.839-1.07)","0.75","0.387",0.75,0.387,"RP11-539L10.3"
"ENSG00000253187.2",0.00700927477504232,0.965867805002359,0.208149012075487,-0.044,0.96,"(0.868-1.05)","0.79","0.374",0.79,0.374,"HOXA10-AS"
"ENSG00000253210.1",-0.0446920700523856,0.665103087810677,0.815494705530367,-0.056,0.95,"(0.816-1.1)","0.55","0.459",0.55,0.459,"RP11-809O17.1"
"ENSG00000253414.2",5.41709129802907,6.43354541560391e-85,0.388204462829009,-0.1,0.9,"(0.816-1)","3.84","0.0502",3.84,0.0502,"RP11-150O12.6"
"ENSG00000253508.1",-0.729231296357749,0.000300454264117158,0.233082419634095,-0.048,0.95,"(0.884-1.03)","1.59","0.207",1.59,0.207,"RP1-170O19.14"
"ENSG00000253738.1",0.47236397488138,2.66362898100717e-07,0.654556472877234,-0.058,0.94,"(0.729-1.22)","0.19","0.659",0.19,0.659,"OTUD6B-AS1"
"ENSG00000253930.1",2.54600443783418,4.27893980793243e-58,0.00787853699762847,-0.075,0.93,"(0.824-1.04)","1.56","0.212",1.56,0.212,"RP11-1149O23.2"
"ENSG00000253948.1",-1.10360359533651,1.28078911796372e-18,0.430974566534754,0.035,1,"(0.901-1.19)","0.24","0.621",0.24,0.621,"RP11-410L14.2"
"ENSG00000253982.1",-0.50812213047928,7.76841217588695e-07,0.192252834705343,-0.16,0.85,"(0.619-1.16)","1.04","0.309",1.04,0.309,"CTD-2336O2.1"
"ENSG00000254290.1",4.95686377422209,1.85298475058109e-85,0.178960695208354,-0.092,0.91,"(0.812-1.02)","2.38","0.123",2.38,0.123,"RP11-150O12.3"
"ENSG00000254343.2",-0.799322655489416,1.10614634073259e-11,0.810695376197998,-0.015,0.99,"(0.849-1.14)","0.04","0.844",0.04,0.844,"RP11-760H22.2"
"ENSG00000254531.1",0.0419250178762693,0.683515441791689,0.298542970641157,0.11,1.1,"(0.897-1.4)","1","0.318",1,0.318,"FLJ20021"
