"ENSG_id","logFC","adj.P.Val","logrank.pvalue","beta","HR","CI","wald.test.test","HR.pvalue.pvalue","wald.test","HR.pvalue","Symbol"
"ENSG00000254614.2",0.827164723809154,4.52754437516617e-13,0.796091482457913,0.08,1.1,"(0.884-1.33)","0.6","0.44",0.6,0.44,"AP003068.23"
"ENSG00000254682.1",0.608453287247416,5.2906525929508e-08,0.288156611896092,-0.12,0.89,"(0.745-1.06)","1.83","0.177",1.83,0.177,"RP11-660L16.2"
"ENSG00000254837.2",0.770074011477873,1.4971236615012e-18,0.27044455628823,-0.18,0.84,"(0.647-1.08)","1.83","0.176",1.83,0.176,"AP001372.2"
"ENSG00000254910.1",-1.63086468679531,2.83380230815819e-20,0.16974136218525,0.13,1.1,"(0.997-1.3)","3.67","0.0554",3.67,0.0554,"RP11-326C3.7"
"ENSG00000254911.3",-0.934768510984999,1.71813303912002e-08,0.638785085060113,-0.0026,1,"(0.893-1.11)","0","0.963",0,0.963,"SCARNA9"
"ENSG00000255026.1",1.0586157133165,8.33325382416397e-08,0.0631612998031804,0.074,1.1,"(0.981-1.18)","2.41","0.12",2.41,0.12,"RP11-326C3.2"
"ENSG00000255135.3",0.31608657892121,0.00191587898755125,0.105941181396343,0.14,1.2,"(0.891-1.49)","1.18","0.277",1.18,0.277,"RP11-111M22.3"
"ENSG00000255153.1",-1.00587856737957,1.0322203067716e-23,0.232564139737367,0.16,1.2,"(0.921-1.49)","1.66","0.197",1.66,0.197,"TOLLIP-AS1"
"ENSG00000255198.4",-0.244659805571117,0.0291475501693392,0.330336046714436,0.039,1,"(0.867-1.25)","0.18","0.673",0.18,0.673,"SNHG9"
"ENSG00000255224.1",0.395814360127492,6.47259157450536e-06,0.396403093145113,-0.0097,0.99,"(0.771-1.27)","0.01","0.94",0.01,0.94,"CTD-3065J16.9"
"ENSG00000255284.1",-1.1133883869016,1.12146067962573e-21,0.08885962098574,0.41,1.5,"(1.19-1.92)","11.2","8e-04",11.2,8e-04,"AP006621.5"
"ENSG00000255455.2",-1.61907134188625,1.11809122294841e-53,0.625629666065359,0.03,1,"(0.823-1.29)","0.07","0.794",0.07,0.794,"RP11-890B15.3"
"ENSG00000255474.1",2.39477751496641,3.76947654968557e-25,0.789133529490331,0.007,1,"(0.896-1.13)","0.01","0.907",0.01,0.907,"RP11-234B24.2"
"ENSG00000255737.2",1.04737716675761,1.55891378436463e-25,0.141807638939484,0.13,1.1,"(0.919-1.4)","1.36","0.243",1.36,0.243,"AGAP2-AS1"
"ENSG00000255774.1",4.4774346002057,1.46859250408459e-32,0.363294891426712,-0.033,0.97,"(0.861-1.09)","0.31","0.575",0.31,0.575,"AP000439.3"
"ENSG00000256073.3",0.0327530405206744,0.735012262077221,0.869243734192081,0.22,1.2,"(0.947-1.64)","2.48","0.116",2.48,0.116,"URB1-AS1"
"ENSG00000256262.1",1.83669484692287,4.38660339426733e-18,0.610900454629136,-0.11,0.89,"(0.775-1.03)","2.52","0.112",2.52,0.112,"USP30-AS1"
"ENSG00000256546.1",-0.94815131302112,2.05267875594313e-09,0.0351361325762712,0.2,1.2,"(1.08-1.39)","10","0.00153",10,0.00153,"AC156455.1"
"ENSG00000256643.1",2.56273818432734,7.34106639970802e-10,0.380270698904773,-0.0021,1,"(0.943-1.06)","0.01","0.943",0.01,0.943,"RP11-349K16.1"
"ENSG00000256806.3",0.734374843860693,2.97455142666586e-17,0.695731236896696,0.12,1.1,"(0.873-1.47)","0.87","0.35",0.87,0.35,"C17orf100"
"ENSG00000256940.1",4.23123844177462,4.02594407301728e-56,0.122231971172971,0.091,1.1,"(0.903-1.33)","0.86","0.354",0.86,0.354,"RP11-783K16.5"
"ENSG00000257084.1",4.94608277428171,6.91788875342003e-40,0.93342951304889,0.18,1.2,"(0.962-1.48)","2.6","0.107",2.6,0.107,"U47924.27"
"ENSG00000257086.1",-0.114739524236906,0.241537636610209,0.913928680658985,0.22,1.2,"(0.969-1.6)","2.93","0.0868",2.93,0.0868,"RP11-783K16.13"
"ENSG00000257270.1",0.167417113563125,0.593323662024289,0.649356428002149,0.12,1.1,"(0.986-1.29)","3.08","0.0794",3.08,0.0794,"RP11-521B24.5"
"ENSG00000257303.1",-0.811936423825413,1.42020702835669e-13,0.539098838011083,-0.086,0.92,"(0.777-1.08)","1.01","0.315",1.01,0.315,"RP11-977G19.11"
"ENSG00000257556.1",0.653101788832431,5.76480912238426e-09,0.45597383747707,0.00025,1,"(0.859-1.16)","0","0.997",0,0.997,"RP11-44N21.1"
"ENSG00000257702.3",1.07210873691771,1.82524177016105e-24,0.00724209905800993,0.32,1.4,"(1.02-1.88)","4.29","0.0383",4.29,0.0383,"LBX2-AS1"
"ENSG00000258056.2",-0.327297485398706,0.000742963782052766,0.0410685087626419,0.48,1.6,"(1.14-2.29)","7.31","0.00686",7.31,0.00686,"RP11-644F5.11"
"ENSG00000258122.1",3.10767350988093,2.26665163250304e-21,0.025809049772363,0.03,1,"(0.941-1.13)","0.42","0.515",0.42,0.515,"RP11-61A14.1"
"ENSG00000258199.1",-0.56892155403509,1.28862831956512e-07,0.553062413051485,0.16,1.2,"(0.895-1.53)","1.33","0.249",1.33,0.249,"RP11-977G19.5"
"ENSG00000258297.1",-1.3144250373633,7.44917087989953e-31,0.526277676727284,0.073,1.1,"(0.841-1.37)","0.34","0.562",0.34,0.562,"RP11-658F2.8"
"ENSG00000258424.1",-3.33473489517329,1.17773528190331e-46,0.770461389995376,0.03,1,"(0.95-1.12)","0.52","0.471",0.52,0.471,"RP11-471B22.2"
"ENSG00000258474.1",5.23746081148617,6.10524213071097e-58,0.254105875415265,-0.059,0.94,"(0.822-1.08)","0.73","0.393",0.73,0.393,"RP11-187E13.1"
"ENSG00000258634.3",-0.629699518200016,1.73465747146442e-12,0.325369265669397,0.18,1.2,"(0.911-1.58)","1.69","0.194",1.69,0.194,"RP4-773N10.4"
"ENSG00000258655.2",0.0893678083605414,0.309796178330073,0.702615097557905,0.094,1.1,"(0.87-1.39)","0.63","0.429",0.63,0.429,"ARHGAP5-AS1"
"ENSG00000258837.1",0.927388603410276,0.00141495283628403,0.23951117050059,0.043,1,"(0.976-1.12)","1.56","0.211",1.56,0.211,"CTD-2566J3.1"
"ENSG00000258920.1",-0.139824915903735,0.123827967948706,0.714621027479931,0.15,1.2,"(0.904-1.48)","1.33","0.249",1.33,0.249,"FOXN3-AS1"
"ENSG00000259065.1",-1.02949131658669,4.07555691881316e-16,0.00415462842260693,0.26,1.3,"(1.09-1.54)","8.86","0.00292",8.86,0.00292,"RP5-1021I20.1"
"ENSG00000259153.1",4.24590912321318,3.46991852834746e-57,0.505979929321916,0.11,1.1,"(0.911-1.37)","1.14","0.287",1.14,0.287,"RP6-65G23.3"
"ENSG00000259250.1",-0.202571107566708,0.0324789615667361,0.104571069158395,0.13,1.1,"(0.938-1.37)","1.69","0.193",1.69,0.193,"RP11-50C13.1"
"ENSG00000259291.2",-1.43203155048965,4.32035865565172e-32,0.67205182354761,0.02,1,"(0.816-1.27)","0.03","0.861",0.03,0.861,"RP11-617F23.1"
"ENSG00000259330.1",-1.85515898006643,5.43026551459789e-44,0.184703926315967,0.15,1.2,"(0.89-1.5)","1.18","0.276",1.18,0.276,"INAFM2"
"ENSG00000259342.1",2.00879491000857,1.79504516376796e-09,0.90122125678172,-0.0011,1,"(0.91-1.1)","0","0.981",0,0.981,"RP11-519G16.5"
"ENSG00000259366.1",-0.783495461257511,4.07703711875603e-14,0.487879867471355,-0.0044,1,"(0.87-1.14)","0","0.949",0,0.949,"CTD-2647L4.4"
"ENSG00000259456.3",-0.0348902583079417,0.723241825021001,0.185859264422413,0.092,1.1,"(0.894-1.34)","0.78","0.377",0.78,0.377,"ADNP-AS1"
"ENSG00000259623.1",0.47794680345506,1.30688428719002e-08,0.391394420409289,-0.15,0.86,"(0.661-1.11)","1.31","0.252",1.31,0.252,"RP11-156E6.1"
"ENSG00000259704.1",3.58405588139347,3.60044479214722e-31,0.349188334160291,-0.073,0.93,"(0.843-1.02)","2.16","0.141",2.16,0.141,"CTD-3094K11.1"
"ENSG00000259865.1",-0.427709557553945,8.49841612384059e-05,0.50657149181852,0.028,1,"(0.904-1.17)","0.18","0.669",0.18,0.669,"RP11-488L18.10"
"ENSG00000259877.2",-0.912455979592096,3.59258062550756e-21,0.713580287289028,-0.12,0.89,"(0.724-1.1)","1.2","0.274",1.2,0.274,"RP11-46C24.7"
"ENSG00000259943.1",-0.44651270137199,2.38364706519311e-06,0.641829573685774,0.044,1,"(0.807-1.35)","0.11","0.737",0.11,0.737,"RP1-39G22.7"
"ENSG00000259953.1",1.41935515468312,7.93072255133893e-35,0.0646984836270615,0.27,1.3,"(0.992-1.73)","3.61","0.0573",3.61,0.0573,"RP11-4O1.2"
"ENSG00000259972.2",-1.25541149986873,1.29985913643376e-26,0.777515795443418,0.16,1.2,"(0.947-1.45)","2.12","0.145",2.12,0.145,"AC009120.6"
"ENSG00000259974.2",3.04529047103089,2.03158543580678e-25,0.0634864742602628,-0.091,0.91,"(0.835-0.999)","3.94","0.0472",3.94,0.0472,"LINC00261"
"ENSG00000259976.1",-1.67433909517685,2.23268600802547e-40,0.252851105245957,0.087,1.1,"(0.895-1.33)","0.74","0.389",0.74,0.389,"RP11-553L6.5"
"ENSG00000260018.1",-0.0172927472280199,0.878785103189491,0.642826613119004,0.035,1,"(0.877-1.22)","0.17","0.679",0.17,0.679,"RP11-505K9.1"
"ENSG00000260025.1",-1.87384748229207,5.0657330146149e-57,0.965204773059012,-0.023,0.98,"(0.83-1.15)","0.07","0.786",0.07,0.786,"RP11-490M8.1"
"ENSG00000260032.1",1.12374795849665,1.72626882561606e-24,0.534550857672322,-0.12,0.88,"(0.665-1.17)","0.74","0.391",0.74,0.391,"LINC00657"
"ENSG00000260114.2",0.0788111865727594,0.395319842576974,0.744996215208714,0.11,1.1,"(0.866-1.45)","0.75","0.386",0.75,0.386,"CTD-2574D22.4"
"ENSG00000260121.1",-1.91476734540843,3.36584629389917e-48,0.503033434235382,0.16,1.2,"(0.958-1.44)","2.39","0.123",2.39,0.123,"RP5-1142A6.9"
"ENSG00000260196.1",1.52786461279825,2.76405848345966e-40,0.701673275680721,0.016,1,"(0.816-1.27)","0.02","0.887",0.02,0.887,"RP1-239B22.5"
"ENSG00000260219.2",1.33951166544853,3.67282334006069e-37,0.29234822293832,0.15,1.2,"(0.896-1.5)","1.27","0.261",1.27,0.261,"RP11-347C12.10"
"ENSG00000260231.1",1.68194742349159,8.56354049709083e-39,0.863724632419887,-0.023,0.98,"(0.766-1.25)","0.03","0.856",0.03,0.856,"JHDM1D-AS1"
"ENSG00000260244.1",-1.82428403143373,1.49156283680133e-28,0.691177621451278,-0.0046,1,"(0.879-1.13)","0.01","0.942",0.01,0.942,"RP11-588K22.2"
"ENSG00000260257.2",-0.672257199034927,4.29597206709964e-10,0.409397680897304,0.11,1.1,"(0.894-1.39)","0.92","0.337",0.92,0.337,"RP5-1085F17.3"
"ENSG00000260260.1",-0.3586969337836,0.0032458824440944,0.436360144807618,-0.0056,0.99,"(0.807-1.23)","0","0.958",0,0.958,"SNHG19"
"ENSG00000260265.1",4.71809674494628,8.54039322199728e-46,0.782886860457781,0.0056,1,"(0.86-1.18)","0","0.944",0,0.944,"RP11-44F21.5"
"ENSG00000260267.1",0.449937809639889,3.85390342762895e-08,0.341959011358503,0.23,1.3,"(0.919-1.71)","2.04","0.153",2.04,0.153,"RP11-452L6.5"
"ENSG00000260401.1",1.40811956688362,4.44962715042593e-17,0.650954549277147,0.059,1.1,"(0.875-1.29)","0.36","0.546",0.36,0.546,"RP11-800A3.4"
"ENSG00000260418.1",2.0297429747455,4.54899308604231e-25,0.112796699129759,-0.024,0.98,"(0.814-1.17)","0.07","0.797",0.07,0.797,"RP3-406A7.7"
"ENSG00000260552.1",0.869721233361769,3.33705568330797e-12,0.0551765983391892,0.12,1.1,"(0.945-1.34)","1.75","0.186",1.75,0.186,"RP11-49I11.1"
"ENSG00000260563.3",-1.51676779195023,3.40273805827984e-37,0.467882225281244,0.28,1.3,"(1.05-1.67)","5.78","0.0162",5.78,0.0162,"RP13-516M14.1"
"ENSG00000260704.1",3.9295261201937,3.69410923241345e-38,0.338362841128707,0.093,1.1,"(0.907-1.33)","0.92","0.338",0.92,0.338,"LINC00543"
"ENSG00000260708.1",-0.134015522512641,0.202783967394037,0.897091183437568,0.1,1.1,"(0.869-1.41)","0.68","0.411",0.68,0.411,"CTA-29F11.1"
"ENSG00000260766.1",0.0969334471407162,0.268711929862075,0.313457024556138,-0.011,0.99,"(0.76-1.29)","0.01","0.934",0.01,0.934,"RP11-226L15.5"
"ENSG00000260804.3",-0.303262711664539,0.000783104355924608,0.820599917175498,-0.13,0.87,"(0.695-1.1)","1.31","0.253",1.31,0.253,"PKI55"
"ENSG00000260822.1",-0.332939446317917,0.00130370804997031,0.0586458496993148,-0.16,0.85,"(0.659-1.09)","1.59","0.207",1.59,0.207,"GS1-358P8.4"
"ENSG00000260853.1",-0.254404606896675,0.0387467443362301,0.241559798328802,0.1,1.1,"(0.926-1.32)","1.24","0.266",1.24,0.266,"RP11-264B17.2"
"ENSG00000260912.1",0.29125851749485,0.00399997412061765,0.191260411336751,0.13,1.1,"(0.942-1.37)","1.79","0.181",1.79,0.181,"RP11-363E7.4"
"ENSG00000260917.1",-1.08224731985039,1.48742598292391e-30,0.221377241184301,0.0078,1,"(0.793-1.28)","0","0.949",0,0.949,"RP11-57H14.4"
"ENSG00000261061.1",2.37653711700796,5.17693747529238e-107,0.695348353398729,-0.043,0.96,"(0.722-1.27)","0.09","0.769",0.09,0.769,"RP11-303E16.2"
"ENSG00000261087.1",-1.32383876479556,1.57219135442859e-29,0.40949464672971,0.079,1.1,"(0.877-1.33)","0.55","0.46",0.55,0.46,"KB-1460A1.5"
"ENSG00000261116.1",4.24486455548224,2.46832562924584e-45,0.672899060713371,0.081,1.1,"(0.856-1.37)","0.45","0.5",0.45,0.5,"RP3-523K23.2"
"ENSG00000261123.1",1.89073130494334,1.91371745666555e-63,0.681911847200008,-0.074,0.93,"(0.731-1.18)","0.36","0.548",0.36,0.548,"RP11-304L19.3"
"ENSG00000261188.1",0.286378792772627,0.000941181306182239,0.792081850843816,-0.049,0.95,"(0.755-1.2)","0.17","0.677",0.17,0.677,"CTA-445C9.14"
"ENSG00000261295.1",-0.198712449229563,0.204136659394966,0.522790749402009,-0.016,0.98,"(0.891-1.09)","0.11","0.744",0.11,0.744,"RP11-524D16__A.3"
"ENSG00000261353.1",-0.849632481299232,2.04815232616273e-08,0.766769486212922,-0.027,0.97,"(0.889-1.07)","0.34","0.563",0.34,0.563,"CTA-14H9.5"
"ENSG00000261373.1",3.29736658181686,2.56283100835428e-108,0.178000621891386,0.14,1.1,"(0.944-1.39)","1.89","0.169",1.89,0.169,"VPS9D1-AS1"
"ENSG00000261437.1",4.24422161781,1.57115368779909e-44,0.838266986992782,0.049,1.1,"(0.853-1.29)","0.22","0.642",0.22,0.642,"RP11-22C11.2"
"ENSG00000261455.1",0.260050843789387,0.00597687857381531,0.167096473147523,0.19,1.2,"(0.964-1.52)","2.72","0.0994",2.72,0.0994,"LINC01003"
"ENSG00000261512.2",0.904594603024546,3.88646426241554e-15,0.778035865061795,0.1,1.1,"(0.916-1.34)","1.1","0.293",1.1,0.293,"RP11-46D6.1"
"ENSG00000261526.2",-0.665562621825576,4.14737536397709e-11,0.58712295143078,0.1,1.1,"(0.873-1.4)","0.7","0.403",0.7,0.403,"CTB-31O20.2"
"ENSG00000261572.1",2.20370101598127,1.66019164045925e-67,0.484621565665046,-0.012,0.99,"(0.751-1.3)","0.01","0.931",0.01,0.931,"RP11-384L8.1"
"ENSG00000261643.1",-0.53332346372538,3.87662761891331e-09,0.215568826593653,0.14,1.1,"(0.925-1.43)","1.57","0.209",1.57,0.209,"RP11-529E10.6"
"ENSG00000261685.2",-0.480690988977547,0.00269376254877419,0.772896875625498,0.029,1,"(0.931-1.14)","0.32","0.573",0.32,0.573,"RP11-401P9.4"
"ENSG00000261716.1",-0.623024823824665,8.00564726055784e-10,0.232208703583642,0.31,1.4,"(1.08-1.72)","6.75","0.00937",6.75,0.00937,"RP11-196G18.22"
"ENSG00000261799.1",-0.362952003459721,2.09128392782417e-05,0.466371495556341,-0.086,0.92,"(0.71-1.18)","0.44","0.507",0.44,0.507,"RP11-283I3.6"
"ENSG00000261804.1",5.57045227761277,1.47229578052256e-64,0.462848313147092,-0.027,0.97,"(0.895-1.06)","0.41","0.523",0.41,0.523,"RP11-44F14.2"
"ENSG00000262001.1",1.27649889537951,2.36882509035277e-34,0.603348626617381,-0.041,0.96,"(0.783-1.18)","0.15","0.696",0.15,0.696,"DLGAP1-AS2"
"ENSG00000262049.1",-0.964774139795199,3.21644636891102e-23,0.462048335089218,0.2,1.2,"(0.928-1.61)","2.05","0.152",2.05,0.152,"RP13-1032I1.7"
"ENSG00000262050.1",-0.732795494498516,1.8138769586182e-08,0.0328708969909275,0.075,1.1,"(0.927-1.25)","0.96","0.328",0.96,0.328,"RP11-74E22.3"
"ENSG00000262089.1",-1.54043896866827,3.40094299960221e-31,0.00201000486998401,0.13,1.1,"(0.908-1.42)","1.25","0.263",1.25,0.263,"RP11-589P10.5"
"ENSG00000262251.1",0.243790410184181,0.0220147155249456,0.0177986903661355,0.34,1.4,"(1.11-1.77)","7.95","0.00481",7.95,0.00481,"RP11-199F11.2"
"ENSG00000262823.1",3.36549203717851,2.52023975045528e-33,0.916411125275154,-0.0059,0.99,"(0.838-1.18)","0","0.946",0,0.946,"RP13-580F15.2"
"ENSG00000263004.1",-0.0488572251712833,0.647343398641279,0.249608507009381,-0.041,0.96,"(0.783-1.18)","0.16","0.689",0.16,0.689,"RP11-166P13.3"
"ENSG00000263272.1",-1.32441907930801,5.07744714679621e-31,0.00095914187511149,0.27,1.3,"(1.05-1.64)","5.5","0.019",5.5,0.019,"CTC-524C5.2"
"ENSG00000263335.1",-0.775252873010713,1.63864173427346e-12,0.700709980835614,-0.023,0.98,"(0.826-1.16)","0.07","0.787",0.07,0.787,"AF001548.5"
"ENSG00000263429.3",2.60317613544242,2.09936071502714e-18,0.824039750086319,-0.032,0.97,"(0.873-1.07)","0.37","0.542",0.37,0.542,"LINC00675"
"ENSG00000263470.1",-0.885950998182628,3.69248064220588e-18,0.917878409591253,0.049,1.1,"(0.841-1.31)","0.19","0.665",0.19,0.665,"RP11-160O5.1"
"ENSG00000263731.1",1.16085450106088,6.95397133569818e-36,0.565518921612706,-0.043,0.96,"(0.734-1.25)","0.1","0.754",0.1,0.754,"RP11-498C9.15"
"ENSG00000264112.1",-1.18933489743167,2.20781818865266e-21,0.834696686092703,0.018,1,"(0.863-1.2)","0.04","0.834",0.04,0.834,"RP11-159D12.2"
"ENSG00000264247.1",-0.262249214113982,0.0029164854633589,0.850721485828295,-0.097,0.91,"(0.639-1.29)","0.3","0.585",0.3,0.585,"LINC00909"
"ENSG00000264575.1",-0.0468153600671816,0.711301203975997,0.902962778345093,0.004,1,"(0.879-1.15)","0","0.953",0,0.953,"LINC00526"
"ENSG00000264577.1",0.0373604007869469,0.726514982399046,0.364707922565201,0.12,1.1,"(0.892-1.43)","1.02","0.312",1.02,0.312,"AC010761.8"
"ENSG00000265415.1",7.22959590817969,2.4883275894314e-105,0.0352112256445634,-0.17,0.84,"(0.669-1.06)","2.18","0.14",2.18,0.14,"CTD-2510F5.4"
"ENSG00000265519.1",-2.34892947249468,4.17264973319919e-30,0.987083249317603,-0.0092,0.99,"(0.91-1.08)","0.04","0.833",0.04,0.833,"CTD-3157E16.1"
"ENSG00000265666.1",-0.53913013705752,2.71763578915706e-10,0.413270898036845,0.17,1.2,"(0.929-1.51)","1.87","0.172",1.87,0.172,"RARA-AS1"
"ENSG00000265688.1",2.99909065824062,3.24013139122217e-144,0.966555595618079,0.0055,1,"(0.791-1.28)","0","0.964",0,0.964,"MAFG-AS1"
"ENSG00000266010.1",0.104119982256562,0.513753937177628,0.0868515586074569,0.081,1.1,"(0.906-1.3)","0.78","0.376",0.78,0.376,"GATA6-AS1"
"ENSG00000266036.1",2.51160340007712,6.65291481681811e-27,0.97819491252144,0.058,1.1,"(0.927-1.21)","0.72","0.396",0.72,0.396,"RP11-452I5.2"
"ENSG00000266208.1",0.354580098826933,0.000210540396475103,0.675631326249563,0.22,1.2,"(0.964-1.6)","2.82","0.093",2.82,0.093,"CTD-2267D19.3"
"ENSG00000266402.3",1.01809089156518,6.56430798087369e-06,0.470391578508352,-0.025,0.97,"(0.889-1.07)","0.29","0.588",0.29,0.588,"RP11-329L6.2"
"ENSG00000266469.1",0.643861969980255,2.96821536920189e-13,0.117287615490837,0.083,1.1,"(0.82-1.44)","0.33","0.565",0.33,0.565,"CTB-131K11.1"
"ENSG00000266490.1",-0.482820854972013,9.43518223064849e-06,0.877537269636518,0.075,1.1,"(0.95-1.22)","1.35","0.244",1.35,0.244,"CTD-2349P21.9"
"ENSG00000266962.2",0.438673497127623,6.04306523889372e-07,0.784395933706051,0.19,1.2,"(0.862-1.69)","1.2","0.273",1.2,0.273,"RP11-400F19.6"
"ENSG00000267002.1",-0.401114543134964,2.53531124077335e-05,0.503997741640262,0.14,1.1,"(0.887-1.48)","1.08","0.299",1.08,0.299,"RP11-242D8.1"
"ENSG00000267049.1",0.313793775395818,0.0819662708445979,0.759871004242287,0.00082,1,"(0.877-1.14)","0","0.99",0,0.99,"AC002398.13"
"ENSG00000267082.1",-2.68244748340505,1.30121272433898e-54,0.123217484832569,0.12,1.1,"(0.963-1.31)","2.19","0.139",2.19,0.139,"CTC-510F12.2"
"ENSG00000267100.1",-0.311709342709965,0.00166587336781726,0.780352035513806,0.18,1.2,"(0.895-1.61)","1.49","0.223",1.49,0.223,"ILF3-AS1"
"ENSG00000267152.1",-0.572232410307759,5.9982340734276e-09,0.179023940888478,0.041,1,"(0.878-1.24)","0.22","0.639",0.22,0.639,"CTD-2528L19.6"
"ENSG00000267194.1",0.40597523414657,0.00233135000462624,0.404769298385352,-0.15,0.86,"(0.73-1.01)","3.6","0.0577",3.6,0.0577,"RP1-193H18.2"
"ENSG00000267296.2",1.07655957850973,1.26557670075248e-19,0.101537334875744,-0.1,0.9,"(0.729-1.12)","0.86","0.355",0.86,0.355,"CEBPA-AS1"
"ENSG00000267317.2",0.0140626991116073,0.88781755096206,0.00613203062665578,0.49,1.6,"(1.21-2.19)","10.6","0.00116",10.6,0.00116,"CTB-25B13.12"
"ENSG00000267321.1",0.401718473129498,2.02587161306438e-05,0.645117849287877,0.033,1,"(0.801-1.33)","0.06","0.801",0.06,0.801,"RP11-1094M14.11"
"ENSG00000267344.1",0.263628686062469,0.107288627507092,0.0321624081254401,0.21,1.2,"(1.01-1.49)","4.41","0.0357",4.41,0.0357,"CTB-39G8.3"
"ENSG00000267480.1",-0.336892417288197,0.00165594028936294,0.474571780193234,-0.14,0.87,"(0.751-1)","3.75","0.0527",3.75,0.0527,"RP11-703I16.1"
"ENSG00000267481.1",-0.401436746338323,1.15616697311139e-05,0.517317477003071,0.0017,1,"(0.845-1.19)","0","0.984",0,0.984,"CTC-559E9.5"
"ENSG00000267519.3",-0.021589687336617,0.868331160570959,0.183708240753544,0.13,1.1,"(0.934-1.4)","1.68","0.195",1.68,0.195,"CTD-3252C9.4"
"ENSG00000267523.1",-1.39656806245094,3.44975133193545e-23,0.0486810291556694,0.18,1.2,"(1.02-1.41)","4.87","0.0273",4.87,0.0273,"CTD-2537I9.12"
"ENSG00000267896.1",-1.29872172213506,9.50013663294015e-30,0.0748594734057473,0.15,1.2,"(0.981-1.37)","3.02","0.0824",3.02,0.0824,"AC018766.4"
"ENSG00000268001.1",0.286091960489232,0.00116711150968499,0.442390304487063,-0.17,0.84,"(0.669-1.05)","2.29","0.13",2.29,0.13,"CARD8-AS1"
"ENSG00000268006.1",-0.32656303077624,0.000201940847311857,0.864245341294862,0.033,1,"(0.675-1.58)","0.02","0.88",0.02,0.88,"PTOV1-AS1"
"ENSG00000268087.1",-1.59310307468776,3.47879257327544e-38,0.28488234486922,-0.037,0.96,"(0.805-1.15)","0.16","0.692",0.16,0.692,"CTC-429P9.2"
"ENSG00000268205.1",-0.044241336849709,0.66620643470265,0.15843362304796,0.099,1.1,"(0.842-1.45)","0.52","0.473",0.52,0.473,"CTC-444N24.11"
"ENSG00000268471.4",-0.483594110568108,1.77469989996294e-07,0.92425033127626,0.086,1.1,"(0.835-1.42)","0.4","0.525",0.4,0.525,"DKFZP434I0714"
"ENSG00000268516.2",0.201263913356905,0.018383717588954,0.867753379333905,-0.051,0.95,"(0.715-1.26)","0.12","0.728",0.12,0.728,"CTD-3138B18.5"
"ENSG00000268713.1",-0.337531142078635,0.000198957518203965,0.0664428631350294,0.24,1.3,"(0.953-1.69)","2.66","0.103",2.66,0.103,"CTC-444N24.8"
"ENSG00000268858.2",0.740911190215819,1.10234149283357e-16,0.0359878909143602,0.22,1.2,"(0.948-1.64)","2.49","0.115",2.49,0.115,"RP4-591C20.9"
"ENSG00000269044.2",-1.29276458018717,1.09539881486585e-37,0.324948184154902,0.11,1.1,"(0.813-1.53)","0.45","0.504",0.45,0.504,"CTC-429P9.3"
"ENSG00000269176.2",-0.354613048508447,2.37032226599427e-05,0.914310413737965,-0.038,0.96,"(0.745-1.24)","0.09","0.77",0.09,0.77,"RP11-727F15.12"
"ENSG00000269186.1",-2.93356691347661,9.31404056325645e-41,0.704039477098258,-0.029,0.97,"(0.911-1.04)","0.81","0.368",0.81,0.368,"LINC01082"
"ENSG00000269293.2",-1.2710617822391,7.02843418924529e-32,0.350479496745655,0.14,1.2,"(0.878-1.51)","1.04","0.307",1.04,0.307,"ZSCAN16-AS1"
"ENSG00000269352.1",-1.53648290516947,1.25931166124428e-32,0.118272427256242,0.22,1.3,"(0.996-1.57)","3.71","0.0541",3.71,0.0541,"PTOV1-AS2"
"ENSG00000269680.1",-0.504959580942425,6.85856552174122e-06,0.0587955651726129,0.32,1.4,"(1.09-1.74)","7.2","0.00728",7.2,0.00728,"CTD-3128G10.6"
