"ENSG_id","beta","HR","CI","wald.test.test","HR.pvalue.pvalue","wald.test","HR.pvalue","Symbol"
"ENSG00000269416.4",-0.00053,1,"(0.867-1.15)","0","0.994",0,0.994,"LINC01224"
"ENSG00000275479.1",0.039,1,"(0.957-1.13)","0.85","0.357",0.85,0.357,"RP11-334C17.6"
"ENSG00000273055.1",0.14,1.1,"(0.972-1.36)","2.66","0.103",2.66,0.103,"CTB-13F3.1"
"ENSG00000269680.1",0.32,1.4,"(1.09-1.74)","7.2","0.00728",7.2,0.00728,"CTD-3128G10.6"
"ENSG00000271824.1",0.014,1,"(0.946-1.09)","0.16","0.691",0.16,0.691,"AC009014.3"
"ENSG00000237424.1",0.054,1.1,"(0.852-1.31)","0.24","0.622",0.24,0.622,"FOXD2-AS1"
"ENSG00000226824.5",0.2,1.2,"(0.979-1.53)","3.15","0.076",3.15,0.076,"RP4-756H11.3"
"ENSG00000255153.1",0.16,1.2,"(0.921-1.49)","1.66","0.197",1.66,0.197,"TOLLIP-AS1"
"ENSG00000261663.1",0.057,1.1,"(0.871-1.29)","0.33","0.566",0.33,0.566,"RP11-304L19.11"
"ENSG00000255774.1",-0.033,0.97,"(0.861-1.09)","0.31","0.575",0.31,0.575,"AP000439.3"
"ENSG00000239911.2",0.072,1.1,"(0.955-1.21)","1.44","0.23",1.44,0.23,"PRKAG2-AS1"
"ENSG00000272079.2",-0.042,0.96,"(0.826-1.11)","0.3","0.585",0.3,0.585,"LA16c-380H5.5"
"ENSG00000224870.5",0.019,1,"(0.708-1.47)","0.01","0.918",0.01,0.918,"RP4-758J18.2"
"ENSG00000270015.1",0.32,1.4,"(1.04-1.81)","5.08","0.0242",5.08,0.0242,"RP11-540B6.6"
"ENSG00000227719.1",0.13,1.1,"(0.961-1.35)","2.24","0.135",2.24,0.135,"AC006042.6"
"ENSG00000272335.1",0.056,1.1,"(0.837-1.34)","0.22","0.638",0.22,0.638,"RP11-53O19.3"
"ENSG00000256073.3",0.22,1.2,"(0.947-1.64)","2.48","0.116",2.48,0.116,"URB1-AS1"
"ENSG00000249042.4",-0.056,0.95,"(0.711-1.26)","0.15","0.702",0.15,0.702,"CTD-2015H6.3"
"ENSG00000245910.7",0.0099,1,"(0.764-1.34)","0","0.945",0,0.945,"SNHG6"
"ENSG00000215190.7",0.24,1.3,"(0.947-1.71)","2.57","0.109",2.57,0.109,"LINC00680"
"ENSG00000235280.2",0.13,1.1,"(0.949-1.36)","1.92","0.166",1.92,0.166,"MCF2L-AS1"
"ENSG00000273366.1",-0.069,0.93,"(0.781-1.12)","0.58","0.447",0.58,0.447,"CTA-989H11.1"
"ENSG00000273151.1",0.2,1.2,"(1.03-1.46)","5.25","0.022",5.25,0.022,"RP11-449P15.2"
"ENSG00000254166.1",0.012,1,"(0.88-1.16)","0.03","0.865",0.03,0.865,"CASC19"
"ENSG00000279207.1",-0.068,0.93,"(0.725-1.2)","0.27","0.601",0.27,0.601,"RP11-159D12.8"
"ENSG00000117242.7",-0.26,0.77,"(0.581-1.03)","3.16","0.0755",3.16,0.0755,"PINK1-AS"
"ENSG00000263335.1",-0.023,0.98,"(0.826-1.16)","0.07","0.787",0.07,0.787,"AF001548.5"
"ENSG00000272667.1",0.29,1.3,"(1-1.79)","3.97","0.0464",3.97,0.0464,"RP11-395A13.2"
"ENSG00000274213.1",0.016,1,"(0.874-1.18)","0.04","0.837",0.04,0.837,"RP11-670E13.6"
"ENSG00000237883.1",0.049,1.1,"(0.868-1.27)","0.25","0.614",0.25,0.614,"DGUOK-AS1"
"ENSG00000234072.1",0.19,1.2,"(0.92-1.58)","1.83","0.176",1.83,0.176,"AC074117.10"
"ENSG00000253716.4",0.14,1.2,"(0.917-1.44)","1.47","0.225",1.47,0.225,"RP13-582O9.5"
"ENSG00000272189.1",-0.096,0.91,"(0.707-1.17)","0.56","0.453",0.56,0.453,"RP3-325F22.5"
"ENSG00000238058.1",0.021,1,"(0.89-1.17)","0.09","0.761",0.09,0.761,"RP11-432J22.2"
"ENSG00000224152.1",-0.017,0.98,"(0.719-1.34)","0.01","0.916",0.01,0.916,"AC009506.1"
"ENSG00000267493.3",0.11,1.1,"(0.904-1.39)","1.07","0.3",1.07,0.3,"CIRBP-AS1"
"ENSG00000197180.2",0.089,1.1,"(0.861-1.39)","0.53","0.467",0.53,0.467,"CH17-340M24.3"
"ENSG00000254635.4",0.064,1.1,"(0.778-1.46)","0.16","0.691",0.16,0.691,"WAC-AS1"
"ENSG00000230061.2",-0.0088,0.99,"(0.92-1.07)","0.05","0.816",0.05,0.816,"TRPM2-AS"
"ENSG00000269640.4",0.094,1.1,"(0.937-1.29)","1.34","0.247",1.34,0.247,"CTD-2521M24.9"
"ENSG00000256537.3",0.1,1.1,"(0.711-1.73)","0.21","0.647",0.21,0.647,"RP11-785H5.1"
"ENSG00000240449.1",0.053,1.1,"(0.863-1.29)","0.27","0.603",0.27,0.603,"RP4-584D14.5"
"ENSG00000273014.1",-0.0068,0.99,"(0.867-1.14)","0.01","0.922",0.01,0.922,"RP11-225B17.2"
"ENSG00000224597.8",0.15,1.2,"(0.816-1.66)","0.71","0.4",0.71,0.4,"SVIL-AS1"
"ENSG00000273179.1",0.18,1.2,"(1.02-1.41)","4.81","0.0283",4.81,0.0283,"RP11-20I20.4"
"ENSG00000263004.1",-0.041,0.96,"(0.783-1.18)","0.16","0.689",0.16,0.689,"RP11-166P13.3"
"ENSG00000249395.2",0.1,1.1,"(1.01-1.22)","4.29","0.0384",4.29,0.0384,"CASC9"
"ENSG00000229334.1",-0.075,0.93,"(0.692-1.24)","0.25","0.616",0.25,0.616,"AC046143.3"
"ENSG00000260804.3",-0.13,0.87,"(0.695-1.1)","1.31","0.253",1.31,0.253,"PKI55"
"ENSG00000238123.1",-0.086,0.92,"(0.836-1.01)","3.24","0.072",3.24,0.072,"MID1IP1-AS1"
"ENSG00000196810.4",-0.22,0.8,"(0.528-1.22)","1.04","0.307",1.04,0.307,"CTBP1-AS2"
"ENSG00000253930.1",-0.075,0.93,"(0.824-1.04)","1.56","0.212",1.56,0.212,"RP11-1149O23.2"
"ENSG00000266962.2",0.19,1.2,"(0.862-1.69)","1.2","0.273",1.2,0.273,"RP11-400F19.6"
"ENSG00000271895.2",0.037,1,"(0.864-1.25)","0.15","0.694",0.15,0.694,"RP4-635E18.8"
"ENSG00000188185.10",0.13,1.1,"(0.914-1.41)","1.31","0.253",1.31,0.253,"LINC00265"
"ENSG00000267080.4",0.25,1.3,"(0.897-1.83)","1.85","0.173",1.85,0.173,"ASB16-AS1"
"ENSG00000260552.1",0.12,1.1,"(0.945-1.34)","1.75","0.186",1.75,0.186,"RP11-49I11.1"
"ENSG00000272644.1",-0.068,0.93,"(0.74-1.18)","0.33","0.565",0.33,0.565,"RP11-33O4.1"
"ENSG00000230082.1",0.0045,1,"(0.843-1.2)","0","0.96",0,0.96,"PRRT3-AS1"
"ENSG00000130600.14",0.077,1.1,"(0.996-1.17)","3.49","0.0616",3.49,0.0616,"H19"
"ENSG00000227070.1",-0.057,0.94,"(0.817-1.09)","0.6","0.44",0.6,0.44,"RP11-191G24.1"
"ENSG00000277662.1",0.024,1,"(0.903-1.16)","0.14","0.713",0.14,0.713,"RP11-74J13.9"
"ENSG00000254860.4",0.15,1.2,"(0.923-1.47)","1.64","0.201",1.64,0.201,"TMEM9B-AS1"
"ENSG00000273344.1",0.22,1.2,"(0.936-1.65)","2.26","0.133",2.26,0.133,"PAXIP1-AS1"
"ENSG00000251026.1",0.012,1,"(0.954-1.07)","0.15","0.698",0.15,0.698,"RP11-138J23.1"
"ENSG00000265688.1",0.0055,1,"(0.791-1.28)","0","0.964",0,0.964,"MAFG-AS1"
"ENSG00000238142.1",0.027,1,"(0.915-1.15)","0.21","0.647",0.21,0.647,"RP11-108M9.4"
"ENSG00000269910.1",0.013,1,"(0.881-1.17)","0.03","0.854",0.03,0.854,"RP11-73M18.10"
"ENSG00000204272.9",0.26,1.3,"(0.951-1.77)","2.69","0.101",2.69,0.101,"LINC01420"
"ENSG00000261685.2",0.029,1,"(0.931-1.14)","0.32","0.573",0.32,0.573,"RP11-401P9.4"
"ENSG00000226476.2",0.035,1,"(0.966-1.11)","0.98","0.321",0.98,0.321,"RP11-776H12.1"
"ENSG00000259943.1",0.044,1,"(0.807-1.35)","0.11","0.737",0.11,0.737,"RP1-39G22.7"
"ENSG00000278133.1",0.14,1.2,"(0.797-1.66)","0.56","0.455",0.56,0.455,"RP11-196G11.5"
"ENSG00000253187.2",-0.044,0.96,"(0.868-1.05)","0.79","0.374",0.79,0.374,"HOXA10-AS"
"ENSG00000272301.1",0.033,1,"(0.927-1.15)","0.35","0.554",0.35,0.554,"RP11-111M22.4"
"ENSG00000281406.1",0.044,1,"(0.925-1.18)","0.5","0.481",0.5,0.481,"BLACAT1"
"ENSG00000278978.1",-0.12,0.89,"(0.676-1.17)","0.67","0.413",0.67,0.413,"RP11-164P12.5"
"ENSG00000272556.1",0.11,1.1,"(0.983-1.27)","2.88","0.0895",2.88,0.0895,"RP11-638I8.1"
"ENSG00000230177.1",0.098,1.1,"(0.905-1.34)","0.95","0.33",0.95,0.33,"RP5-1112D6.4"
"ENSG00000275632.1",0.037,1,"(0.905-1.19)","0.27","0.6",0.27,0.6,"RP5-967N21.11"
"ENSG00000180861.8",0.072,1.1,"(0.941-1.23)","1.13","0.287",1.13,0.287,"LINC01559"
"ENSG00000261512.2",0.1,1.1,"(0.916-1.34)","1.1","0.293",1.1,0.293,"RP11-46D6.1"
"ENSG00000231025.1",0.17,1.2,"(0.852-1.65)","1.03","0.31",1.03,0.31,"RP11-175O19.4"
"ENSG00000241269.1",-0.052,0.95,"(0.846-1.06)","0.81","0.368",0.81,0.368,"AC093620.5"
"ENSG00000232442.1",0.14,1.2,"(0.945-1.41)","1.99","0.159",1.99,0.159,"CTD-3184A7.4"
"ENSG00000233461.4",-0.062,0.94,"(0.749-1.18)","0.29","0.591",0.29,0.591,"RP11-295G20.2"
"ENSG00000267100.1",0.18,1.2,"(0.895-1.61)","1.49","0.223",1.49,0.223,"ILF3-AS1"
"ENSG00000267082.1",0.12,1.1,"(0.963-1.31)","2.19","0.139",2.19,0.139,"CTC-510F12.2"
"ENSG00000236081.1",0.14,1.1,"(0.999-1.31)","3.81","0.051",3.81,0.051,"ELFN1-AS1"
"ENSG00000261188.1",-0.049,0.95,"(0.755-1.2)","0.17","0.677",0.17,0.677,"CTA-445C9.14"
"ENSG00000142396.9",0.012,1,"(0.699-1.47)","0","0.949",0,0.949,"ERVK3-1"
"ENSG00000242086.7",0.068,1.1,"(0.853-1.34)","0.34","0.558",0.34,0.558,"LINC00969"
"ENSG00000256185.1",-0.0027,1,"(0.933-1.07)","0.01","0.937",0.01,0.937,"RP11-612B6.2"
"ENSG00000274828.1",0.044,1,"(0.792-1.38)","0.09","0.758",0.09,0.758,"RP11-567M16.6"
"ENSG00000280798.1",0.23,1.3,"(0.876-1.82)","1.56","0.212",1.56,0.212,"LINC00294"
"ENSG00000275560.1",0.028,1,"(0.887-1.19)","0.14","0.713",0.14,0.713,"RP11-180M15.7"
"ENSG00000276529.1",0.27,1.3,"(1.04-1.65)","5.17","0.023",5.17,0.023,"AP001505.10"
"ENSG00000228109.1",0.27,1.3,"(1.05-1.64)","5.77","0.0163",5.77,0.0163,"MFI2-AS1"
"ENSG00000253738.1",-0.058,0.94,"(0.729-1.22)","0.19","0.659",0.19,0.659,"OTUD6B-AS1"
"ENSG00000250222.1",-0.13,0.88,"(0.767-1.01)","3.13","0.0769",3.13,0.0769,"CTC-338M12.5"
"ENSG00000237721.1",-0.012,0.99,"(0.922-1.06)","0.12","0.725",0.12,0.725,"AF064858.11"
"ENSG00000260418.1",-0.024,0.98,"(0.814-1.17)","0.07","0.797",0.07,0.797,"RP3-406A7.7"
"ENSG00000240990.8",-0.051,0.95,"(0.849-1.06)","0.78","0.378",0.78,0.378,"HOXA11-AS"
"ENSG00000261650.1",-0.029,0.97,"(0.93-1.01)","1.78","0.183",1.78,0.183,"RP11-474D1.4"
"ENSG00000215039.5",0.53,1.7,"(1.23-2.37)","10.1","0.00147",10.1,0.00147,"CD27-AS1"
"ENSG00000269936.3",0.12,1.1,"(0.98-1.29)","2.77","0.0958",2.77,0.0958,"RP11-394O4.5"
"ENSG00000275216.1",0.067,1.1,"(0.996-1.15)","3.4","0.0653",3.4,0.0653,"RP11-54H7.4"
"ENSG00000221990.4",0.15,1.2,"(0.906-1.49)","1.39","0.238",1.39,0.238,"EXOC3-AS1"
"ENSG00000272645.2",0.18,1.2,"(0.987-1.46)","3.35","0.0671",3.35,0.0671,"RP11-504P24.8"
"ENSG00000260114.2",0.11,1.1,"(0.866-1.45)","0.75","0.386",0.75,0.386,"CTD-2574D22.4"
"ENSG00000266208.1",0.22,1.2,"(0.964-1.6)","2.82","0.093",2.82,0.093,"CTD-2267D19.3"
"ENSG00000241388.4",-0.015,0.99,"(0.816-1.19)","0.02","0.877",0.02,0.877,"HNF1A-AS1"
"ENSG00000269609.4",0.3,1.4,"(0.994-1.85)","3.7","0.0544",3.7,0.0544,"RPARP-AS1"
"ENSG00000277283.1",-0.011,0.99,"(0.738-1.33)","0.01","0.942",0.01,0.942,"RP1-267D11.6"
"ENSG00000267045.1",0.17,1.2,"(1-1.39)","4.08","0.0435",4.08,0.0435,"AC006126.4"
"ENSG00000196756.10",0.13,1.1,"(0.917-1.41)","1.37","0.241",1.37,0.241,"SNHG17"
"ENSG00000222033.1",-0.033,0.97,"(0.873-1.07)","0.39","0.531",0.39,0.531,"LINC01124"
"ENSG00000222001.2",-0.049,0.95,"(0.851-1.07)","0.73","0.393",0.73,0.393,"AC106876.2"
"ENSG00000270223.1",0.039,1,"(0.873-1.24)","0.19","0.663",0.19,0.663,"RP13-36G14.4"
"ENSG00000214401.4",0.012,1,"(0.857-1.2)","0.02","0.887",0.02,0.887,"KANSL1-AS1"
"ENSG00000238279.1",0.2,1.2,"(1.04-1.44)","5.82","0.0159",5.82,0.0159,"BX470102.3"
"ENSG00000267896.1",0.15,1.2,"(0.981-1.37)","3.02","0.0824",3.02,0.0824,"AC018766.4"
"ENSG00000269386.4",0.051,1.1,"(0.747-1.48)","0.08","0.771",0.08,0.771,"RAB11B-AS1"
"ENSG00000227540.1",0.18,1.2,"(0.946-1.51)","2.24","0.134",2.24,0.134,"RP11-152N13.5"
"ENSG00000254343.2",-0.015,0.99,"(0.849-1.14)","0.04","0.844",0.04,0.844,"RP11-760H22.2"
"ENSG00000258837.1",0.043,1,"(0.976-1.12)","1.56","0.211",1.56,0.211,"CTD-2566J3.1"
"ENSG00000272449.1",0.22,1.2,"(1.01-1.52)","4.24","0.0396",4.24,0.0396,"RP3-395M20.12"
"ENSG00000267480.1",-0.14,0.87,"(0.751-1)","3.75","0.0527",3.75,0.0527,"RP11-703I16.1"
"ENSG00000260196.1",0.016,1,"(0.816-1.27)","0.02","0.887",0.02,0.887,"RP1-239B22.5"
"ENSG00000271147.6",-0.073,0.93,"(0.697-1.24)","0.25","0.62",0.25,0.62,"RP4-769N13.6"
"ENSG00000189223.12",-0.021,0.98,"(0.903-1.06)","0.26","0.607",0.26,0.607,"PAX8-AS1"
"ENSG00000257556.1",0.00025,1,"(0.859-1.16)","0","0.997",0,0.997,"RP11-44N21.1"
"ENSG00000236753.4",-0.064,0.94,"(0.782-1.13)","0.47","0.493",0.47,0.493,"MKLN1-AS"
"ENSG00000272010.1",-0.034,0.97,"(0.884-1.06)","0.55","0.459",0.55,0.459,"CTD-3025N20.3"
"ENSG00000274605.1",-0.095,0.91,"(0.713-1.16)","0.58","0.448",0.58,0.448,"RP11-12G12.7"
"ENSG00000270006.2",0.018,1,"(0.879-1.18)","0.06","0.81",0.06,0.81,"RP11-178L8.7"
"ENSG00000269293.2",0.14,1.2,"(0.878-1.51)","1.04","0.307",1.04,0.307,"ZSCAN16-AS1"
"ENSG00000233559.1",-0.14,0.87,"(0.78-0.975)","5.78","0.0162",5.78,0.0162,"AC016831.7"
"ENSG00000273314.1",0.19,1.2,"(0.893-1.63)","1.5","0.221",1.5,0.221,"RP5-1136G13.2"
"ENSG00000255284.1",0.41,1.5,"(1.19-1.92)","11.2","8e-04",11.2,8e-04,"AP006621.5"
"ENSG00000278192.1",0.18,1.2,"(0.997-1.43)","3.71","0.0541",3.71,0.0541,"RP5-1056H1.2"
"ENSG00000271737.1",-0.071,0.93,"(0.788-1.1)","0.69","0.405",0.69,0.405,"CTB-113I20.2"
"ENSG00000259065.1",0.26,1.3,"(1.09-1.54)","8.86","0.00292",8.86,0.00292,"RP5-1021I20.1"
"ENSG00000279088.1",0.12,1.1,"(0.849-1.51)","0.71","0.4",0.71,0.4,"RP11-574K11.24"
"ENSG00000279789.1",0.1,1.1,"(0.908-1.35)","1.01","0.315",1.01,0.315,"CTD-2574D22.3"
"ENSG00000177337.6",0.019,1,"(0.781-1.33)","0.02","0.889",0.02,0.889,"DLGAP1-AS1"
"ENSG00000177406.4",0.19,1.2,"(0.931-1.57)","2.03","0.154",2.03,0.154,"RP11-218M22.1"
"ENSG00000253522.3",-0.081,0.92,"(0.808-1.05)","1.42","0.233",1.42,0.233,"CTC-231O11.1"
"ENSG00000226179.4",0.17,1.2,"(1.01-1.37)","4.53","0.0332",4.53,0.0332,"LINC00685"
"ENSG00000223478.1",0.1,1.1,"(0.893-1.38)","0.87","0.351",0.87,0.351,"RP11-545E17.3"
"ENSG00000272660.1",-0.052,0.95,"(0.886-1.02)","2.17","0.141",2.17,0.141,"RP11-145M9.6"
"ENSG00000273437.1",0.18,1.2,"(0.964-1.47)","2.62","0.105",2.62,0.105,"RP11-434H6.7"
"ENSG00000116883.8",0.18,1.2,"(1.05-1.36)","7.36","0.00668",7.36,0.00668,"RP11-268J15.5"
"ENSG00000259933.5",-0.061,0.94,"(0.743-1.19)","0.26","0.61",0.26,0.61,"RP11-304L19.1"
"ENSG00000253508.1",-0.048,0.95,"(0.884-1.03)","1.59","0.207",1.59,0.207,"RP1-170O19.14"
"ENSG00000226067.5",0.11,1.1,"(0.916-1.35)","1.17","0.279",1.17,0.279,"CH17-118O6.2"
"ENSG00000218510.5",-0.13,0.88,"(0.637-1.22)","0.6","0.44",0.6,0.44,"LINC00339"
"ENSG00000234741.6",0.071,1.1,"(0.837-1.38)","0.32","0.574",0.32,0.574,"GAS5"
"ENSG00000206337.9",0.067,1.1,"(0.891-1.28)","0.52","0.472",0.52,0.472,"HCP5"
"ENSG00000228439.4",-0.037,0.96,"(0.801-1.16)","0.16","0.693",0.16,0.693,"TSTD3"
"ENSG00000270189.1",0.086,1.1,"(0.911-1.3)","0.88","0.347",0.88,0.347,"RP11-258C19.7"
"ENSG00000263731.1",-0.043,0.96,"(0.734-1.25)","0.1","0.754",0.1,0.754,"RP11-498C9.15"
"ENSG00000281332.1",0.12,1.1,"(0.887-1.44)","0.99","0.32",0.99,0.32,"LINC00997"
"ENSG00000259972.2",0.16,1.2,"(0.947-1.45)","2.12","0.145",2.12,0.145,"AC009120.6"
"ENSG00000254682.1",-0.12,0.89,"(0.745-1.06)","1.83","0.177",1.83,0.177,"RP11-660L16.2"
"ENSG00000267709.1",0.055,1.1,"(0.932-1.2)","0.74","0.391",0.74,0.391,"AC024592.9"
"ENSG00000172965.13",0.2,1.2,"(0.875-1.72)","1.41","0.235",1.41,0.235,"MIR4435-1HG"
"ENSG00000263072.4",0.14,1.1,"(0.831-1.59)","0.71","0.4",0.71,0.4,"ZNF213-AS1"
"ENSG00000239213.4",0.17,1.2,"(0.886-1.59)","1.31","0.253",1.31,0.253,"NCK1-AS1"
"ENSG00000228452.1",-0.035,0.97,"(0.845-1.1)","0.26","0.61",0.26,0.61,"RP5-994D16.9"
"ENSG00000224081.6",-0.13,0.88,"(0.68-1.13)","1.03","0.309",1.03,0.309,"LINC01057"
"ENSG00000272106.1",0.11,1.1,"(0.808-1.54)","0.44","0.506",0.44,0.506,"RP11-345P4.9"
"ENSG00000269893.5",0.03,1,"(0.756-1.4)","0.04","0.849",0.04,0.849,"SNHG8"
"ENSG00000231663.1",0.057,1.1,"(0.869-1.29)","0.32","0.569",0.32,0.569,"RP5-827C21.4"
"ENSG00000254911.3",-0.0026,1,"(0.893-1.11)","0","0.963",0,0.963,"SCARNA9"
"ENSG00000251022.5",0.042,1,"(0.819-1.33)","0.12","0.732",0.12,0.732,"THAP9-AS1"
"ENSG00000272913.1",0.071,1.1,"(0.983-1.17)","2.48","0.116",2.48,0.116,"RP11-440D17.3"
"ENSG00000263588.1",0.079,1.1,"(0.95-1.23)","1.41","0.235",1.41,0.235,"RP11-595B24.2"
"ENSG00000262188.1",-0.034,0.97,"(0.86-1.09)","0.32","0.574",0.32,0.574,"RP11-353N14.4"
"ENSG00000272087.1",0.023,1,"(0.87-1.2)","0.08","0.781",0.08,0.781,"RP11-379F4.7"
"ENSG00000279332.1",-0.0071,0.99,"(0.911-1.08)","0.03","0.871",0.03,0.871,"RP11-799B12.1"
"ENSG00000224975.1",0.11,1.1,"(0.915-1.35)","1.15","0.284",1.15,0.284,"INE1"
"ENSG00000268568.1",0.032,1,"(0.92-1.16)","0.29","0.587",0.29,0.587,"AC007228.9"
"ENSG00000244300.2",0.041,1,"(0.936-1.16)","0.56","0.456",0.56,0.456,"GATA2-AS1"
"ENSG00000279495.1",-0.039,0.96,"(0.741-1.25)","0.08","0.772",0.08,0.772,"RP11-521B24.4"
"ENSG00000255062.1",0.016,1,"(0.847-1.22)","0.03","0.867",0.03,0.867,"RP11-712L6.5"
"ENSG00000228801.5",-0.0015,1,"(0.762-1.31)","0","0.992",0,0.992,"RP11-110G21.1"
"ENSG00000266469.1",0.083,1.1,"(0.82-1.44)","0.33","0.565",0.33,0.565,"CTB-131K11.1"
"ENSG00000253982.1",-0.16,0.85,"(0.619-1.16)","1.04","0.309",1.04,0.309,"CTD-2336O2.1"
"ENSG00000179523.4",0.5,1.7,"(1.15-2.38)","7.3","0.0069",7.3,0.0069,"EIF3J-AS1"
"ENSG00000245849.5",0.23,1.3,"(0.988-1.59)","3.46","0.063",3.46,0.063,"RAD51-AS1"
"ENSG00000274272.1",0.41,1.5,"(1.17-1.96)","9.87","0.00168",9.87,0.00168,"RP11-44M6.7"
"ENSG00000278730.1",-0.16,0.85,"(0.635-1.14)","1.17","0.28",1.17,0.28,"RP11-147L13.11"
"ENSG00000272523.1",0.15,1.2,"(0.945-1.42)","2","0.157",2,0.157,"LINC01023"
"ENSG00000259456.3",0.092,1.1,"(0.894-1.34)","0.78","0.377",0.78,0.377,"ADNP-AS1"
"ENSG00000259366.1",-0.0044,1,"(0.87-1.14)","0","0.949",0,0.949,"CTD-2647L4.4"
"ENSG00000223482.6",-0.072,0.93,"(0.714-1.21)","0.28","0.596",0.28,0.596,"NUTM2A-AS1"
"ENSG00000226137.5",-0.035,0.97,"(0.74-1.26)","0.07","0.798",0.07,0.798,"BAIAP2-AS1"
