"ENSG_id","beta","HR","CI","wald.test.test","HR.pvalue.pvalue","wald.test","HR.pvalue","Symbol"
"ENSG00000233554.4",-0.21,0.81,"(0.673-0.975)","4.98","0.0256",4.98,0.0256,"B4GALT1-AS1"
"ENSG00000261353.1",-0.027,0.97,"(0.889-1.07)","0.34","0.563",0.34,0.563,"CTA-14H9.5"
"ENSG00000226465.1",-0.037,0.96,"(0.913-1.02)","1.84","0.176",1.84,0.176,"RP13-401N8.1"
"ENSG00000256806.3",0.12,1.1,"(0.873-1.47)","0.87","0.35",0.87,0.35,"C17orf100"
"ENSG00000248008.2",-0.16,0.86,"(0.539-1.36)","0.43","0.51",0.43,0.51,"DYNLL1-AS1"
"ENSG00000272221.1",-0.075,0.93,"(0.801-1.07)","1","0.317",1,0.317,"XXbac-BPG181B23.7"
"ENSG00000260136.4",0.17,1.2,"(0.864-1.63)","1.11","0.291",1.11,0.291,"CTD-2270L9.4"
"ENSG00000227695.4",-0.068,0.93,"(0.742-1.18)","0.33","0.564",0.33,0.564,"DNMBP-AS1"
"ENSG00000251603.1",-0.0017,1,"(0.923-1.08)","0","0.966",0,0.966,"RP11-164P12.4"
"ENSG00000259768.5",0.11,1.1,"(0.811-1.52)","0.43","0.51",0.43,0.51,"RP5-991G20.1"
"ENSG00000271976.1",-0.036,0.96,"(0.701-1.33)","0.05","0.824",0.05,0.824,"RP11-884K10.7"
"ENSG00000258404.1",-0.048,0.95,"(0.87-1.05)","1.02","0.312",1.02,0.312,"RP11-1029J19.5"
"ENSG00000260260.1",-0.0056,0.99,"(0.807-1.23)","0","0.958",0,0.958,"SNHG19"
"ENSG00000260563.3",0.28,1.3,"(1.05-1.67)","5.78","0.0162",5.78,0.0162,"RP13-516M14.1"
"ENSG00000231721.5",0.1,1.1,"(0.913-1.34)","1.08","0.299",1.08,0.299,"LINC-PINT"
"ENSG00000225470.5",-0.035,0.97,"(0.709-1.32)","0.05","0.826",0.05,0.826,"JPX"
"ENSG00000247092.5",0.16,1.2,"(0.896-1.53)","1.34","0.247",1.34,0.247,"SNHG10"
"ENSG00000259704.1",-0.073,0.93,"(0.843-1.02)","2.16","0.141",2.16,0.141,"CTD-3094K11.1"
"ENSG00000228265.4",0.089,1.1,"(0.842-1.42)","0.45","0.503",0.45,0.503,"RALY-AS1"
"ENSG00000262251.1",0.34,1.4,"(1.11-1.77)","7.95","0.00481",7.95,0.00481,"RP11-199F11.2"
"ENSG00000229539.1",0.15,1.2,"(0.964-1.39)","2.46","0.116",2.46,0.116,"RP11-119B16.2"
"ENSG00000273478.1",0.099,1.1,"(0.874-1.39)","0.69","0.407",0.69,0.407,"RP11-465N4.5"
"ENSG00000230163.1",0.33,1.4,"(1-1.94)","3.84","0.0499",3.84,0.0499,"RP5-997D16.2"
"ENSG00000257605.2",0.41,1.5,"(1.1-2.05)","6.61","0.0101",6.61,0.0101,"RP11-680A11.5"
"ENSG00000279528.1",-0.091,0.91,"(0.702-1.19)","0.45","0.5",0.45,0.5,"RP11-1148L6.8"
"ENSG00000234171.2",0.092,1.1,"(0.814-1.48)","0.37","0.544",0.37,0.544,"RNASEH1-AS1"
"ENSG00000179406.6",0.31,1.4,"(1.11-1.7)","8.26","0.00405",8.26,0.00405,"LINC00174"
"ENSG00000233903.2",0.044,1,"(0.775-1.41)","0.08","0.775",0.08,0.775,"Z83851.4"
"ENSG00000257270.1",0.12,1.1,"(0.986-1.29)","3.08","0.0794",3.08,0.0794,"RP11-521B24.5"
"ENSG00000242516.1",0.00076,1,"(0.928-1.08)","0","0.984",0,0.984,"LINC00960"
"ENSG00000270069.1",0.14,1.2,"(0.979-1.36)","2.93","0.0867",2.93,0.0867,"MIR222HG"
"ENSG00000232445.1",-0.04,0.96,"(0.863-1.07)","0.54","0.461",0.54,0.461,"RP11-132A1.4"
"ENSG00000258297.1",0.073,1.1,"(0.841-1.37)","0.34","0.562",0.34,0.562,"RP11-658F2.8"
"ENSG00000237361.2",-0.029,0.97,"(0.914-1.03)","0.9","0.343",0.9,0.343,"TUSC8"
"ENSG00000267475.1",0.038,1,"(0.859-1.26)","0.15","0.694",0.15,0.694,"CTD-2538C1.2"
"ENSG00000272763.1",-0.034,0.97,"(0.846-1.1)","0.25","0.618",0.25,0.618,"RP11-357H14.17"
"ENSG00000258474.1",-0.059,0.94,"(0.822-1.08)","0.73","0.393",0.73,0.393,"RP11-187E13.1"
"ENSG00000258919.1",0.028,1,"(0.909-1.16)","0.2","0.658",0.2,0.658,"RP11-1029J19.4"
"ENSG00000234155.1",-0.075,0.93,"(0.805-1.07)","1.05","0.304",1.05,0.304,"RP11-30P6.6"
"ENSG00000261804.1",-0.027,0.97,"(0.895-1.06)","0.41","0.523",0.41,0.523,"RP11-44F14.2"
"ENSG00000254560.4",0.051,1.1,"(0.968-1.14)","1.44","0.23",1.44,0.23,"BBOX1-AS1"
"ENSG00000270372.1",-0.0081,0.99,"(0.959-1.03)","0.22","0.636",0.22,0.636,"RP11-109M17.2"
"ENSG00000214039.7",-0.03,0.97,"(0.927-1.02)","1.68","0.196",1.68,0.196,"RP11-474D1.3"
"ENSG00000258738.1",0.062,1.1,"(0.84-1.35)","0.27","0.606",0.27,0.606,"RP11-73E17.2"
"ENSG00000281468.1",0.059,1.1,"(0.945-1.19)","1.01","0.315",1.01,0.315,"CTC-459F4.9"
"ENSG00000269899.1",-0.063,0.94,"(0.825-1.07)","0.9","0.342",0.9,0.342,"RP11-589N15.2"
"ENSG00000228393.3",0.068,1.1,"(0.916-1.25)","0.73","0.392",0.73,0.392,"LINC01004"
"ENSG00000278834.1",0.029,1,"(0.791-1.34)","0.05","0.828",0.05,0.828,"RP11-458J1.1"
"ENSG00000280206.1",-0.0058,0.99,"(0.726-1.36)","0","0.971",0,0.971,"CTB-193M12.5"
"ENSG00000237476.1",0.053,1.1,"(0.848-1.31)","0.23","0.633",0.23,0.633,"XXbac-B135H6.15"
"ENSG00000270010.1",0.016,1,"(0.881-1.17)","0.05","0.825",0.05,0.825,"CTD-2132N18.4"
"ENSG00000269888.1",-0.0074,0.99,"(0.889-1.11)","0.02","0.896",0.02,0.896,"RP11-3P17.5"
"ENSG00000267565.1",0.0016,1,"(0.902-1.11)","0","0.976",0,0.976,"CTC-559E9.8"
"ENSG00000203644.3",0.055,1.1,"(0.845-1.32)","0.23","0.632",0.23,0.632,"RP11-332M2.1"
"ENSG00000247240.6",-0.043,0.96,"(0.685-1.34)","0.06","0.804",0.06,0.804,"UBL7-AS1"
"ENSG00000231074.7",0.03,1,"(0.737-1.44)","0.03","0.862",0.03,0.862,"HCG18"
"ENSG00000232931.4",0.11,1.1,"(0.942-1.33)","1.65","0.199",1.65,0.199,"LINC00342"
"ENSG00000262692.1",0.078,1.1,"(0.962-1.22)","1.7","0.193",1.7,0.193,"CTD-3195I5.3"
"ENSG00000277496.1",-0.0022,1,"(0.826-1.21)","0","0.982",0,0.982,"RP11-93B14.9"
"ENSG00000276855.1",-0.036,0.96,"(0.87-1.07)","0.48","0.488",0.48,0.488,"CTD-3157E16.2"
"ENSG00000242207.1",-0.012,0.99,"(0.893-1.09)","0.05","0.821",0.05,0.821,"HOXB-AS4"
"ENSG00000259877.2",-0.12,0.89,"(0.724-1.1)","1.2","0.274",1.2,0.274,"RP11-46C24.7"
"ENSG00000223768.1",0.18,1.2,"(0.938-1.52)","2.08","0.149",2.08,0.149,"LINC00205"
"ENSG00000273137.1",0.22,1.2,"(1.03-1.5)","5.02","0.0251",5.02,0.0251,"RP3-402G11.28"
"ENSG00000245060.5",0.16,1.2,"(0.886-1.57)","1.27","0.259",1.27,0.259,"LINC00847"
"ENSG00000236935.1",-0.027,0.97,"(0.913-1.04)","0.72","0.395",0.72,0.395,"AP003774.1"
"ENSG00000275580.1",0.055,1.1,"(0.901-1.24)","0.46","0.498",0.46,0.498,"RP11-295H24.4"
"ENSG00000249673.5",0.13,1.1,"(0.784-1.67)","0.48","0.486",0.48,0.486,"NOP14-AS1"
"ENSG00000234160.1",0.074,1.1,"(0.843-1.38)","0.35","0.554",0.35,0.554,"RP11-613M10.6"
"ENSG00000225791.5",-0.12,0.88,"(0.661-1.18)","0.69","0.407",0.69,0.407,"TRAM2-AS1"
"ENSG00000265519.1",-0.0092,0.99,"(0.91-1.08)","0.04","0.833",0.04,0.833,"CTD-3157E16.1"
"ENSG00000230316.5",0.023,1,"(0.964-1.09)","0.57","0.448",0.57,0.448,"FEZF1-AS1"
"ENSG00000182648.10",0.13,1.1,"(0.954-1.37)","2.1","0.148",2.1,0.148,"LINC01006"
"ENSG00000260265.1",0.0056,1,"(0.86-1.18)","0","0.944",0,0.944,"RP11-44F21.5"
"ENSG00000234608.6",0.15,1.2,"(0.756-1.8)","0.48","0.487",0.48,0.487,"MAPKAPK5-AS1"
"ENSG00000264247.1",-0.097,0.91,"(0.639-1.29)","0.3","0.585",0.3,0.585,"LINC00909"
"ENSG00000225177.4",0.16,1.2,"(0.928-1.48)","1.79","0.181",1.79,0.181,"RP11-390P2.4"
"ENSG00000254290.1",-0.092,0.91,"(0.812-1.02)","2.38","0.123",2.38,0.123,"RP11-150O12.3"
"ENSG00000260442.4",-0.0039,1,"(0.863-1.15)","0","0.958",0,0.958,"ATP2A1-AS1"
"ENSG00000236850.4",0.15,1.2,"(0.874-1.55)","1.09","0.296",1.09,0.296,"BMS1P20"
"ENSG00000237310.1",0.21,1.2,"(1-1.52)","3.84","0.0502",3.84,0.0502,"GS1-124K5.4"
"ENSG00000255474.1",0.007,1,"(0.896-1.13)","0.01","0.907",0.01,0.907,"RP11-234B24.2"
"ENSG00000256940.1",0.091,1.1,"(0.903-1.33)","0.86","0.354",0.86,0.354,"RP11-783K16.5"
"ENSG00000242861.1",0.1,1.1,"(0.908-1.35)","1.01","0.315",1.01,0.315,"RP11-285F7.2"
"ENSG00000272720.1",0.15,1.2,"(0.97-1.4)","2.69","0.101",2.69,0.101,"CTA-228A9.3"
"ENSG00000228037.1",-0.018,0.98,"(0.842-1.15)","0.05","0.823",0.05,0.823,"RP3-395M20.9"
"ENSG00000233223.2",0.41,1.5,"(1.19-1.88)","12.1","0.000504",12.1,0.000504,"AC113189.5"
"ENSG00000250328.4",0.01,1,"(0.935-1.09)","0.07","0.79",0.07,0.79,"MGC32805"
"ENSG00000276317.1",-0.054,0.95,"(0.841-1.07)","0.78","0.378",0.78,0.378,"RP11-93B14.10"
"ENSG00000245648.1",-0.12,0.89,"(0.811-0.974)","6.42","0.0113",6.42,0.0113,"RP11-277P12.20"
"ENSG00000278266.1",-0.039,0.96,"(0.892-1.04)","1.06","0.304",1.06,0.304,"RP11-575F12.3"
"ENSG00000272579.1",-0.0031,1,"(0.849-1.17)","0","0.97",0,0.97,"RP11-101E13.5"
"ENSG00000250786.1",-0.071,0.93,"(0.817-1.06)","1.12","0.29",1.12,0.29,"SNHG18"
"ENSG00000249572.1",-0.049,0.95,"(0.872-1.04)","1.16","0.281",1.16,0.281,"CTD-2203K17.1"
"ENSG00000270460.1",0.012,1,"(0.899-1.14)","0.04","0.843",0.04,0.843,"RP11-796E10.1"
"ENSG00000262001.1",-0.041,0.96,"(0.783-1.18)","0.15","0.696",0.15,0.696,"DLGAP1-AS2"
"ENSG00000259291.2",0.02,1,"(0.816-1.27)","0.03","0.861",0.03,0.861,"RP11-617F23.1"
"ENSG00000259623.1",-0.15,0.86,"(0.661-1.11)","1.31","0.252",1.31,0.252,"RP11-156E6.1"
"ENSG00000262089.1",0.13,1.1,"(0.908-1.42)","1.25","0.263",1.25,0.263,"RP11-589P10.5"
"ENSG00000268006.1",0.033,1,"(0.675-1.58)","0.02","0.88",0.02,0.88,"PTOV1-AS1"
"ENSG00000236859.5",0.27,1.3,"(0.942-1.81)","2.56","0.11",2.56,0.11,"NIFK-AS1"
"ENSG00000226696.4",0.28,1.3,"(1.06-1.67)","5.96","0.0147",5.96,0.0147,"LENG8-AS1"
"ENSG00000230896.1",-0.042,0.96,"(0.699-1.31)","0.07","0.794",0.07,0.794,"RP11-767N6.7"
"ENSG00000245532.5",0.076,1.1,"(0.912-1.28)","0.78","0.378",0.78,0.378,"NEAT1"
"ENSG00000279382.1",0.044,1,"(0.895-1.22)","0.32","0.574",0.32,0.574,"RP11-449J21.3"
"ENSG00000246089.3",-0.071,0.93,"(0.696-1.25)","0.23","0.634",0.23,0.634,"RP11-115C21.2"
"ENSG00000259865.1",0.028,1,"(0.904-1.17)","0.18","0.669",0.18,0.669,"RP11-488L18.10"
"ENSG00000256262.1",-0.11,0.89,"(0.775-1.03)","2.52","0.112",2.52,0.112,"USP30-AS1"
"ENSG00000228350.1",-0.025,0.98,"(0.908-1.05)","0.45","0.503",0.45,0.503,"CELSR3-AS1"
"ENSG00000225855.5",0.15,1.2,"(0.944-1.42)","1.99","0.158",1.99,0.158,"RUSC1-AS1"
"ENSG00000258920.1",0.15,1.2,"(0.904-1.48)","1.33","0.249",1.33,0.249,"FOXN3-AS1"
"ENSG00000227036.5",-0.072,0.93,"(0.749-1.16)","0.42","0.516",0.42,0.516,"LINC00511"
"ENSG00000275234.1",-0.0054,0.99,"(0.742-1.33)","0","0.971",0,0.971,"CTD-2396E7.11"
"ENSG00000253210.1",-0.056,0.95,"(0.816-1.1)","0.55","0.459",0.55,0.459,"RP11-809O17.1"
"ENSG00000271020.1",-0.0087,0.99,"(0.875-1.12)","0.02","0.891",0.02,0.891,"RP11-10C24.1"
"ENSG00000255517.5",0.031,1,"(0.807-1.32)","0.06","0.803",0.06,0.803,"CTD-3074O7.5"
"ENSG00000225969.1",-0.053,0.95,"(0.822-1.09)","0.52","0.472",0.52,0.472,"ABHD11-AS1"
"ENSG00000273145.1",0.042,1,"(0.798-1.36)","0.09","0.758",0.09,0.758,"CITF22-92A6.1"
"ENSG00000262370.4",-0.013,0.99,"(0.907-1.07)","0.09","0.764",0.09,0.764,"RP11-473M20.9"
"ENSG00000272405.1",0.0074,1,"(0.835-1.22)","0.01","0.938",0.01,0.938,"RP11-284F21.10"
"ENSG00000262049.1",0.2,1.2,"(0.928-1.61)","2.05","0.152",2.05,0.152,"RP13-1032I1.7"
"ENSG00000267002.1",0.14,1.1,"(0.887-1.48)","1.08","0.299",1.08,0.299,"RP11-242D8.1"
"ENSG00000260267.1",0.23,1.3,"(0.919-1.71)","2.04","0.153",2.04,0.153,"RP11-452L6.5"
"ENSG00000205890.3",0.092,1.1,"(0.919-1.31)","1.04","0.309",1.04,0.309,"RP11-473M20.5"
"ENSG00000231806.2",0.071,1.1,"(0.893-1.29)","0.57","0.45",0.57,0.45,"PCAT7"
"ENSG00000232098.3",0.015,1,"(0.755-1.36)","0.01","0.921",0.01,0.921,"CTD-2619J13.14"
"ENSG00000260025.1",-0.023,0.98,"(0.83-1.15)","0.07","0.786",0.07,0.786,"RP11-490M8.1"
"ENSG00000279059.1",0.048,1,"(0.793-1.39)","0.11","0.736",0.11,0.736,"RP11-257O5.2"
"ENSG00000278876.1",0.057,1.1,"(0.941-1.19)","0.89","0.344",0.89,0.344,"RP11-498C9.4"
"ENSG00000228343.1",-0.077,0.93,"(0.792-1.08)","0.94","0.331",0.94,0.331,"RP11-1148L6.5"
"ENSG00000236452.1",-0.03,0.97,"(0.915-1.03)","1.01","0.315",1.01,0.315,"AC123023.1"
"ENSG00000278709.1",0.097,1.1,"(0.96-1.27)","1.9","0.168",1.9,0.168,"RP5-1059L7.1"
"ENSG00000255142.1",0.15,1.2,"(1.03-1.3)","6.44","0.0111",6.44,0.0111,"AP006621.6"
"ENSG00000260912.1",0.13,1.1,"(0.942-1.37)","1.79","0.181",1.79,0.181,"RP11-363E7.4"
"ENSG00000239467.4",-0.039,0.96,"(0.839-1.1)","0.3","0.581",0.3,0.581,"AC007405.6"
"ENSG00000226330.1",0.0069,1,"(0.841-1.21)","0.01","0.94",0.01,0.94,"RP11-739N20.2"
"ENSG00000228989.1",0.18,1.2,"(0.94-1.51)","2.11","0.147",2.11,0.147,"AC133528.2"
"ENSG00000272275.1",0.23,1.3,"(1.07-1.48)","7.78","0.00527",7.78,0.00527,"RP11-791G15.2"
"ENSG00000204876.4",-0.075,0.93,"(0.818-1.05)","1.35","0.245",1.35,0.245,"AC021218.2"
"ENSG00000261040.5",-0.082,0.92,"(0.831-1.02)","2.4","0.121",2.4,0.121,"WFDC21P"
"ENSG00000230733.2",0.22,1.2,"(0.951-1.62)","2.54","0.111",2.54,0.111,"AC092171.4"
"ENSG00000273619.1",0.084,1.1,"(0.907-1.3)","0.83","0.362",0.83,0.362,"RP5-908M14.9"
"ENSG00000228223.2",0.013,1,"(0.882-1.16)","0.03","0.854",0.03,0.854,"HCG11"
"ENSG00000272338.2",0.017,1,"(0.887-1.17)","0.06","0.811",0.06,0.811,"RP11-722E23.2"
"ENSG00000228705.1",-0.021,0.98,"(0.898-1.07)","0.23","0.631",0.23,0.631,"LINC00659"
"ENSG00000216895.7",0.14,1.2,"(0.889-1.5)","1.16","0.281",1.16,0.281,"AC009403.2"
"ENSG00000257702.3",0.32,1.4,"(1.02-1.88)","4.29","0.0383",4.29,0.0383,"LBX2-AS1"
"ENSG00000251580.1",-0.054,0.95,"(0.839-1.07)","0.75","0.387",0.75,0.387,"RP11-539L10.3"
"ENSG00000271430.1",0.051,1.1,"(0.896-1.24)","0.39","0.534",0.39,0.534,"RP3-368A4.5"
"ENSG00000231226.1",0.044,1,"(0.886-1.23)","0.28","0.6",0.28,0.6,"TRIM31-AS1"
"ENSG00000237857.2",0.16,1.2,"(0.918-1.49)","1.62","0.203",1.62,0.203,"RP11-435O5.2"
"ENSG00000280202.1",-0.013,0.99,"(0.855-1.14)","0.03","0.855",0.03,0.855,"RP5-1180D12.1"
"ENSG00000276952.1",-0.013,0.99,"(0.896-1.09)","0.07","0.792",0.07,0.792,"RP5-965G21.6"
"ENSG00000270157.1",0.044,1,"(0.885-1.23)","0.27","0.601",0.27,0.601,"RP5-894A10.6"
"ENSG00000229953.1",-0.03,0.97,"(0.806-1.17)","0.1","0.757",0.1,0.757,"RP11-284F21.7"
"ENSG00000268756.1",0.12,1.1,"(1.02-1.25)","5.13","0.0235",5.13,0.0235,"AC104534.2"
"ENSG00000234705.1",0.055,1.1,"(0.947-1.18)","0.97","0.324",0.97,0.324,"HMGA1P4"
"ENSG00000278974.1",-0.00095,1,"(0.907-1.1)","0","0.985",0,0.985,"RP11-756P10.6"
"ENSG00000232874.1",0.014,1,"(0.922-1.11)","0.08","0.778",0.08,0.778,"RP11-135A1.2"
"ENSG00000205559.3",0.12,1.1,"(0.936-1.34)","1.55","0.212",1.55,0.212,"CHKB-AS1"
"ENSG00000258914.1",0.023,1,"(0.95-1.1)","0.36","0.547",0.36,0.547,"CTD-2134A5.3"
"ENSG00000256751.4",-0.012,0.99,"(0.841-1.16)","0.02","0.888",0.02,0.888,"PLBD1-AS1"
"ENSG00000236144.5",0.11,1.1,"(0.883-1.41)","0.84","0.36",0.84,0.36,"TMEM147-AS1"
"ENSG00000214546.3",-0.0031,1,"(0.861-1.15)","0","0.967",0,0.967,"AC087491.2"
"ENSG00000272821.1",0.22,1.2,"(0.968-1.61)","2.94","0.0867",2.94,0.0867,"CTA-384D8.36"
"ENSG00000232803.1",0.063,1.1,"(0.962-1.18)","1.47","0.225",1.47,0.225,"SLCO4A1-AS1"
"ENSG00000265458.1",-0.073,0.93,"(0.776-1.11)","0.63","0.427",0.63,0.427,"RP13-20L14.6"
"ENSG00000204792.2",0.041,1,"(0.988-1.1)","2.32","0.127",2.32,0.127,"LINC01291"
"ENSG00000261116.1",0.081,1.1,"(0.856-1.37)","0.45","0.5",0.45,0.5,"RP3-523K23.2"
"ENSG00000258498.5",0.00016,1,"(0.909-1.1)","0","0.997",0,0.997,"DIO3OS"
"ENSG00000214293.7",0.28,1.3,"(0.936-1.89)","2.53","0.112",2.53,0.112,"APTR"
"ENSG00000254854.1",0.012,1,"(0.91-1.13)","0.05","0.832",0.05,0.832,"CTD-2523D13.2"
"ENSG00000245571.5",-0.2,0.82,"(0.552-1.22)","0.94","0.333",0.94,0.333,"AP001258.4"
"ENSG00000261716.1",0.31,1.4,"(1.08-1.72)","6.75","0.00937",6.75,0.00937,"RP11-196G18.22"
"ENSG00000243479.3",0.12,1.1,"(0.906-1.39)","1.13","0.287",1.13,0.287,"MNX1-AS1"
"ENSG00000230551.4",0.076,1.1,"(0.86-1.35)","0.43","0.511",0.43,0.511,"CTB-89H12.4"
"ENSG00000247516.4",-0.071,0.93,"(0.832-1.04)","1.5","0.221",1.5,0.221,"MIR4458HG"
"ENSG00000226051.5",-0.011,0.99,"(0.892-1.1)","0.04","0.843",0.04,0.843,"ZNF503-AS1"
"ENSG00000233184.5",-0.21,0.81,"(0.658-0.994)","4.05","0.0441",4.05,0.0441,"RP11-421L21.3"
"ENSG00000271971.1",0.011,1,"(0.85-1.2)","0.02","0.897",0.02,0.897,"CTD-2006H14.2"
"ENSG00000254837.2",-0.18,0.84,"(0.647-1.08)","1.83","0.176",1.83,0.176,"AP001372.2"
"ENSG00000263470.1",0.049,1.1,"(0.841-1.31)","0.19","0.665",0.19,0.665,"RP11-160O5.1"
"ENSG00000268471.4",0.086,1.1,"(0.835-1.42)","0.4","0.525",0.4,0.525,"DKFZP434I0714"
"ENSG00000260853.1",0.1,1.1,"(0.926-1.32)","1.24","0.266",1.24,0.266,"RP11-264B17.2"
"ENSG00000267249.1",-0.052,0.95,"(0.805-1.12)","0.39","0.532",0.39,0.532,"RP11-973H7.3"
"ENSG00000226332.2",0.28,1.3,"(1.08-1.63)","7.22","0.00721",7.22,0.00721,"RP11-157P1.4"
"ENSG00000273576.1",0.19,1.2,"(0.983-1.48)","3.22","0.0727",3.22,0.0727,"RP11-390P24.1"
"ENSG00000270933.1",0.05,1.1,"(0.915-1.21)","0.5","0.479",0.5,0.479,"CTD-2227E11.1"
"ENSG00000261373.1",0.14,1.1,"(0.944-1.39)","1.89","0.169",1.89,0.169,"VPS9D1-AS1"
"ENSG00000260219.2",0.15,1.2,"(0.896-1.5)","1.27","0.261",1.27,0.261,"RP11-347C12.10"
"ENSG00000259985.1",-0.3,0.74,"(0.586-0.945)","5.86","0.0155",5.86,0.0155,"RP11-549B18.1"
"ENSG00000254614.2",0.08,1.1,"(0.884-1.33)","0.6","0.44",0.6,0.44,"AP003068.23"
"ENSG00000241764.3",0.28,1.3,"(0.955-1.82)","2.82","0.0931",2.82,0.0931,"AC002467.7"
"ENSG00000153363.11",0.051,1.1,"(0.805-1.38)","0.14","0.708",0.14,0.708,"LINC00467"
"ENSG00000224093.4",-0.0021,1,"(0.763-1.3)","0","0.987",0,0.987,"RP5-1033H22.2"
"ENSG00000259974.2",-0.091,0.91,"(0.835-0.999)","3.94","0.0472",3.94,0.0472,"LINC00261"
"ENSG00000255135.3",0.14,1.2,"(0.891-1.49)","1.18","0.277",1.18,0.277,"RP11-111M22.3"
"ENSG00000224536.1",0.04,1,"(0.875-1.24)","0.2","0.653",0.2,0.653,"RP11-134G8.7"
"ENSG00000277978.1",0.11,1.1,"(0.913-1.37)","1.16","0.281",1.16,0.281,"RP11-403P17.6"
